STE_NAME16	Age	Sex	persons
Western Australia	45-54	F	166831
Western Australia	45-54	M	168121
Western Australia	55-64	F	143084
Western Australia	55-64	M	138950
Western Australia	65-74	F	100911
Western Australia	65-74	M	98758
Western Australia	75-84	F	56237
Western Australia	75-84	M	47859
Western Australia	85+	F	26579
Western Australia	85+	M	15846
Tasmania	0-4	F	13929
Tasmania	0-4	M	14544
Tasmania	5-14	F	30056
Tasmania	5-14	M	31685
Tasmania	15-19	F	15118
Tasmania	15-19	M	15960
Tasmania	20-24	F	14574
Tasmania	20-24	M	15289
Tasmania	25-34	F	29695
Tasmania	25-34	M	28338
Tasmania	35-44	F	31227
Tasmania	35-44	M	28598
Tasmania	45-54	F	36154
Tasmania	45-54	M	33896
Tasmania	55-64	F	37087
Tasmania	55-64	M	35070
Tasmania	65-74	F	29305
Tasmania	65-74	M	28078
Tasmania	75-84	F	15926
Tasmania	75-84	M	13679
Tasmania	85+	F	7413
Tasmania	85+	M	4347
Northern Territory	0-4	F	8623
Northern Territory	0-4	M	9005
Northern Territory	5-14	F	15386
Northern Territory	5-14	M	16463
Northern Territory	15-19	F	6597
Northern Territory	15-19	M	7476
Northern Territory	20-24	F	7795
Northern Territory	20-24	M	8850
Northern Territory	25-34	F	21045
Northern Territory	25-34	M	21992
Northern Territory	35-44	F	16781
Northern Territory	35-44	M	17847
Northern Territory	45-54	F	15072
Northern Territory	45-54	M	16238
Northern Territory	55-64	F	11193
Northern Territory	55-64	M	12108
Northern Territory	65-74	F	5349
Northern Territory	65-74	M	6312
Northern Territory	75-84	F	1878
Northern Territory	75-84	M	1891
Northern Territory	85+	F	545
Northern Territory	85+	M	392
Australian Capital Territory	0-4	F	12898
Australian Capital Territory	0-4	M	13901
Australian Capital Territory	5-14	F	23063
Australian Capital Territory	5-14	M	24619
Australian Capital Territory	15-19	F	12145
Australian Capital Territory	15-19	M	12366
Australian Capital Territory	20-24	F	15565
Australian Capital Territory	20-24	M	15863
Australian Capital Territory	25-34	F	33679
Australian Capital Territory	25-34	M	32435
Australian Capital Territory	35-44	F	29460
Australian Capital Territory	35-44	M	28940
Australian Capital Territory	45-54	F	25979
Australian Capital Territory	45-54	M	25003
Australian Capital Territory	55-64	F	21597
Australian Capital Territory	55-64	M	19908
Australian Capital Territory	65-74	F	15506
Australian Capital Territory	65-74	M	13946
Australian Capital Territory	75-84	F	7916
Australian Capital Territory	75-84	M	6445
Australian Capital Territory	85+	F	3841
Australian Capital Territory	85+	M	2316
Other Territories	0-4	F	126
Other Territories	0-4	M	140
Other Territories	5-14	F	269
Other Territories	5-14	M	281
Other Territories	15-19	F	110
Other Territories	15-19	M	106
Other Territories	20-24	F	72
Other Territories	20-24	M	136
Other Territories	25-34	F	244
Other Territories	25-34	M	330
Other Territories	35-44	F	296
Other Territories	35-44	M	345
Other Territories	45-54	F	334
Other Territories	45-54	M	376
Other Territories	55-64	F	350
Other Territories	55-64	M	364
Other Territories	65-74	F	214
Other Territories	65-74	M	263
Other Territories	75-84	F	91
Other Territories	75-84	M	95
Other Territories	85+	F	33
Other Territories	85+	M	28
