STE_NAME16	Age5yr	Indigenous	persons
South Australia	65+	1	1581
Western Australia	0-4		9388
Western Australia	0-4	0	143939
Western Australia	0-4	1	8409
Western Australia	5-9		8747
Western Australia	5-9	0	146746
Western Australia	5-9	1	8658
Western Australia	10-14		7795
Western Australia	10-14	0	134699
Western Australia	10-14	1	8309
Western Australia	15-19		7810
Western Australia	15-19	0	134769
Western Australia	15-19	1	7418
Western Australia	20-24		10501
Western Australia	20-24	0	143177
Western Australia	20-24	1	6654
Western Australia	25-29		14383
Western Australia	25-29	0	164385
Western Australia	25-29	1	6139
Western Australia	30-34		14250
Western Australia	30-34	0	174708
Western Australia	30-34	1	5312
Western Australia	35-39		11592
Western Australia	35-39	0	157007
Western Australia	35-39	1	4442
Western Australia	40-44		11268
Western Australia	40-44	0	156311
Western Australia	40-44	1	4418
Western Australia	45-49		11231
Western Australia	45-49	0	157010
Western Australia	45-49	1	4275
Western Australia	50-54		10793
Western Australia	50-54	0	148025
Western Australia	50-54	1	3617
Western Australia	55-59		10105
Western Australia	55-59	0	136843
Western Australia	55-59	1	2947
Western Australia	60-64		8724
Western Australia	60-64	0	121228
Western Australia	60-64	1	2188
Western Australia	65+		24309
Western Australia	65+	0	318683
Western Australia	65+	1	3192
Tasmania	0-4		1570
Tasmania	0-4	0	24465
Tasmania	0-4	1	2439
Tasmania	5-9		1719
Tasmania	5-9	0	27007
Tasmania	5-9	1	2788
Tasmania	10-14		1671
Tasmania	10-14	0	25989
Tasmania	10-14	1	2566
Tasmania	15-19		1685
Tasmania	15-19	0	27011
Tasmania	15-19	1	2381
Tasmania	20-24		1737
Tasmania	20-24	0	26215
Tasmania	20-24	1	1916
Tasmania	25-29		1752
Tasmania	25-29	0	25380
Tasmania	25-29	1	1577
Tasmania	30-34		1690
Tasmania	30-34	0	26173
Tasmania	30-34	1	1463
Tasmania	35-39		1571
Tasmania	35-39	0	25556
Tasmania	35-39	1	1205
Tasmania	40-44		1784
Tasmania	40-44	0	28477
Tasmania	40-44	1	1236
Tasmania	45-49		1985
Tasmania	45-49	0	31143
Tasmania	45-49	1	1383
Tasmania	50-54		2129
Tasmania	50-54	0	32224
Tasmania	50-54	1	1184
Tasmania	55-59		2343
Tasmania	55-59	0	33910
Tasmania	55-59	1	1127
Tasmania	60-64		2214
Tasmania	60-64	0	31700
Tasmania	60-64	1	859
Tasmania	65+		7404
Tasmania	65+	0	89888
Tasmania	65+	1	1455
Northern Territory	0-4		1513
Northern Territory	0-4	0	10521
Northern Territory	0-4	1	5596
Northern Territory	5-9		1319
Northern Territory	5-9	0	9488
Northern Territory	5-9	1	6015
Northern Territory	10-14		1158
Northern Territory	10-14	0	7989
Northern Territory	10-14	1	5880
Northern Territory	15-19		1137
Northern Territory	15-19	0	7317
Northern Territory	15-19	1	5621
Northern Territory	20-24		1701
Northern Territory	20-24	0	9467
Northern Territory	20-24	1	5480
Northern Territory	25-29		2564
Northern Territory	25-29	0	14141
Northern Territory	25-29	1	5003
Northern Territory	30-34		2268
Northern Territory	30-34	0	14434
Northern Territory	30-34	1	4628
Northern Territory	35-39		1871
Northern Territory	35-39	0	12267
Northern Territory	35-39	1	3883
Northern Territory	40-44		1646
Northern Territory	40-44	0	11140
Northern Territory	40-44	1	3831
Northern Territory	45-49		1829
Northern Territory	45-49	0	11120
Northern Territory	45-49	1	3515
Northern Territory	50-54		1641
Northern Territory	50-54	0	10329
Northern Territory	50-54	1	2884
Northern Territory	55-59		1488
Northern Territory	55-59	0	9280
Northern Territory	55-59	1	2124
Northern Territory	60-64		1280
Northern Territory	60-64	0	7537
Northern Territory	60-64	1	1593
Northern Territory	65+		1844
Northern Territory	65+	0	12310
Northern Territory	65+	1	2211
Australian Capital Territory	0-4		1197
Australian Capital Territory	0-4	0	24874
Australian Capital Territory	0-4	1	726
Australian Capital Territory	5-9		972
Australian Capital Territory	5-9	0	23797
Australian Capital Territory	5-9	1	680
Australian Capital Territory	10-14		781
Australian Capital Territory	10-14	0	20830
Australian Capital Territory	10-14	1	622
Australian Capital Territory	15-19		1015
Australian Capital Territory	15-19	0	22813
Australian Capital Territory	15-19	1	680
Australian Capital Territory	20-24		1738
Australian Capital Territory	20-24	0	29003
Australian Capital Territory	20-24	1	691
Australian Capital Territory	25-29		1955
Australian Capital Territory	25-29	0	29956
Australian Capital Territory	25-29	1	576
Australian Capital Territory	30-34		1910
Australian Capital Territory	30-34	0	31265
Australian Capital Territory	30-34	1	454
Australian Capital Territory	35-39		1506
Australian Capital Territory	35-39	0	28302
Australian Capital Territory	35-39	1	387
Australian Capital Territory	40-44		1424
Australian Capital Territory	40-44	0	26421
Australian Capital Territory	40-44	1	368
Australian Capital Territory	45-49		1326
Australian Capital Territory	45-49	0	24862
Australian Capital Territory	45-49	1	359
Australian Capital Territory	50-54		1226
Australian Capital Territory	50-54	0	22872
Australian Capital Territory	50-54	1	331
Australian Capital Territory	55-59		1158
Australian Capital Territory	55-59	0	20952
Australian Capital Territory	55-59	1	242
Australian Capital Territory	60-64		1014
Australian Capital Territory	60-64	0	17957
Australian Capital Territory	60-64	1	173
Australian Capital Territory	65+		2924
Australian Capital Territory	65+	0	46838
Australian Capital Territory	65+	1	205
Other Territories	0-4		15
Other Territories	0-4	0	238
Other Territories	0-4	1	14
Other Territories	5-9		23
Other Territories	5-9	0	242
Other Territories	5-9	1	20
Other Territories	10-14		22
Other Territories	10-14	0	222
Other Territories	10-14	1	24
Other Territories	15-19		25
Other Territories	15-19	0	167
Other Territories	15-19	1	20
Other Territories	20-24		26
Other Territories	20-24	0	175
Other Territories	20-24	1	13
Other Territories	25-29		29
Other Territories	25-29	0	221
Other Territories	25-29	1	7
Other Territories	30-34		34
Other Territories	30-34	0	268
Other Territories	30-34	1	11
Other Territories	35-39		13
Other Territories	35-39	0	287
Other Territories	35-39	1	15
Other Territories	40-44		22
Other Territories	40-44	0	280
Other Territories	40-44	1	19
Other Territories	45-49		35
Other Territories	45-49	0	278
Other Territories	45-49	1	21
Other Territories	50-54		50
Other Territories	50-54	0	317
Other Territories	50-54	1	12
Other Territories	55-59		45
Other Territories	55-59	0	313
Other Territories	55-59	1	19
Other Territories	60-64		43
Other Territories	60-64	0	282
Other Territories	60-64	1	9
Other Territories	65+		84
Other Territories	65+	0	612
Other Territories	65+	1	19
