STE_NAME16	DwellingStructure	MortgageRepayment.min	occupied_private_dwellings_being_purchased
Western Australia	(Other)	28800	55
Western Australia	(Other)	36000	63
Western Australia	(Other)	48000	56
Western Australia	Flat/apartment	0	375
Western Australia	Flat/apartment	3600	140
Western Australia	Flat/apartment	5400	120
Western Australia	Flat/apartment	7200	271
Western Australia	Flat/apartment	9600	335
Western Australia	Flat/apartment	12000	1284
Western Australia	Flat/apartment	16800	1685
Western Australia	Flat/apartment	21600	2010
Western Australia	Flat/apartment	28800	891
Western Australia	Flat/apartment	36000	703
Western Australia	Flat/apartment	48000	471
Western Australia	Semi-detached, row/terrace house, townhouse etc.	0	1480
Western Australia	Semi-detached, row/terrace house, townhouse etc.	3600	612
Western Australia	Semi-detached, row/terrace house, townhouse etc.	5400	497
Western Australia	Semi-detached, row/terrace house, townhouse etc.	7200	923
Western Australia	Semi-detached, row/terrace house, townhouse etc.	9600	1232
Western Australia	Semi-detached, row/terrace house, townhouse etc.	12000	3988
Western Australia	Semi-detached, row/terrace house, townhouse etc.	16800	5653
Western Australia	Semi-detached, row/terrace house, townhouse etc.	21600	8031
Western Australia	Semi-detached, row/terrace house, townhouse etc.	28800	3664
Western Australia	Semi-detached, row/terrace house, townhouse etc.	36000	2919
Western Australia	Semi-detached, row/terrace house, townhouse etc.	48000	1762
Western Australia	Separate house	0	14169
Western Australia	Separate house	3600	5751
Western Australia	Separate house	5400	5122
Western Australia	Separate house	7200	9090
Western Australia	Separate house	9600	11729
Western Australia	Separate house	12000	34344
Western Australia	Separate house	16800	43210
Western Australia	Separate house	21600	73197
Western Australia	Separate house	28800	41145
Western Australia	Separate house	36000	32364
Western Australia	Separate house	48000	20618
Tasmania		0	13
Tasmania		3600	13
Tasmania		5400	7
Tasmania		7200	19
Tasmania		9600	20
Tasmania		12000	35
Tasmania		16800	32
Tasmania		21600	27
Tasmania		28800	10
Tasmania		36000	9
Tasmania		48000	11
Tasmania	(Other)	0	16
Tasmania	(Other)	3600	10
Tasmania	(Other)	5400	5
Tasmania	(Other)	7200	22
Tasmania	(Other)	9600	18
Tasmania	(Other)	12000	37
Tasmania	(Other)	16800	25
Tasmania	(Other)	21600	28
Tasmania	(Other)	28800	3
Tasmania	(Other)	36000	11
Tasmania	(Other)	48000	13
Tasmania	Flat/apartment	0	75
Tasmania	Flat/apartment	3600	52
Tasmania	Flat/apartment	5400	47
Tasmania	Flat/apartment	7200	84
Tasmania	Flat/apartment	9600	164
Tasmania	Flat/apartment	12000	287
Tasmania	Flat/apartment	16800	171
Tasmania	Flat/apartment	21600	97
Tasmania	Flat/apartment	28800	34
Tasmania	Flat/apartment	36000	21
Tasmania	Flat/apartment	48000	15
Tasmania	Semi-detached, row/terrace house, townhouse etc.	0	76
Tasmania	Semi-detached, row/terrace house, townhouse etc.	3600	53
Tasmania	Semi-detached, row/terrace house, townhouse etc.	5400	49
Tasmania	Semi-detached, row/terrace house, townhouse etc.	7200	113
Tasmania	Semi-detached, row/terrace house, townhouse etc.	9600	163
Tasmania	Semi-detached, row/terrace house, townhouse etc.	12000	285
Tasmania	Semi-detached, row/terrace house, townhouse etc.	16800	218
Tasmania	Semi-detached, row/terrace house, townhouse etc.	21600	138
Tasmania	Semi-detached, row/terrace house, townhouse etc.	28800	60
Tasmania	Semi-detached, row/terrace house, townhouse etc.	36000	37
Tasmania	Semi-detached, row/terrace house, townhouse etc.	48000	25
Tasmania	Separate house	0	3543
Tasmania	Separate house	3600	2579
Tasmania	Separate house	5400	2372
Tasmania	Separate house	7200	4504
Tasmania	Separate house	9600	6174
Tasmania	Separate house	12000	15112
Tasmania	Separate house	16800	12315
Tasmania	Separate house	21600	8808
Tasmania	Separate house	28800	2756
Tasmania	Separate house	36000	1968
Tasmania	Separate house	48000	1096
Northern Territory		0	6
Northern Territory		7200	3
Northern Territory		12000	5
Northern Territory		16800	8
Northern Territory		21600	15
Northern Territory		28800	15
Northern Territory		36000	13
Northern Territory		48000	6
Northern Territory	(Other)	0	11
Northern Territory	(Other)	7200	10
Northern Territory	(Other)	9600	11
Northern Territory	(Other)	12000	39
Northern Territory	(Other)	16800	34
Northern Territory	(Other)	21600	55
Northern Territory	(Other)	28800	35
Northern Territory	(Other)	36000	24
Northern Territory	(Other)	48000	17
Northern Territory	Flat/apartment	0	64
Northern Territory	Flat/apartment	3600	21
Northern Territory	Flat/apartment	5400	24
Northern Territory	Flat/apartment	7200	51
Northern Territory	Flat/apartment	9600	82
Northern Territory	Flat/apartment	12000	244
Northern Territory	Flat/apartment	16800	318
Northern Territory	Flat/apartment	21600	512
Northern Territory	Flat/apartment	28800	259
Northern Territory	Flat/apartment	36000	194
Northern Territory	Flat/apartment	48000	94
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	0	48
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	3600	12
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	5400	27
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	7200	36
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	9600	65
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	12000	239
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	16800	319
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	21600	398
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	28800	177
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	36000	104
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	48000	49
Northern Territory	Separate house	0	430
Northern Territory	Separate house	3600	212
Northern Territory	Separate house	5400	182
Northern Territory	Separate house	7200	331
Northern Territory	Separate house	9600	473
Northern Territory	Separate house	12000	1496
Northern Territory	Separate house	16800	1871
Northern Territory	Separate house	21600	3155
Northern Territory	Separate house	28800	2566
Northern Territory	Separate house	36000	2635
Northern Territory	Separate house	48000	1394
Australian Capital Territory		0	3
Australian Capital Territory		12000	3
Australian Capital Territory		16800	7
Australian Capital Territory		21600	9
Australian Capital Territory		28800	3
Australian Capital Territory		36000	3
Australian Capital Territory	(Other)	12000	8
Australian Capital Territory	(Other)	16800	4
Australian Capital Territory	(Other)	21600	5
Australian Capital Territory	(Other)	28800	4
Australian Capital Territory	Flat/apartment	0	141
Australian Capital Territory	Flat/apartment	3600	49
Australian Capital Territory	Flat/apartment	5400	48
Australian Capital Territory	Flat/apartment	7200	108
Australian Capital Territory	Flat/apartment	9600	168
Australian Capital Territory	Flat/apartment	12000	599
Australian Capital Territory	Flat/apartment	16800	1168
Australian Capital Territory	Flat/apartment	21600	1187
Australian Capital Territory	Flat/apartment	28800	395
Australian Capital Territory	Flat/apartment	36000	288
Australian Capital Territory	Flat/apartment	48000	168
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	0	312
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	3600	101
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	5400	90
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	7200	205
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	9600	292
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	12000	901
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	16800	1611
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	21600	2247
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	28800	821
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	36000	631
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	48000	279
Australian Capital Territory	Separate house	0	1933
Australian Capital Territory	Separate house	3600	734
Australian Capital Territory	Separate house	5400	609
Australian Capital Territory	Separate house	7200	1008
Australian Capital Territory	Separate house	9600	1359
Australian Capital Territory	Separate house	12000	3828
Australian Capital Territory	Separate house	16800	5013
Australian Capital Territory	Separate house	21600	10634
Australian Capital Territory	Separate house	28800	6872
Australian Capital Territory	Separate house	36000	5988
Australian Capital Territory	Separate house	48000	3351
Other Territories	Flat/apartment	12000	3
Other Territories	Flat/apartment	16800	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.	21600	3
Other Territories	Separate house	0	18
Other Territories	Separate house	3600	9
Other Territories	Separate house	5400	9
Other Territories	Separate house	7200	13
Other Territories	Separate house	9600	20
Other Territories	Separate house	12000	59
Other Territories	Separate house	16800	54
Other Territories	Separate house	21600	42
Other Territories	Separate house	28800	19
Other Territories	Separate house	36000	14
Other Territories	Separate house	48000	11
