STE_NAME16	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Queensland	1	0	0	9600	7385
Queensland	1	0	0	12000	9112
Queensland	1	0	0	14400	11590
Queensland	1	0	0	16800	11074
Queensland	1	0	0	19200	13257
Queensland	1	0	0	21600	9996
Queensland	1	0	0	24000	16112
Queensland	1	0	0	26400	6922
Queensland	1	0	0	28800	5047
Queensland	1	0	0	31200	10358
Queensland	1	0	0	36000	11351
Queensland	1	0	0	48000	3870
Queensland	1	0	0	60000	2555
Queensland	1	1	0	0	2930
Queensland	1	1	0	1800	844
Queensland	1	1	0	3600	1763
Queensland	1	1	0	5400	1593
Queensland	1	1	0	7200	2968
Queensland	1	1	0	9600	4076
Queensland	1	1	0	12000	5170
Queensland	1	1	0	14400	5973
Queensland	1	1	0	16800	5467
Queensland	1	1	0	19200	6526
Queensland	1	1	0	21600	4397
Queensland	1	1	0	24000	8289
Queensland	1	1	0	26400	3126
Queensland	1	1	0	28800	2411
Queensland	1	1	0	31200	5419
Queensland	1	1	0	36000	6463
Queensland	1	1	0	48000	2220
Queensland	1	1	0	60000	1650
Queensland	1	1	1	0	3924
Queensland	1	1	1	1800	932
Queensland	1	1	1	3600	1998
Queensland	1	1	1	5400	1952
Queensland	1	1	1	7200	3938
Queensland	1	1	1	9600	6481
Queensland	1	1	1	12000	9875
Queensland	1	1	1	14400	14403
Queensland	1	1	1	16800	16333
Queensland	1	1	1	19200	21026
Queensland	1	1	1	21600	17349
Queensland	1	1	1	24000	27451
Queensland	1	1	1	26400	13620
Queensland	1	1	1	28800	9730
Queensland	1	1	1	31200	20174
Queensland	1	1	1	36000	21940
Queensland	1	1	1	48000	7096
Queensland	1	1	1	60000	5013
South Australia		1	1	0	96
South Australia		1	1	1800	29
South Australia		1	1	3600	70
South Australia		1	1	5400	61
South Australia		1	1	7200	78
South Australia		1	1	9600	131
South Australia		1	1	12000	150
South Australia		1	1	14400	191
South Australia		1	1	16800	161
South Australia		1	1	19200	172
South Australia		1	1	21600	79
South Australia		1	1	24000	122
South Australia		1	1	26400	42
South Australia		1	1	28800	35
South Australia		1	1	31200	52
South Australia		1	1	36000	59
South Australia		1	1	48000	12
South Australia		1	1	60000	12
South Australia	0	1	0	0	529
South Australia	0	1	0	1800	244
South Australia	0	1	0	3600	653
South Australia	0	1	0	5400	649
South Australia	0	1	0	7200	1158
South Australia	0	1	0	9600	1413
South Australia	0	1	0	12000	1369
South Australia	0	1	0	14400	1457
South Australia	0	1	0	16800	1060
South Australia	0	1	0	19200	941
South Australia	0	1	0	21600	479
South Australia	0	1	0	24000	644
South Australia	0	1	0	26400	206
South Australia	0	1	0	28800	111
South Australia	0	1	0	31200	245
South Australia	0	1	0	36000	304
South Australia	0	1	0	48000	102
South Australia	0	1	0	60000	99
South Australia	0	1	1	0	273
South Australia	0	1	1	1800	96
South Australia	0	1	1	3600	275
South Australia	0	1	1	5400	329
South Australia	0	1	1	7200	854
South Australia	0	1	1	9600	1200
South Australia	0	1	1	12000	1295
South Australia	0	1	1	14400	1479
South Australia	0	1	1	16800	1229
South Australia	0	1	1	19200	1054
South Australia	0	1	1	21600	596
South Australia	0	1	1	24000	714
South Australia	0	1	1	26400	239
South Australia	0	1	1	28800	140
South Australia	0	1	1	31200	284
South Australia	0	1	1	36000	290
South Australia	0	1	1	48000	98
South Australia	0	1	1	60000	87
South Australia	1	0	0	0	2821
South Australia	1	0	0	1800	1034
South Australia	1	0	0	3600	2156
South Australia	1	0	0	5400	1892
South Australia	1	0	0	7200	3205
South Australia	1	0	0	9600	3864
South Australia	1	0	0	12000	4579
South Australia	1	0	0	14400	5088
South Australia	1	0	0	16800	4781
South Australia	1	0	0	19200	4993
South Australia	1	0	0	21600	3319
South Australia	1	0	0	24000	4634
South Australia	1	0	0	26400	1756
South Australia	1	0	0	28800	1163
South Australia	1	0	0	31200	2521
South Australia	1	0	0	36000	2639
South Australia	1	0	0	48000	945
South Australia	1	0	0	60000	569
South Australia	1	1	0	0	1292
South Australia	1	1	0	1800	484
South Australia	1	1	0	3600	1173
South Australia	1	1	0	5400	1059
South Australia	1	1	0	7200	1992
South Australia	1	1	0	9600	2505
South Australia	1	1	0	12000	2872
South Australia	1	1	0	14400	3101
South Australia	1	1	0	16800	2538
South Australia	1	1	0	19200	2588
South Australia	1	1	0	21600	1607
South Australia	1	1	0	24000	2639
South Australia	1	1	0	26400	886
South Australia	1	1	0	28800	601
South Australia	1	1	0	31200	1429
South Australia	1	1	0	36000	1672
South Australia	1	1	0	48000	636
South Australia	1	1	0	60000	480
South Australia	1	1	1	0	1706
South Australia	1	1	1	1800	435
South Australia	1	1	1	3600	1125
South Australia	1	1	1	5400	1143
South Australia	1	1	1	7200	2558
South Australia	1	1	1	9600	4027
