SA3_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
11502,64,34,99,28,19,49,27,70,100,23,78,100,129,193,325,78,140,216,264,90,358,235,87,324,362,121,489,349,96,447,298,64,366,325,39,371,684,63,753,598,8,603,452,4,455,428,42,465,1391,9,1402,800,20,818,90,55,150,6630,1237,7867
11503,49,41,89,31,22,52,38,71,108,16,80,100,113,206,320,92,110,203,255,101,357,252,144,397,394,147,537,430,76,508,426,67,492,412,56,467,890,73,966,675,6,682,483,7,493,335,43,379,693,4,703,649,18,666,100,44,143,6327,1324,7649
11504,74,40,114,31,18,45,26,59,79,20,62,84,96,147,244,78,78,158,229,76,308,252,96,346,369,104,471,413,75,488,427,57,483,456,42,499,1099,91,1196,1014,13,1030,791,5,799,642,42,690,1542,7,1555,826,32,855,81,64,141,8466,1117,9577
11601,345,301,648,167,119,287,261,612,879,217,986,1203,823,1440,2268,902,564,1461,2037,606,2648,1792,750,2539,2562,766,3327,2635,540,3175,2360,432,2790,2450,299,2751,4901,406,5312,3367,92,3456,2206,52,2251,1331,110,1440,2264,44,2300,2819,203,3024,494,544,1034,33925,8863,42788
11602,133,128,262,54,36,89,77,126,199,75,202,277,265,417,682,314,235,555,728,181,908,732,256,988,1112,308,1415,1311,269,1578,1274,211,1481,1478,199,1673,3644,283,3927,2968,42,3009,2298,27,2321,1746,92,1837,3149,26,3176,1973,85,2056,197,132,332,23533,3243,26768
11603,236,197,429,107,74,180,280,413,694,301,643,946,766,1014,1781,916,385,1300,1949,429,2376,1675,554,2229,2102,504,2606,2290,354,2652,1914,258,2171,1908,174,2082,3667,218,3882,2240,37,2277,1326,12,1343,746,59,802,1235,14,1244,2441,107,2548,479,343,816,26580,5786,32360
11701,134,299,437,49,88,136,60,295,352,55,473,533,264,693,957,297,271,572,617,290,906,525,318,849,777,365,1145,744,287,1028,684,214,901,692,208,903,1420,332,1755,1112,85,1194,870,58,924,641,141,773,1285,83,1368,1088,215,1305,157,227,385,11477,4942,16424
11702,94,206,294,53,80,130,68,278,347,56,453,507,235,630,864,179,380,556,520,402,917,459,513,976,638,651,1290,660,632,1290,609,581,1190,640,479,1119,1508,934,2438,1278,227,1504,1090,169,1257,888,347,1237,2261,281,2540,1150,543,1689,118,187,304,12482,7968,20447
11703,777,3683,4467,189,675,860,323,1750,2073,245,2403,2647,645,2749,3398,622,1730,2348,1192,1881,3070,1207,2429,3636,1721,3145,4868,1806,2909,4719,1704,2952,4651,1884,2584,4469,4842,5565,10407,4012,1232,5243,3448,889,4336,3293,4142,7436,9679,1817,11496,3720,2556,6281,330,1070,1396,41627,46173,87796
11801,251,466,721,112,161,274,106,465,570,90,675,766,272,1139,1413,285,936,1219,593,889,1481,694,1156,1853,1024,1398,2422,1118,1228,2348,959,1206,2167,1087,1071,2166,2683,2172,4860,2263,444,2709,1991,335,2325,2578,2252,4835,9897,993,10896,3316,1182,4503,370,560,926,29707,18747,48449
11802,464,1277,1737,144,318,458,220,877,1099,144,1227,1376,548,1697,2249,552,1079,1633,1134,910,2042,1100,1142,2244,1517,1305,2818,1591,1162,2751,1459,1095,2552,1469,939,2411,3511,1752,5260,2936,457,3393,2312,314,2628,2211,967,3175,6846,463,7312,3221,970,4190,389,651,1039,31775,18602,50373
11901,555,448,1002,207,207,407,495,935,1429,399,1489,1890,1369,2147,3517,1455,932,2385,3137,829,3970,2668,778,3447,3296,820,4111,3173,530,3703,2577,403,2974,2511,301,2805,4732,360,5094,3190,94,3282,2176,40,2220,1486,124,1605,2875,38,2909,3894,220,4116,626,640,1272,40811,11338,52154
11902,600,460,1060,229,148,373,396,674,1069,308,901,1209,1174,1573,2751,1230,691,1922,2648,668,3317,2446,808,3256,2940,820,3766,2736,526,3263,2103,406,2513,1971,323,2295,3587,417,4009,2319,134,2455,1478,62,1543,997,117,1112,1934,58,1997,3094,368,3462,450,430,879,32653,9591,42240
11903,504,584,1085,186,164,350,288,625,910,218,980,1198,774,1547,2320,790,746,1535,1842,701,2543,1614,788,2404,2321,891,3214,2206,662,2862,1925,502,2426,1958,395,2348,3926,596,4521,2853,112,2966,1989,71,2058,1481,230,1715,3718,64,3785,3016,283,3298,385,485,863,31992,10424,42420
11904,437,610,1051,188,188,382,285,603,893,239,905,1138,846,1715,2560,783,932,1714,2056,860,2912,1774,1052,2821,2336,1168,3504,2442,888,3331,2165,855,3024,2157,621,2783,4644,1117,5755,3219,216,3436,2266,158,2426,1637,363,2002,3174,128,3305,3239,455,3685,390,481,873,34274,13323,47593
12001,333,532,869,116,120,236,128,346,474,106,527,627,387,882,1273,345,477,826,875,458,1337,806,552,1359,1181,665,1847,1157,549,1702,979,535,1520,1112,485,1594,2593,923,3513,2009,166,2174,1626,94,1725,1694,665,2356,4758,171,4929,2064,337,2394,193,299,492,22465,8780,31246
12002,83,187,264,42,82,125,60,243,304,47,433,477,142,644,782,137,411,544,330,398,733,309,494,803,464,552,1020,503,471,977,444,502,949,498,431,931,1247,854,2105,1130,136,1264,997,104,1099,1311,814,2124,4829,218,5053,1350,316,1671,91,204,296,14007,7509,21515
12003,538,869,1409,229,241,469,277,683,955,223,961,1179,695,1613,2309,754,1023,1771,1770,938,2709,1520,1153,2673,2317,1473,3794,2332,1176,3504,2068,1070,3142,2089,872,2960,4527,1510,6036,3349,407,3756,2482,216,2702,1984,503,2486,5243,331,5574,3211,727,3934,321,506,826,35919,16268,52190
12101,463,480,945,125,158,289,152,339,493,111,528,634,363,886,1244,380,608,986,735,584,1320,796,728,1517,1192,884,2075,1254,798,2059,1101,817,1920,1281,694,1976,3126,1495,4621,2359,195,2560,1905,154,2055,2383,997,3383,8369,239,8611,2956,393,3351,250,320,568,29301,11304,40605
12102,182,159,343,83,96,178,138,231,368,74,407,482,315,781,1091,312,520,831,814,443,1252,816,478,1291,1252,513,1766,1306,420,1731,1173,338,1509,1263,276,1540,2837,489,3329,2248,71,2318,1712,39,1751,1437,163,1596,3463,34,3498,2033,115,2141,183,198,377,21629,5765,27397
12103,414,261,677,149,106,254,158,221,384,78,304,383,305,657,963,363,578,938,700,478,1175,825,565,1393,1296,577,1874,1342,441,1785,1132,470,1603,1255,375,1633,2773,632,3407,2305,51,2363,1959,37,2000,2545,570,3113,10272,63,10337,3621,107,3728,299,258,556,31810,6759,38566
12104,194,385,579,72,157,229,84,345,424,64,559,623,167,918,1086,199,720,923,389,753,1139,469,994,1464,761,1191,1955,857,1216,2067,778,1250,2027,867,1122,1990,2459,2327,4789,2002,266,2267,1733,209,1942,2380,2098,4484,8197,366,8562,2483,524,3009,191,401,589,24356,15794,40152
12201,75,107,184,35,47,80,31,134,169,18,194,218,87,364,451,99,294,388,217,234,453,232,312,537,381,349,731,378,274,651,366,290,656,396,279,676,1004,481,1488,833,94,921,684,88,776,981,527,1507,3743,174,3926,1256,241,1496,111,140,251,10941,4624,15559
12202,104,118,227,49,66,111,53,180,241,40,272,318,207,575,783,165,458,621,470,384,857,502,384,882,903,421,1319,891,291,1179,752,246,1000,832,186,1022,1755,316,2068,1536,34,1568,1145,23,1167,1117,264,1376,3356,30,3386,1938,93,2030,200,202,402,16015,4548,20562
12203,246,302,550,127,145,271,152,472,629,106,830,937,504,1679,2186,481,1095,1574,1196,966,2167,1328,1059,2386,1987,1220,3203,2077,891,2973,1812,842,2660,2048,598,2651,4654,1039,5691,3822,185,4014,2922,99,3021,2733,517,3252,8259,111,8367,3931,364,4294,421,588,1006,38806,13008,51814
12301,95,78,172,40,49,87,60,123,180,56,227,277,235,489,723,223,236,459,687,201,887,636,241,872,919,295,1216,1012,218,1233,1035,195,1227,1080,165,1250,2529,198,2732,2083,25,2111,1433,17,1452,976,57,1029,1766,15,1780,1431,47,1471,207,130,342,16493,3007,19497
12302,325,276,601,196,150,349,331,602,925,359,999,1353,1109,1799,2908,1273,791,2068,2728,727,3454,2407,991,3400,3288,1006,4292,3286,702,3989,2971,546,3513,2825,369,3202,5407,453,5860,3467,80,3546,2122,29,2150,1350,114,1468,2263,34,2290,3585,182,3773,631,558,1184,39926,10403,50325
12303,59,53,109,26,31,51,52,102,156,38,191,234,234,425,661,197,175,371,605,190,794,488,205,693,691,192,885,684,132,816,624,111,736,703,79,779,1528,111,1644,1111,14,1128,733,0,740,513,40,552,1052,6,1059,1140,24,1169,186,141,329,10662,2233,12900
12401,105,173,283,65,89,154,95,387,481,101,615,716,399,1528,1928,486,879,1367,1245,734,1974,1173,767,1941,1677,649,2325,1551,502,2048,1268,406,1668,1342,336,1679,2637,407,3042,2043,49,2095,1312,24,1331,950,122,1066,1811,20,1827,1882,148,2036,213,377,592,20357,8204,28560
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
12403,240,256,495,78,115,187,188,471,666,189,843,1030,687,1664,2356,812,834,1639,1954,745,2700,1682,898,2584,2488,1048,3541,2621,746,3366,2388,598,2987,2615,437,3048,5549,550,6096,3934,105,4043,2546,59,2607,1642,156,1792,3009,39,3052,2974,178,3149,466,493,960,36064,10228,46294
12404,50,72,118,35,41,73,35,168,199,65,291,352,205,506,711,227,303,528,522,290,814,482,268,753,669,341,1006,692,227,923,622,192,819,647,117,769,1144,154,1297,871,31,899,528,12,541,363,44,408,631,9,640,842,46,887,139,177,311,8778,3285,12063
12405,114,109,229,38,50,88,101,185,283,91,275,370,312,560,870,321,247,564,842,296,1140,748,392,1142,1061,406,1467,1141,259,1402,1006,221,1228,1038,133,1165,1987,143,2133,1244,31,1272,771,9,782,502,31,529,763,5,770,1271,85,1356,234,214,448,13574,3670,17247
12501,380,344,724,118,95,206,240,313,556,202,414,620,599,648,1250,672,374,1044,1285,368,1651,1284,440,1721,1660,557,2212,1634,417,2051,1349,397,1743,1187,289,1472,2395,568,2960,1587,160,1739,1032,103,1131,761,215,977,1329,173,1499,1851,385,2232,257,196,454,19808,6442,26251
12502,237,207,448,103,81,182,137,333,474,111,486,597,383,688,1072,434,324,757,880,308,1193,832,359,1192,1137,359,1499,1190,271,1464,1038,214,1256,1038,173,1208,2161,274,2428,1670,54,1722,1133,24,1160,953,99,1051,1991,27,2013,1581,103,1681,177,232,408,17192,4606,21804
12503,533,424,961,218,173,399,444,814,1258,370,1215,1582,1305,1818,3131,1209,809,2017,2650,701,3343,2414,838,3255,3069,796,3865,2803,534,3333,2268,441,2714,2119,327,2452,3929,406,4337,2661,106,2766,1705,55,1760,1097,114,1211,2014,70,2082,3470,293,3759,568,584,1155,34847,10532,45380
