SA3_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
21004,518,87,625,7083,2643,274,9999,19546,2072,31617
21005,1088,163,1280,27244,6857,671,34772,79482,9517,123772
21101,2601,469,3105,26124,9713,938,36776,83579,6725,127080
21102,577,87,668,4395,1862,150,6411,13757,1111,21275
21103,2155,464,2639,19467,7231,826,27522,56807,5092,89423
21104,1396,277,1691,11031,3797,360,15190,32143,2489,49819
21105,2096,402,2531,25614,10438,1268,37320,75297,7834,120450
21201,962,192,1177,18464,5532,785,24771,42396,5359,72532
21202,1761,260,2043,23022,7224,688,30930,67193,6264,104387
21203,1117,260,1407,33978,8030,1065,43070,74909,9079,127067
21204,3196,513,3755,28236,8523,586,37340,104758,11566,153660
21205,4128,730,4926,27390,9304,660,37359,101478,8633,147473
21301,2202,460,2699,28441,9212,625,38273,100537,12581,151396
21302,1587,295,1910,14587,4226,483,19298,44283,4877,68456
21303,1098,263,1379,12874,2998,469,16348,46847,5900,69093
21304,1013,175,1209,30234,7863,889,38992,67758,9502,116252
21305,1153,307,1490,47279,10160,1156,58597,96151,12538,167288
21401,2157,523,2713,22823,8563,1018,32405,67799,8910,109114
21402,4087,909,5059,24422,11395,1088,36895,80928,10329,128156
21501,1705,390,2119,8142,3530,396,12069,31798,5131,48998
21502,1118,280,1419,7775,3260,347,11380,27419,4847,43642
21503,970,288,1276,4989,2153,231,7372,19285,4058,30716
21601,891,254,1164,5309,2394,211,7913,19394,3229,30536
21602,717,200,935,3976,1806,158,5937,15401,2641,23981
21603,1173,291,1486,9826,3544,433,13801,31669,5520,50990
21701,876,240,1138,5003,2192,218,7418,19278,2924,29624
21703,817,210,1053,5267,2509,225,7999,19306,3109,30421
21704,1056,268,1340,7910,3221,365,11499,25280,3847,40629
29797,0,0,0,5,0,0,5,18,3,25
29999,25,13,38,649,290,14,960,3900,1969,6825
30101,922,345,1276,12538,5201,549,18292,36321,3097,57711
30102,1680,400,2087,13499,5473,595,19570,43667,4330,67566
30103,1088,227,1347,13033,4131,547,17710,33292,3443,54445
30201,861,132,1007,7203,2673,296,10171,21401,1630,33199
30202,1570,501,2093,11735,3669,417,15828,37024,3953,56808
30203,505,259,773,6111,1943,198,8250,21771,2390,32413
30204,1155,169,1333,10082,3344,386,13815,30251,2992,47054
30301,1004,154,1175,8898,2808,318,12023,26480,2392,40887
30302,1170,148,1336,10640,3216,420,14276,41601,4472,60344
30303,1217,167,1407,11945,4022,382,16350,38894,3325,58572
30304,694,77,783,6677,1844,237,8748,21055,2047,31850
30305,640,91,731,11209,3237,310,14758,29456,2705,46926
30306,719,148,887,8249,2620,202,11075,27549,2319,40942
30401,326,249,586,6221,2185,244,8651,16014,1342,26009
30402,650,273,943,8746,2848,346,11936,22092,1824,35848
30403,746,150,909,7281,2539,244,10064,30845,2653,43562
30404,951,191,1163,9540,3075,408,13020,24547,2056,39620
30501,685,265,956,5837,2672,198,8704,46046,7413,62160
30502,356,64,438,7103,1798,236,9132,21604,2535,33278
30503,957,302,1279,12298,3845,407,16555,50650,6419,73616
30504,539,76,626,8844,2606,361,11817,31383,3244,46439
30601,310,81,398,9550,2523,436,12512,25504,3768,41791
30602,1186,299,1507,15357,5082,775,21220,49350,9586,80153
30603,599,111,727,4654,2012,178,6845,17991,3170,28001
30604,86,69,159,1492,521,63,2075,6137,1492,9701
30605,766,159,932,5450,2285,340,8067,20924,3898,32890
30701,593,163,765,7082,2125,241,9451,20394,4715,34560
30702,709,217,937,6555,2273,289,9122,20745,3403,33273
30703,827,142,982,5739,2195,243,8178,21469,2919,32566
30801,102,25,133,5472,1343,226,7040,11517,3152,21714
30803,1720,567,2306,18401,7207,897,26499,56312,9750,92567
30804,178,34,211,2482,756,98,3335,6641,1176,11152
30805,426,74,509,11431,3149,527,15099,28281,4314,47696
30901,1347,263,1625,8997,3405,303,12703,34832,4979,52515
30902,1328,259,1602,8298,3076,295,11667,28727,3998,44386
30903,1549,440,2001,8750,3670,328,12751,38159,5521,56429
30904,213,39,253,2855,1193,151,4201,9356,1623,15178
30905,304,63,369,6774,1890,304,8968,15134,1649,25756
30906,824,354,1192,12315,3839,532,16687,32670,4178,53531
30907,845,258,1119,24782,6463,981,32230,51931,7449,91615
30908,660,645,1307,8183,2621,257,11062,26141,3585,40781
30909,1229,369,1605,8172,2752,289,11209,34148,4850,50206
30910,601,177,785,4646,1836,129,6617,24330,5180,36129
31001,729,302,1046,11652,3482,399,15530,33418,8020,56975
31002,803,158,979,9330,3859,467,13665,31109,5631,50400
31003,1432,253,1699,17767,6604,848,25218,49670,6486,81372
31004,320,61,387,16881,4730,755,22367,34429,4742,61542
31101,288,32,328,2058,791,96,2943,6945,1263,11152
31102,482,94,580,6659,2577,337,9575,19906,2645,32120
31103,661,94,761,13989,4727,617,19339,36466,4874,60673
31104,178,28,214,9004,2851,338,12191,20005,2502,34696
31105,809,124,937,10263,3878,451,14594,29023,3709,47315
31106,718,126,861,12682,4728,528,17933,37413,4700,60044
31201,244,70,313,6017,1357,234,7609,14137,4151,25902
31202,1407,220,1645,19514,6514,883,26910,55141,9151,91204
31203,146,60,203,3130,900,142,4172,10448,2776,17403
31301,824,313,1143,3668,2054,169,5890,20114,2615,28623
31302,659,483,1158,11405,3954,621,15975,31487,4855,52306
31303,176,40,212,1796,745,74,2608,6247,2069,10926
31304,555,268,829,11264,4117,605,15986,29413,3609,49003
31305,1427,495,1941,8312,4048,433,12788,32597,4264,49651
31401,631,124,765,17419,5863,744,24023,39987,3087,67098
31402,723,177,906,15126,3975,746,19845,30446,3466,53757
31403,328,168,499,6566,2523,317,9403,18125,1980,29509
31501,126,30,166,4753,2039,341,7129,13053,3955,24134
31502,127,32,158,4767,1510,300,6570,12998,3086,22650
31503,269,69,343,2520,847,84,3446,9332,1479,14253
31601,1252,240,1508,9609,2871,408,12893,28052,2831,43785
31602,2206,388,2618,12918,4848,559,18330,43222,4530,66079
31603,1125,363,1496,8042,3273,264,11578,32051,4429,48062
31605,948,312,1266,6490,2108,259,8861,22222,2909,33986
31606,791,117,918,7805,3108,345,11262,26435,2961,40653
31607,798,187,995,7312,2501,307,10124,21554,2621,34293
31608,245,43,291,3490,1192,165,4846,11605,1390,17842
31701,2512,882,3431,23844,8885,1071,33805,75134,10294,119233
31801,863,219,1087,5918,2531,205,8653,21895,3612,34163
31802,1946,328,2305,30474,10726,1416,42618,92336,14140,149093
31901,1799,442,2264,12250,4609,526,17387,48036,6763,72178
31902,898,192,1100,6574,2438,276,9289,26016,4491,39803
31903,729,296,1038,7009,2556,305,9870,26334,4240,40444
31904,1236,305,1553,7585,2584,347,10519,32101,4478,47094
31905,806,184,1002,5687,2214,256,8159,24861,4398,37422
39797,0,3,4,13,17,0,28,90,21,144
39999,30,11,44,760,474,19,1251,7804,2633,11693
40101,320,48,379,1446,946,61,2449,15912,2491,20850
40102,1107,151,1282,12609,5296,664,18569,35822,3569,57955
40103,1416,217,1666,7372,3160,265,10797,23737,1880,36413
40104,1503,159,1686,8045,3254,233,11532,28727,2011,42269
40105,1158,140,1314,5160,2155,160,7478,21070,1757,30307
40106,695,82,787,4507,1623,157,6288,15790,1398,23476
40107,1439,174,1637,5869,2390,251,8505,21399,1827,31733
40201,622,127,749,5631,2341,252,8221,17787,2040,28045
40202,1160,247,1414,14952,5210,668,20831,42779,5884,69496
40203,1391,211,1620,11377,3467,320,15167,36358,4421,55944
40204,1787,279,2089,22609,8328,769,31708,71227,6713,109646
40205,1735,291,2044,15350,7398,718,23462,49971,3752,77192
40301,1401,219,1635,4511,2632,171,7310,19823,2084,29217
40302,2472,308,2811,14226,5839,517,20578,50600,4283,75460
40303,1876,309,2210,10691,4679,497,15868,33785,2712,52364
40304,2820,613,3479,27956,12718,1433,42112,85692,8790,136595
40401,3114,419,3567,15826,6730,533,23087,62848,5797,91738
40402,1313,247,1584,8313,3363,297,11973,33471,3417,48861
40403,1720,472,2214,9079,3429,298,12801,36022,3378,52206
40501,671,115,798,5743,2485,275,8504,18171,2061,28742
40502,549,111,671,3238,1500,152,4892,12012,1619,18521
40503,694,129,826,3658,1688,152,5497,15123,1965,22581
40504,706,193,909,3003,1452,120,4571,14976,1933,21485
40601,1028,253,1314,8701,3737,458,12898,28073,4637,45608
40602,265,68,338,3825,1648,263,5737,12156,3237,21128
40701,1510,350,1874,6410,3694,329,10435,28783,3729,42948
40702,1264,375,1671,10146,4266,483,14898,32839,4763,52496
40703,1556,315,1892,9478,4215,455,14149,37951,5620,57726
49797,0,0,0,0,0,0,0,6,0,3
49999,16,4,22,262,141,16,411,1621,609,2648
50101,814,256,1079,8979,2714,442,12140,24390,3786,40312
50102,1456,316,1792,17285,6235,796,24316,49535,7721,81572
50103,349,99,451,3236,1310,141,4682,11997,1997,18684
50201,1969,431,2416,14473,5950,674,21095,51215,6869,79180
50301,1637,286,1948,11103,4243,424,15774,35634,3890,55294
50302,1650,343,2007,13659,4304,501,18471,60019,9537,88022
50401,1345,437,1809,12511,4403,471,17382,44723,5295,67399
50402,523,153,683,6578,2826,287,9694,20612,4342,34645
50403,940,326,1283,23514,6781,817,31107,61024,8381,100512
50501,2023,352,2401,27527,11019,1160,39708,79029,6435,125175
50502,3516,946,4532,30329,10836,967,42139,104902,12565,159600
50503,1459,417,1895,36629,9857,1369,47848,86409,10519,144780
50601,666,235,917,14981,4663,589,20242,36858,4776,61871
50602,1002,258,1279,9969,3109,336,13413,39836,6712,59958
50603,1800,398,2209,14729,5059,453,20247,52143,5081,77471
50604,1103,319,1431,21001,6338,738,28078,58090,7242,93412
50605,705,210,922,9678,3943,396,14019,28969,3295,46275
50606,149,34,189,5324,1650,216,7191,11543,1741,20475
50607,858,275,1136,5859,2175,185,8217,24761,2953,35933
50701,1055,341,1413,18872,5587,647,25112,50248,6141,81504
50702,663,237,901,5297,2184,289,7770,20126,3222,31121
50703,253,68,324,7152,1981,294,9423,17194,3615,30236
50704,2543,664,3244,16168,6788,592,23547,54698,5238,83478
50705,1314,381,1712,22938,7241,1092,31267,57216,8712,97197
50901,1133,304,1467,8793,3224,457,12473,30403,5186,48062
50902,765,190,964,7841,3072,350,11263,28997,5545,45809
50903,318,88,412,3062,1151,123,4334,9954,1956,16241
51001,98,22,117,4929,2037,436,7400,14427,4158,25984
51002,17,11,40,4454,1116,228,5794,10305,3924,20024
51003,19,3,22,6596,1114,260,7976,14829,4672,27474
51101,221,51,276,2372,835,132,3340,7651,1740,12732
51102,63,24,92,1356,454,81,1894,4501,1150,7545
51103,133,41,178,6675,1897,399,8973,17149,4297,30412
51104,681,178,866,8078,2979,410,11467,26647,5246,43355
59797,3,0,3,54,4,0,61,297,72,434
59999,13,3,23,376,169,14,558,3441,1554,5559
60101,119,22,143,2908,1022,136,4063,7893,1134,13092
60102,1260,197,1468,8278,3957,386,12617,27369,3132,43120
60103,1029,242,1292,7994,3415,410,11816,27898,3718,43428
60104,606,60,679,5815,2354,319,8484,16251,1446,26181
60105,1204,179,1402,6942,2955,373,10266,29942,3107,43315
60106,239,40,286,2592,1058,110,3762,8317,1044,13123
60201,1828,346,2189,12282,4839,514,17633,43359,5512,66510
60202,375,75,456,3206,1335,142,4690,12327,1649,18665
60203,581,132,728,5051,1992,203,7245,20486,3119,30849
60301,94,22,125,1644,607,49,2301,6005,883,9191
60302,245,44,298,2819,1091,137,4045,10387,1384,15817
60303,121,47,172,763,391,25,1174,4009,705,5887
60401,983,208,1207,6951,2865,312,10131,25832,3251,39213
60402,867,200,1083,6394,2687,300,9384,24108,3009,36508
60403,183,43,233,2634,1033,109,3777,8824,1353,13955
69797,0,0,0,4,0,0,9,53,9,73
69999,3,0,3,89,38,5,128,530,180,835
70101,142,22,166,3318,912,82,4321,14847,3100,22269
70102,260,45,309,8722,2682,344,11741,25911,5019,42671
70103,46,15,63,3428,1016,115,4562,10348,4439,19349
70104,67,17,85,6826,1480,260,8557,13878,2577,25016
70201,158,28,195,5245,2570,814,8624,14840,4885,28350
70202,8,5,17,715,491,127,1328,2190,638,4156
70203,24,4,36,2483,1819,500,4804,5415,1777,11998
70204,0,0,8,1944,1788,639,4371,3722,1207,9295
70205,37,20,56,2634,1240,316,4197,6979,2728,13906
79797,0,0,0,3,0,0,4,43,26,72
79999,0,0,0,151,57,0,211,1317,747,2281
80101,1102,269,1398,16163,6339,669,23164,50020,4826,78013
80103,11,4,17,127,55,8,188,627,637,1455
80104,179,27,210,15554,3268,487,19318,31749,2907,53975
80105,840,206,1058,6445,2224,316,8985,33552,3864,46406
80106,630,236,881,3842,1455,125,5423,15593,2059,23075
80107,690,220,923,14405,6061,679,21146,43527,3791,68469
80108,396,176,586,4031,1682,194,5899,11167,1292,18358
80109,924,130,1076,5632,1972,179,7778,18856,1970,28604
80110,3,0,3,939,197,31,1164,2138,303,3601
80111,0,0,3,112,17,4,141,274,50,464
89797,0,0,0,0,0,0,0,0,0,0
89999,3,0,3,39,33,7,73,322,108,506
90101,3,0,3,237,34,11,278,771,478,1526
90102,0,0,0,81,30,5,119,251,57,430
90103,0,0,0,42,21,0,67,162,81,312
90104,39,9,45,250,126,10,379,942,125,1450
99797,0,0,0,0,0,0,0,6,0,6
99999,0,0,0,3,0,0,6,35,4,46
