SA3_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
21003,13483,6237,1054,64,63,20901,3793,991,322,15,18,5127,517,243,58,7,4,827,17790,7468,1440,84,81,26861
21004,10829,363,663,5,13,11869,1126,131,222,0,3,1485,233,25,28,0,4,292,12190,519,907,5,20,13641
21005,34282,4184,898,173,76,39607,4935,875,259,125,16,6212,1222,188,59,28,38,1543,40440,5246,1215,325,131,47358
21101,40855,5134,907,188,76,47165,3750,1159,342,65,15,5327,856,217,76,14,15,1174,45462,6516,1322,269,104,53669
21102,7154,281,59,16,13,7521,451,75,58,0,0,584,131,11,9,0,0,154,7736,369,124,18,14,8262
21103,31361,2657,781,20,65,34877,3337,604,128,3,15,4086,689,116,27,0,19,855,35380,3371,942,29,101,39820
21104,14462,4100,466,14,34,19078,1557,715,92,0,3,2374,298,130,22,0,11,463,16309,4947,587,14,50,21908
21105,42606,1863,194,143,155,44966,4720,684,38,110,24,5578,963,101,6,15,21,1102,48290,2647,243,264,198,51646
21201,24949,1767,68,69,63,26917,2824,470,52,56,11,3408,601,96,18,7,14,729,28378,2330,137,128,81,31055
21202,32742,3176,277,115,44,36351,3420,736,190,80,8,4436,876,132,22,17,13,1055,37037,4043,490,205,61,41836
21203,40516,3376,306,34,44,44275,3715,742,133,14,10,4621,1192,154,35,4,18,1396,45421,4270,470,55,72,50285
21204,35686,8072,4139,248,99,48241,6531,1958,1229,160,26,9909,1428,464,267,36,31,2230,43648,10497,5635,445,154,60375
21205,37317,7543,6434,38,152,51483,4803,898,837,4,16,6557,952,273,161,3,32,1416,43073,8712,7431,41,206,59458
21301,38110,6147,1834,63,67,46219,8105,1250,765,14,27,10167,1706,297,136,27,17,2179,47925,7691,2728,109,112,58564
21302,16460,7025,1585,89,81,25243,3182,1086,530,35,10,4842,471,189,107,5,6,782,20110,8305,2224,122,103,30862
21303,13018,6291,5919,145,76,25446,2138,912,1054,25,28,4156,419,221,212,8,24,886,15576,7422,7182,174,131,30481
21304,36725,4104,253,88,82,41249,4078,1056,140,69,6,5348,1097,190,15,3,14,1324,41900,5356,411,156,106,47926
21305,51089,8137,1151,69,58,60500,4831,1157,320,53,14,6374,1396,245,59,4,18,1714,57312,9532,1527,130,87,68588
21401,34321,6350,866,241,49,41823,4034,1885,397,172,5,6497,942,317,76,19,11,1364,39300,8550,1343,436,67,49687
21402,41636,4225,1910,253,113,48135,5797,1333,671,186,38,8015,1243,225,126,32,15,1637,48672,5776,2706,472,167,57791
21501,15887,392,407,106,117,16910,4757,367,369,56,35,5583,595,44,43,14,15,719,21241,807,820,181,165,23215
21502,12907,1019,545,112,78,14659,3191,608,514,102,21,4430,531,85,90,8,17,733,16631,1709,1146,224,106,19817
21503,9110,177,271,102,86,9752,3119,126,261,65,17,3589,431,20,47,12,15,527,12662,322,579,189,122,13869
21601,9639,430,206,63,36,10381,2473,302,217,54,7,3050,380,52,21,7,7,472,12486,786,446,124,52,13899
21602,7453,175,200,64,67,7962,2084,137,261,34,33,2545,320,22,37,3,8,389,9853,329,496,105,108,10899
21603,15859,1321,82,138,33,17434,3384,712,66,135,10,4313,595,123,21,25,7,780,19842,2156,166,303,53,22527
21701,9881,213,192,68,83,10423,2769,144,162,29,28,3133,381,27,21,9,8,432,13029,380,371,100,116,13991
21703,9757,331,91,68,74,10323,2820,298,82,21,21,3247,384,37,21,8,18,465,12961,667,188,103,111,14030
21704,12905,1039,346,88,79,14457,2697,521,246,37,13,3516,394,58,74,0,9,543,15995,1627,666,129,104,18519
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30101,19316,2108,337,192,29,21986,1567,561,134,110,3,2372,373,81,19,15,9,498,21259,2749,489,318,41,24854
30102,22551,1710,1244,39,115,25663,2337,538,572,38,23,3512,533,76,59,7,43,714,25419,2329,1877,87,186,29895
30103,17469,2731,691,105,45,21039,1817,561,334,16,6,2734,350,292,43,9,10,704,19642,3581,1074,122,66,24484
30201,10748,1659,489,8,33,12941,900,242,122,0,6,1269,179,41,17,0,3,241,11834,1942,629,10,42,14451
30202,16771,2148,3585,76,53,22632,1999,588,810,85,16,3493,449,154,146,10,40,794,19217,2887,4533,178,107,26918
30203,8099,1326,3369,17,30,12842,932,211,604,0,3,1752,197,47,118,0,21,379,9227,1580,4096,21,54,14971
30204,14184,2406,1404,67,80,18137,1845,564,553,91,11,3059,317,89,68,15,9,502,16347,3058,2018,169,104,21695
30301,12015,2743,896,72,43,15767,1281,278,191,44,5,1801,247,68,29,11,3,357,13540,3089,1123,121,52,17923
30302,12787,2412,8515,116,104,23940,1033,265,1558,13,15,2890,277,70,312,3,21,686,14098,2750,10380,139,145,27513
30303,16465,2567,1626,233,65,20960,1654,224,340,149,17,2378,370,57,62,18,13,525,18486,2853,2032,400,98,23864
30304,9456,1072,1005,4,37,11579,972,138,304,3,8,1428,246,140,49,0,27,451,10673,1356,1353,6,72,13455
30305,14114,2380,129,39,26,16689,1173,255,44,26,3,1494,317,70,9,3,8,398,15604,2698,181,67,34,18582
