SA3_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
10304,593,542,1135,1879,1762,3646,535,514,1046,387,344,726,2799,2617,5419,1059,1008,2073,468,523,991,420,470,893,1956,2003,3954,58,97,148,39,78,122,255,168,425,279,423,702,8,3,12,638,771,1405,211,332,539,111,175,285,26,83,114,211,462,667,0,3,4,562,1049,1613,26,31,55,60,137,199,0,8,6,83,169,255,2191,2202,4394,8825,9348,18175
10401,401,358,755,1533,1389,2916,245,262,504,167,178,343,1944,1826,3766,1073,1052,2125,246,209,457,159,149,305,1473,1408,2881,69,80,154,39,113,156,169,140,310,129,306,440,6,0,9,414,647,1059,43,96,140,34,82,120,22,39,59,101,231,332,0,3,3,211,446,658,32,37,73,37,91,124,3,3,7,74,130,210,2379,2121,4506,6898,6934,13833
10402,845,758,1603,2361,2321,4689,669,687,1361,538,491,1025,3568,3500,7076,1720,1705,3423,502,468,967,513,506,1020,2734,2684,5415,104,182,288,81,233,316,267,184,455,286,561,838,6,7,14,747,1170,1925,214,368,586,132,275,405,60,114,172,238,544,781,3,5,4,638,1304,1945,62,83,146,119,246,362,6,12,15,184,342,522,3336,3606,6941,12055,13367,25422
10501,246,267,512,665,640,1302,369,386,756,16,19,36,1052,1042,2097,502,503,1003,23,25,51,35,42,78,562,570,1136,19,20,41,8,33,41,45,54,101,45,135,180,3,0,3,124,243,373,20,58,76,11,26,34,12,21,27,40,123,164,0,3,3,84,228,306,10,13,18,11,30,44,3,3,3,23,42,63,1796,1677,3474,3892,4074,7971
10502,187,158,349,641,652,1293,54,54,99,4,13,14,698,711,1408,512,498,1015,4,3,6,16,22,45,533,531,1062,28,29,57,12,48,64,71,43,116,67,137,205,0,3,3,178,269,444,9,42,49,5,29,34,7,16,27,59,110,169,0,4,4,80,204,284,13,22,35,25,48,74,3,3,5,42,71,111,1056,991,2047,2774,2929,5704
10503,738,700,1434,1923,1736,3659,875,896,1767,355,286,643,3145,2915,6062,1369,1297,2668,485,525,1011,267,298,565,2126,2120,4243,70,119,183,31,118,154,258,178,440,236,426,664,4,7,11,602,852,1448,131,233,356,56,137,192,20,90,110,173,399,576,6,3,9,382,858,1244,39,47,89,62,139,196,3,7,11,102,190,292,3744,3325,7062,10843,10959,21802
10601,878,849,1731,2943,2836,5778,692,684,1377,372,296,675,4010,3818,7825,1896,1947,3841,490,477,970,401,375,776,2789,2804,5594,86,133,221,39,88,125,331,229,561,228,476,708,8,9,14,696,928,1624,249,382,632,78,175,250,66,101,173,179,411,591,0,3,5,577,1082,1656,76,59,140,63,240,304,3,9,11,144,312,452,4237,3560,7797,13332,13350,26677
10602,870,768,1636,2424,2305,4728,869,844,1706,374,356,731,3659,3506,7168,1522,1434,2956,661,668,1330,388,348,733,2575,2447,5023,126,153,279,45,98,151,304,215,516,244,439,686,8,12,18,727,915,1648,383,547,929,140,271,411,85,141,226,286,492,785,0,0,4,894,1451,2347,53,68,118,105,209,315,3,0,4,161,276,442,2088,2095,4183,10984,11451,22441
10603,629,609,1233,2212,2076,4287,400,384,779,341,319,662,2944,2781,5726,1504,1431,2938,303,302,603,419,353,776,2227,2086,4316,71,93,160,25,90,114,253,154,409,180,330,510,6,4,10,536,670,1209,238,381,625,84,204,284,65,91,161,150,350,503,0,11,8,536,1039,1576,30,46,73,76,179,258,4,3,9,116,229,348,2855,2916,5772,9847,10334,20183
10604,347,314,655,1002,977,1981,323,286,610,154,169,323,1480,1431,2912,548,540,1090,284,297,586,90,116,208,922,961,1888,22,44,67,7,28,40,130,92,222,96,179,276,5,0,5,263,343,607,36,65,104,19,46,63,6,29,37,58,135,196,0,0,0,119,283,403,7,8,19,22,70,88,0,3,3,27,79,111,1546,1313,2863,4708,4724,9426
10701,845,775,1615,2318,2184,4497,629,615,1248,299,287,577,3245,3082,6327,1687,1694,3381,586,561,1154,265,238,501,2537,2489,5029,101,104,207,70,151,225,298,169,466,214,308,524,13,13,23,697,747,1438,520,656,1178,158,208,365,88,110,197,182,387,568,0,4,3,953,1358,2309,61,75,128,80,218,298,0,4,4,142,292,431,2245,2263,4513,10654,11007,21664
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
10703,1035,885,1922,3054,2845,5893,631,677,1310,269,241,505,3959,3759,7713,2068,2019,4086,678,767,1444,335,277,610,3080,3062,6137,121,142,262,60,132,195,462,221,683,216,414,625,18,9,25,880,916,1788,513,790,1304,126,238,363,102,154,255,244,503,742,8,3,11,987,1691,2673,58,76,136,118,285,400,0,7,12,175,367,541,2751,2996,5741,12858,13664,26521
10704,1244,1170,2418,3688,3523,7215,1065,1104,2175,374,328,700,5129,4953,10088,2350,2164,4516,1149,1273,2421,385,358,745,3885,3792,7682,184,221,404,187,259,442,545,244,787,380,557,936,13,16,25,1302,1287,2594,3389,3212,6603,1468,1060,2530,263,318,580,663,1040,1703,12,13,27,5798,5647,11448,117,123,243,188,366,552,3,10,12,305,494,800,3665,3779,7444,21329,21136,42468
10801,232,219,451,822,797,1619,143,159,298,32,30,64,1001,984,1982,685,674,1362,84,58,144,48,40,83,818,772,1586,31,43,77,23,60,82,80,52,137,65,180,241,6,3,9,210,333,545,35,63,100,25,40,63,10,21,27,51,100,155,3,0,3,118,225,344,5,21,28,19,61,75,3,4,8,26,83,111,1301,1412,2715,3696,4035,7736
10802,433,359,791,1284,1303,2584,312,320,633,223,185,412,1814,1811,3628,943,889,1833,281,245,521,183,205,391,1403,1338,2744,43,53,99,33,104,138,127,92,222,98,243,343,0,3,4,304,500,803,60,112,175,30,94,117,14,31,44,82,191,271,3,4,4,180,430,615,14,18,36,40,99,136,3,3,5,56,125,182,2782,2509,5293,6984,7067,14051
10803,0,3,3,16,11,25,0,0,0,0,0,0,16,11,25,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,3,8,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,21,13,40,39,41,77
10804,712,665,1370,1859,1726,3579,867,885,1747,359,330,690,3086,2931,6021,1056,1004,2061,1095,1119,2223,337,350,687,2498,2480,4971,77,111,191,49,160,206,254,189,438,226,461,688,7,11,13,614,927,1539,160,345,510,104,213,319,38,70,104,212,458,672,6,4,6,518,1093,1617,36,66,100,94,211,302,4,8,12,135,281,413,2786,2974,5764,10349,11349,21694
10805,491,431,922,1661,1473,3131,266,261,527,207,222,431,2139,1953,4092,1138,1201,2346,286,256,547,138,173,312,1565,1639,3202,68,84,149,51,123,172,150,128,284,120,287,405,5,7,12,395,624,1015,57,143,202,38,95,130,16,52,68,75,236,308,0,4,5,187,528,713,24,39,60,43,127,171,4,3,8,67,166,241,2074,2291,4362,6918,7624,14544
10901,555,531,1085,1571,1466,3034,623,619,1242,440,457,901,2636,2541,5180,1192,1154,2342,408,421,826,393,477,873,1991,2052,4037,87,97,180,62,130,198,253,152,407,218,386,606,4,0,4,630,766,1389,253,566,823,118,218,331,58,76,133,198,389,585,0,3,3,620,1253,1869,45,65,106,108,181,287,3,5,9,152,247,402,2284,2422,4705,8863,9805,18673
10902,108,101,214,398,369,765,127,109,233,22,18,38,540,500,1036,266,288,555,73,59,125,14,16,35,356,359,716,10,10,22,0,12,16,34,18,48,24,51,79,0,0,0,68,89,163,14,46,69,3,14,15,4,6,12,16,49,68,0,0,0,39,123,159,5,4,14,6,30,37,0,0,3,16,35,51,796,715,1508,1921,1928,3854
10903,360,339,698,1185,1128,2308,297,361,664,111,107,211,1586,1598,3187,772,807,1578,205,233,437,149,170,314,1119,1211,2330,29,48,77,11,42,55,135,87,219,98,196,293,0,8,7,278,371,649,55,119,177,19,57,80,18,39,52,63,161,219,3,3,9,160,380,533,9,15,26,31,85,111,3,4,5,36,105,144,2099,2173,4264,5639,6167,11809
11001,330,291,619,1044,1038,2082,271,273,538,185,197,379,1496,1505,3008,735,654,1390,205,233,440,368,428,796,1308,1316,2631,55,48,100,43,50,88,106,79,183,118,184,301,4,0,9,316,363,680,802,1056,1860,312,387,702,89,129,213,182,358,537,12,6,19,1394,1937,3330,18,18,38,42,61,97,0,0,0,53,83,143,1520,1644,3169,6421,7154,13574
11002,346,288,638,1204,1144,2347,319,336,655,20,23,44,1540,1500,3039,966,1046,2011,88,53,141,45,39,80,1100,1132,2230,26,36,66,18,58,78,91,91,185,82,187,274,5,6,7,221,384,606,63,79,146,15,60,70,30,52,80,50,131,183,0,0,0,157,326,482,47,40,89,29,76,110,4,0,7,78,120,199,2148,2091,4238,5597,5842,11438
11003,267,266,535,811,798,1615,305,311,610,54,58,112,1166,1166,2335,576,539,1111,49,64,115,63,65,121,683,665,1350,7,16,27,17,27,45,81,42,123,60,111,174,3,7,6,168,203,369,31,58,87,15,30,48,12,32,45,40,127,165,0,0,3,98,250,343,10,9,19,23,40,57,5,0,4,34,51,77,1616,1629,3241,4034,4228,8264
11004,847,826,1672,2458,2248,4704,842,822,1668,338,326,664,3637,3399,7031,1678,1420,3103,502,627,1128,392,533,926,2573,2585,5159,69,102,168,53,110,165,254,220,481,220,453,677,12,7,19,609,897,1500,117,233,347,51,144,191,51,110,159,203,445,651,4,3,9,426,938,1361,22,42,66,86,177,269,8,0,12,119,221,345,3592,3664,7250,11791,12529,24320
11101,1240,1164,2405,4050,3828,7884,822,674,1501,360,353,714,5234,4860,10090,2765,2739,5503,654,616,1272,500,456,958,3916,3815,7732,140,155,298,66,137,207,509,291,799,326,558,885,11,10,18,1051,1143,2201,898,1070,1971,243,399,645,155,222,378,439,848,1284,8,6,11,1742,2546,4287,57,78,137,141,286,429,3,3,6,200,373,576,2876,3146,6018,16261,17048,33307
11102,699,674,1375,2098,2059,4160,410,389,803,530,513,1041,3036,2964,5997,1598,1541,3139,352,379,734,478,476,948,2435,2388,4825,102,111,213,35,115,149,282,180,460,215,382,591,7,0,5,643,781,1424,436,531,971,154,260,413,75,105,180,217,416,636,0,7,8,889,1318,2205,48,58,103,99,211,312,6,5,12,151,273,428,1989,2178,4168,9840,10579,20418
11103,1646,1356,3004,4527,4281,8808,1212,1128,2342,566,548,1114,6309,5956,12264,3017,2896,5917,896,848,1748,706,632,1345,4624,4377,9002,246,336,586,256,322,579,563,387,951,633,898,1533,17,14,35,1719,1961,3679,3092,3539,6634,1380,1378,2756,364,436,804,1071,1539,2612,16,21,39,5925,6916,12837,92,132,225,230,419,645,9,15,24,331,569,898,4805,5143,9945,25364,26275,51639
11201,624,627,1251,1918,1634,3556,687,656,1345,444,479,928,3056,2775,5828,1350,1320,2668,680,711,1390,298,352,648,2327,2385,4711,68,81,149,65,188,257,203,124,324,217,425,645,14,8,23,562,825,1393,185,286,472,179,292,471,50,69,118,265,569,838,4,7,11,679,1223,1908,36,64,102,104,238,342,6,3,6,145,296,444,3865,4064,7929,11260,12201,23464
11202,612,597,1208,1952,1834,3783,683,631,1316,293,271,561,2928,2738,5663,1366,1381,2750,706,823,1527,169,149,315,2242,2347,4587,78,129,205,61,180,238,232,179,410,200,404,601,8,7,11,577,890,1468,283,404,689,233,313,545,73,117,194,240,522,758,5,3,5,836,1352,2190,40,48,91,74,157,230,4,4,6,116,213,329,3101,3097,6199,10413,11233,21642
11203,702,572,1275,2361,2215,4582,754,771,1525,416,374,785,3533,3359,6890,1536,1543,3083,642,730,1365,415,431,844,2590,2702,5289,102,125,226,65,178,247,262,171,433,221,510,730,4,16,19,653,997,1648,351,473,822,185,311,498,71,133,202,204,575,781,7,10,13,823,1499,2323,59,68,126,105,192,294,6,4,10,162,265,431,3723,4054,7773,12173,13450,25623
11301,484,424,903,1521,1462,2983,556,547,1105,28,33,58,2105,2039,4145,1073,1067,2136,542,579,1126,41,43,87,1659,1688,3348,20,44,66,20,56,79,164,102,270,165,252,418,4,4,17,373,468,837,106,139,240,31,57,88,19,47,63,92,190,288,0,0,3,250,431,678,26,33,54,46,95,148,3,9,13,74,138,214,2591,2604,5198,7536,7796,15333
11302,118,126,242,437,428,866,159,141,304,5,0,6,599,573,1172,339,326,662,65,70,139,3,7,15,410,405,814,18,12,32,4,19,26,51,53,100,41,79,116,0,3,3,106,168,272,10,41,53,14,18,26,3,16,14,26,58,88,0,0,0,54,136,192,7,11,18,6,20,33,0,0,0,18,31,51,885,735,1611,2181,2174,4358
11303,935,817,1755,2658,2491,5154,1204,1190,2387,365,312,674,4225,3991,8217,1746,1673,3418,815,862,1674,465,469,932,3025,3001,6031,158,129,286,103,139,242,399,274,675,290,550,840,13,9,19,959,1106,2070,496,1086,1579,206,356,565,83,205,287,328,702,1026,3,6,5,1116,2351,3466,152,79,231,95,192,288,6,3,8,255,273,527,4276,3410,7688,14794,14953,29747
11401,925,866,1791,3102,2905,6006,354,327,679,266,295,563,3721,3528,7244,1983,1943,3924,416,445,861,315,303,617,2711,2688,5403,94,110,196,64,129,194,339,201,543,213,463,679,17,14,29,722,913,1637,197,361,565,121,252,374,47,93,144,241,513,753,4,4,9,610,1222,1833,56,76,134,96,236,334,3,3,10,159,320,474,4711,4254,8958,13557,13786,27344
11402,453,376,826,1272,1259,2528,332,308,640,358,344,695,1957,1913,3869,667,637,1299,582,544,1127,338,588,926,1580,1765,3344,35,40,71,13,46,61,186,104,287,119,212,336,3,6,7,359,401,760,142,217,363,47,112,157,35,63,99,148,293,442,0,11,10,379,694,1071,23,51,75,56,147,204,0,3,3,83,209,288,1720,1848,3572,6520,7208,13735
11501,1446,1368,2818,5112,4800,9909,1306,1247,2551,847,766,1614,7261,6816,14070,3334,3064,6393,1425,1451,2877,1280,1157,2440,6037,5673,11708,197,182,374,126,271,398,469,167,637,298,529,828,5,11,13,1093,1160,2249,2698,2838,5535,455,585,1043,434,354,784,719,887,1604,20,37,56,4325,4699,9021,177,248,424,244,384,630,7,8,14,427,644,1066,2261,2659,4926,22856,23008,45867
11502,266,228,498,792,696,1490,175,182,366,256,261,512,1224,1143,2367,434,401,838,280,296,570,462,346,813,1180,1046,2220,35,30,62,9,26,35,155,67,223,59,77,133,0,0,0,256,198,457,334,391,724,40,63,103,73,61,130,95,135,230,0,0,0,540,649,1192,18,22,43,34,70,102,0,5,7,49,101,145,650,695,1344,4171,4059,8226
11503,279,215,496,842,828,1669,130,109,233,155,131,282,1120,1064,2187,509,550,1057,177,190,368,186,184,372,878,920,1800,38,42,78,8,21,28,168,72,235,60,110,173,0,0,3,274,243,517,145,234,380,30,56,86,30,45,77,53,148,203,0,0,0,260,487,743,10,14,26,34,50,84,0,0,0,40,69,114,917,875,1787,3772,3866,7639
11504,436,387,823,1252,1193,2446,439,387,824,340,306,640,2029,1887,3909,625,587,1210,481,418,898,401,452,852,1506,1456,2963,29,41,67,16,44,57,174,68,238,66,134,202,4,9,6,281,300,579,354,454,810,72,103,180,83,86,168,141,193,334,4,3,5,653,840,1493,24,35,62,41,88,130,0,0,0,64,121,193,629,653,1283,5595,5653,11247
11601,1252,1128,2379,4132,3844,7973,1396,1362,2755,515,446,960,6046,5649,11693,2768,2595,5363,1386,1296,2680,392,443,836,4545,4337,8881,285,237,516,231,363,593,364,227,593,406,659,1068,20,20,38,1300,1506,2811,1708,1755,3467,597,739,1335,253,282,536,473,662,1133,13,14,31,3042,3457,6502,297,287,581,274,452,728,8,10,18,582,748,1331,3687,3858,7546,20460,20681,41143
11602,1146,1043,2194,3730,3369,7098,1092,1107,2204,570,488,1063,5392,4965,10361,2008,1930,3946,1065,1041,2107,476,439,912,3552,3410,6964,154,146,303,96,155,253,313,131,438,208,404,610,0,8,7,771,845,1615,1265,1362,2627,302,363,657,204,230,433,448,596,1046,16,8,21,2232,2560,4792,173,173,342,149,275,421,3,4,7,325,453,775,2939,1931,4870,16355,15207,31562
11603,989,902,1891,4107,3758,7863,1049,1050,2104,737,711,1445,5897,5517,11416,2488,2569,5056,1327,1201,2532,550,576,1133,4366,4350,8718,219,243,461,173,384,553,346,208,554,287,555,842,16,15,37,1042,1409,2450,1089,1367,2457,330,415,747,196,226,418,293,447,741,20,20,33,1921,2475,4396,184,252,437,205,362,562,10,14,24,394,624,1022,4070,4206,8277,18681,19482,38165
11701,380,353,736,994,879,1868,630,616,1252,126,107,229,1753,1599,3356,532,513,1047,576,547,1125,143,127,276,1255,1189,2449,102,108,216,107,161,268,123,68,192,124,210,338,0,9,12,462,560,1018,976,1016,1993,432,340,775,78,100,181,243,286,537,3,16,21,1738,1757,3492,124,178,307,125,193,322,3,5,4,252,379,637,1715,1726,3437,7557,7565,15120
11702,380,336,723,1307,1162,2468,265,233,496,117,100,218,1686,1505,3188,666,582,1248,193,312,504,218,126,341,1082,1021,2098,59,92,151,121,151,265,119,63,182,218,294,510,5,3,7,518,602,1121,675,860,1537,499,586,1088,111,158,264,479,793,1271,4,3,12,1761,2403,4169,124,115,234,152,206,362,3,0,3,273,320,599,2250,2129,4383,7955,8319,16274
11703,716,675,1395,1697,1720,3417,312,372,686,367,317,688,2381,2416,4796,876,925,1799,328,536,863,548,525,1082,1754,1983,3739,607,648,1259,895,1200,2100,291,281,568,924,1073,1998,23,21,42,2738,3223,5962,7428,10029,17456,3437,3512,6950,400,538,937,2216,2435,4652,32,51,80,13518,16563,30081,1564,2133,3698,1279,1649,2923,17,42,59,2860,3827,6679,14984,12200,27180,38950,40883,79836
