SA3_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
11603,32,1911,577,330,1509,1,1434,3.2
11701,35,2400,720,460,1921,1.1,1626,2.7
11702,35,2500,900,460,2312,1,1944,2.4
11703,32,2500,956,570,2526,1.2,1935,2
11801,36,3000,1238,630,3245,1,2422,2.3
11802,34,2600,834,550,2421,1,1916,2.5
11901,35,2100,509,400,1485,1,1332,3.1
11902,35,2000,492,370,1370,1.1,1268,3
11903,37,2167,612,430,1765,1,1571,2.9
11904,35,2167,667,460,1763,1.1,1600,2.7
12001,37,2500,895,570,2386,1,2073,2.6
12002,38,3000,1235,580,3324,1,2443,2.4
12003,34,2167,700,460,1958,1.1,1733,2.7
12101,36,2750,1027,560,2784,1,2311,2.6
12102,38,2300,793,480,2248,1,2008,2.8
12103,41,3000,942,650,3048,0.9,2642,3
12104,38,2700,1361,570,3353,1,2393,2.1
12201,38,3033,1193,650,3339,1,2620,2.5
12202,44,2817,874,600,2431,0.9,2121,2.8
12203,39,2600,871,530,2427,1,2095,2.7
12301,34,2167,820,450,2181,0.8,2048,3.1
12302,34,1842,630,350,1596,0.9,1458,3
12303,37,2167,724,360,1978,0.8,1813,3
12401,44,1842,689,350,1866,0.8,1468,2.5
12402,60,0,0,0,0,0,0,1
12403,34,2000,751,370,1933,0.8,1711,2.8
12404,36,1950,688,360,1752,0.8,1483,2.7
12405,34,1863,683,370,1694,0.9,1532,2.9
12501,32,2000,519,450,1410,1.2,1469,3.1
12502,38,2167,645,438,1896,0.9,1695,2.9
12503,33,2000,490,380,1403,1.1,1282,3.1
12504,34,2080,722,420,1879,1.1,1718,2.8
12601,39,2500,797,530,2441,0.9,2205,3
12602,36,2300,749,460,2167,1,1831,2.7
12701,33,2167,614,400,1760,0.9,1720,3.4
12702,37,1820,442,350,1279,1,1245,3.3
12703,34,2100,603,360,1665,1,1504,3.1
12801,41,2500,839,450,2277,0.9,1866,2.6
