SA3_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
10701,328,14,9,0,0,348,203,8,0,0,0,209,144,8,0,0,0,148,295,34,4,0,0,337,412,17,10,0,4,438,1162,49,26,3,0,1237,1712,84,27,4,3,1826,2136,81,17,4,3,2245,932,18,6,0,0,959,578,3,3,0,0,590,279,9,0,0,0,288,296,7,5,3,3,316,8469,325,112,14,20,8938
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,434,38,6,0,0,479,202,27,7,0,0,234,151,14,5,6,0,173,295,37,7,3,0,342,411,38,11,0,0,466,1201,151,29,0,3,1377,1551,172,33,5,0,1762,2580,223,36,6,5,2840,1242,86,12,0,8,1344,941,41,3,0,0,989,419,17,4,0,0,445,384,36,7,0,3,428,9806,878,151,22,28,10886
10704,476,60,65,3,4,611,197,22,42,0,0,259,146,19,25,3,0,191,285,47,54,0,3,391,364,72,99,0,4,536,1067,189,264,0,0,1520,1236,246,330,3,5,1829,2580,329,378,5,17,3317,1725,152,135,3,5,2017,1741,102,114,0,5,1967,842,47,56,3,0,948,419,42,50,0,0,509,11066,1338,1612,30,46,14100
10801,180,19,11,0,0,217,98,9,4,0,0,109,70,7,6,3,0,91,171,15,9,0,4,206,210,15,9,3,0,234,487,41,32,4,3,568,499,29,14,0,3,542,470,14,7,3,5,500,162,3,5,0,0,177,124,0,3,0,0,123,66,0,0,0,0,70,127,6,3,0,0,136,2668,158,108,20,16,2969
10802,253,4,5,5,3,264,213,8,3,0,0,223,181,4,4,5,3,197,320,4,9,3,0,337,451,6,6,3,4,469,1054,12,11,0,7,1080,819,12,7,0,5,840,624,3,0,0,5,635,208,3,0,0,3,210,113,0,0,0,0,114,83,0,0,3,3,90,244,3,3,0,0,244,4554,56,50,25,36,4714
10803,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,29,0,0,0,0,29
10804,368,41,18,0,5,428,155,30,20,0,0,208,153,23,6,3,0,183,242,21,25,3,5,300,415,37,25,4,0,482,1124,96,55,10,6,1291,1442,127,66,0,4,1637,1789,64,34,4,7,1903,680,17,9,0,3,705,436,13,6,0,0,456,201,12,11,0,3,227,306,29,8,0,4,354,7310,508,275,31,35,8162
10805,281,12,4,4,0,305,198,7,3,0,3,208,180,3,0,0,0,183,344,6,4,0,0,360,455,16,5,9,8,490,1194,28,11,4,5,1238,984,10,5,0,4,1005,821,9,4,0,4,836,246,3,0,0,3,251,179,3,0,0,0,188,93,0,0,0,0,99,240,5,3,0,0,251,5217,103,42,31,31,5420
10901,359,14,0,0,0,374,200,22,4,0,0,228,171,17,0,0,0,195,395,44,0,0,0,446,602,59,3,0,3,664,1657,83,3,0,4,1749,1515,43,3,0,3,1570,1261,16,0,0,5,1288,365,8,0,3,0,377,255,6,0,4,0,260,126,0,0,0,0,129,303,10,0,0,0,320,7222,328,20,8,21,7604
