SED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED53602,30,57,242,286,299,370,413,375,133,2200,9,45,178,222,214,183,100,96,35,1086,157,262,697,447,427,391,317,271,61,3022,1396,3456,8159,5884,5643,4865,3063,1685,444,34594
SED53701,9,9,22,42,70,193,397,399,138,1280,0,4,17,3,10,19,14,13,9,85,149,118,370,455,619,641,586,343,101,3389,842,1389,3415,4169,5545,5969,4755,2021,492,28594
SED53802,5,11,56,88,131,205,417,511,225,1656,4,10,43,36,64,72,73,94,46,448,98,171,542,354,297,289,293,249,114,2401,970,2540,7196,5235,4594,4321,3486,2223,752,31326
SED53902,6,12,31,53,49,104,217,435,278,1199,0,8,30,20,25,33,32,57,27,223,104,189,522,417,313,293,292,389,388,2895,933,2610,6675,5451,4984,4371,3144,2487,1445,32101
SED54006,6,13,26,43,67,157,377,422,145,1263,3,3,10,12,8,12,18,26,18,108,241,146,377,457,492,514,533,381,130,3256,1325,1921,4629,5238,5758,5291,4279,2162,570,31167
SED54104,3,14,12,14,17,35,71,91,94,348,0,3,10,7,5,8,9,6,9,51,96,207,460,314,275,297,328,226,148,2346,1466,3809,5818,4968,4951,4578,3728,1991,956,32278
SED54203,14,9,35,55,80,125,177,76,18,580,0,0,16,16,18,17,21,14,3,100,133,220,1057,916,797,532,241,82,34,4008,506,1212,5414,4852,4276,3049,1332,384,112,21140
SED54304,3,3,16,12,27,55,118,114,49,401,4,7,4,7,13,7,6,12,7,64,114,98,155,242,332,219,166,173,122,1618,1596,2910,3848,5864,7845,5114,2818,1234,372,31594
SED54404,10,18,55,37,53,91,235,362,259,1118,0,11,49,15,23,29,36,86,58,305,183,659,2208,974,709,619,459,283,173,6262,990,4703,16093,8384,6151,4968,3052,1555,780,46675
SED54503,22,23,69,78,126,171,122,43,6,669,6,0,15,19,25,28,41,19,10,172,231,520,2003,1510,1294,735,214,54,15,6567,1045,2894,10795,8580,6732,3804,988,215,57,35111
SED54605,0,3,21,55,40,124,206,212,112,773,0,0,27,22,17,38,25,30,24,181,58,57,123,148,188,178,191,206,182,1340,1222,2423,3689,5188,5380,4749,3511,1682,730,28584
SED54705,10,12,28,54,71,154,305,336,194,1164,0,4,5,6,7,13,15,11,10,81,151,318,469,356,437,436,504,555,288,3518,1088,2442,4451,4344,5054,5178,4289,2740,1094,30682
SED54804,3,3,26,29,33,74,115,243,177,710,0,3,8,14,13,20,7,20,5,89,95,165,787,476,399,323,271,263,294,3080,750,2367,8905,6198,5056,4030,2783,1810,1043,32932
SED54905,10,6,17,23,46,74,98,150,129,553,3,4,23,14,19,22,18,15,12,125,125,217,510,377,350,340,332,285,357,2898,1263,3381,6493,4978,4857,4826,3469,1755,1091,32101
SED55005,9,18,58,113,143,172,205,136,43,901,4,4,59,54,49,46,44,26,11,300,149,327,644,600,379,252,186,136,91,2770,1745,3684,7785,8403,7450,4976,2833,1016,294,38175
SED55102,4,10,26,38,52,115,235,221,94,793,0,3,7,6,15,14,16,19,13,94,204,437,1010,966,758,531,394,225,92,4620,1541,2921,5999,6883,7605,5894,4018,1533,453,36849
SED55206,15,4,15,21,30,84,237,327,167,906,0,7,24,14,12,12,12,4,3,92,127,120,343,438,434,476,449,377,252,3015,942,1510,4085,5523,5360,5117,4482,2228,880,30134
SED55305,5,20,66,62,87,123,193,322,244,1122,0,28,67,45,42,51,41,37,23,335,159,438,1130,668,545,495,441,410,507,4791,1514,5359,11408,6863,5192,4292,2832,1757,1308,40525
SED55401,13,23,45,69,89,167,348,342,180,1262,0,5,38,39,45,39,41,20,9,238,167,160,467,454,591,655,535,353,163,3528,856,1418,3658,3963,4861,5098,3607,1841,626,25925
SED55504,6,12,34,47,66,117,204,208,123,813,0,3,14,20,32,42,17,16,9,162,104,149,351,294,337,273,263,201,89,2061,1469,2898,6902,7014,6202,4542,3166,1512,539,34248
SED55605,22,12,31,48,75,126,236,184,51,789,0,0,13,18,25,16,6,6,3,86,256,314,764,653,672,386,292,246,149,3732,2203,4160,9219,9238,8866,4868,3071,1409,399,43433
SED55706,4,7,22,28,63,139,284,354,144,1041,4,7,17,18,15,8,10,24,14,119,171,123,340,434,613,625,555,403,188,3453,966,1319,3697,4904,5835,6336,5020,2260,764,31101
SED55802,18,29,107,151,214,229,259,183,72,1252,5,22,75,103,98,89,59,38,16,502,175,327,823,666,544,344,276,229,158,3540,1854,4257,10486,8801,7610,4888,2683,1255,425,42273
SED55905,5,7,37,44,85,177,404,530,241,1541,0,8,16,23,26,29,31,63,23,220,95,151,391,353,338,326,348,385,275,2653,960,2166,5286,5170,4947,4300,3226,2220,1036,29309
SED59494,3,6,4,11,20,34,52,14,3,142,0,4,5,4,4,6,0,3,0,30,43,131,374,308,348,209,125,26,5,1570,132,503,1306,910,957,973,633,98,23,5534
SED59797,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,24,16,15,8,0,0,0,72,0,20,126,126,105,43,8,3,3,429
SED60101,3,4,8,8,32,71,121,136,86,462,0,3,0,0,3,4,8,3,0,24,43,39,72,91,122,170,172,91,31,827,245,460,933,1083,1428,1764,1381,638,208,8129
SED60106,11,19,37,32,65,130,207,333,399,1219,4,19,29,18,32,25,14,19,10,156,107,141,268,255,308,288,411,321,242,2345,854,2027,3904,4012,4431,4045,3448,2144,1181,26048
SED60112,14,3,5,14,15,62,109,175,142,550,0,8,14,18,9,13,0,4,3,65,80,86,163,146,182,228,220,162,125,1399,669,1504,2783,2936,3264,3189,2401,1214,485,18454
SED60115,31,51,95,105,143,234,381,337,244,1623,3,13,30,79,82,38,39,27,13,324,177,227,347,341,436,437,497,329,113,2901,1438,2995,4179,3868,4533,4256,3520,1785,682,27264
SED60207,14,11,43,43,61,205,323,374,295,1365,0,9,9,14,15,11,14,10,5,75,91,86,198,201,263,371,476,397,236,2324,988,1649,3432,3713,4353,4481,3994,2105,855,25567
SED60208,13,8,39,42,74,208,383,484,285,1523,3,3,7,10,9,13,9,8,3,69,110,117,214,225,335,385,402,363,146,2299,1041,1822,3315,3459,4371,4608,3718,2042,711,25090
