SED_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED30087,237,133,583,9792,12709,5744,4865,8284,5688,47082
SED30088,205,107,439,9247,10494,4437,4280,13803,5050,47296
SED30089,489,124,1030,11784,12734,4527,2915,7638,3145,42744
SED39494,25,11,44,2026,1961,823,592,3533,2759,11693
SED39797,0,3,4,23,24,19,6,50,23,144
SED40001,511,109,926,9592,9658,3358,1872,9182,3719,37378
SED40002,453,148,1027,7265,8659,3463,2172,5899,1687,29137
SED40003,459,183,1160,6840,8260,4087,2491,4773,1426,27874
SED40004,553,160,1221,6414,8448,3822,2299,5224,1516,27721
SED40005,506,205,1097,5407,7384,3897,3121,6153,2962,28920
SED40006,660,145,1202,7111,8301,3397,2503,8215,2349,31876
SED40007,532,231,1223,6701,8049,3693,2527,6167,1855,28993
SED40008,562,106,1050,6971,8085,3105,2155,7744,2081,30147
SED40009,302,80,674,6738,8891,4192,2629,4402,1308,28169
SED40010,413,120,995,7712,8985,3565,2104,5835,1807,30002
SED40011,690,181,1384,7020,8258,3300,2286,6957,1966,29788
SED40012,528,169,1102,6962,7986,3154,2514,9182,2374,32166
SED40013,553,227,1253,4909,7757,4598,3455,5195,2601,28509
SED40014,405,102,794,6602,8887,4062,2590,5068,1254,28462
SED40015,346,183,849,5210,6957,3582,3056,5013,3071,26896
SED40016,570,163,1062,5639,7166,3348,2504,6382,1558,26598
SED40017,565,159,1070,5010,7258,4035,3598,6437,2627,28963
SED40018,237,121,546,4902,7013,3421,2812,6058,3156,27366
SED40019,462,249,1036,4806,7041,4044,3540,5922,2802,28152
SED40020,438,170,959,5161,7347,3793,3120,6001,2843,28273
SED40021,885,190,1697,6777,8191,3745,2569,7115,1768,30172
SED40022,295,127,740,5985,8846,4446,3340,3813,1979,28408
SED40023,341,159,771,6463,8793,3920,2951,5459,2538,30120
SED40024,333,98,653,6609,8921,4278,3134,4454,2144,29539
SED40025,605,211,1274,6372,8334,3722,2326,6652,2055,29468
SED40026,306,145,737,6440,8463,3993,3078,6130,2166,30269
SED40027,437,208,920,6027,7689,3579,2931,8274,3019,31518
SED40028,325,282,923,5334,6931,3691,3084,5115,2629,26782
SED40029,354,88,659,6135,7975,3730,2820,5442,1784,27884
SED40030,322,134,786,6927,8509,3726,2579,5733,1656,29133
SED40031,446,85,818,6748,8396,4117,2774,6048,1329,29406
SED40032,790,196,1438,6850,8054,3186,2003,5792,2000,27879
SED40033,399,146,808,5540,7481,3665,2790,5621,2669,27765
SED40034,302,127,549,6101,7574,3561,3022,7683,2695,30640
SED40035,355,78,645,6189,8286,3900,2720,5138,1412,27636
SED40036,379,103,708,5971,7586,3588,2724,7435,2779,30085
SED40037,346,99,649,7501,8851,3680,2753,8549,2279,33608
SED40038,443,101,735,6079,7154,3235,2751,9044,2403,30655
SED40039,356,223,812,5900,7494,3407,2714,6259,2550,28332
SED40040,409,141,863,5686,8080,4351,3432,4806,2349,28697
SED40041,315,135,717,4660,6612,3505,3323,5662,3696,27463
SED40042,137,30,249,6581,8064,3373,2855,8198,2214,31287
SED40043,456,108,838,7207,8620,3754,2656,7588,1984,31804
SED40044,900,179,1603,7331,8715,3702,2069,5758,1731,29297
SED40045,676,236,1446,6628,8650,4086,2457,5076,1661,28562
SED40046,502,353,1345,7524,8431,3141,2168,7486,2303,31055
SED40047,209,67,473,6644,8083,3669,2471,5914,1346,28125
SED49494,17,0,22,466,435,143,126,850,627,2648
SED49797,0,0,0,4,0,0,0,3,0,3
SED50106,437,215,1046,6002,7981,3950,3420,5455,2997,29805
SED50205,346,261,1221,7198,8170,3807,2763,5000,1939,28885
SED50302,282,204,717,7044,8673,3936,3714,8676,3568,35612
SED50404,322,283,975,8162,8798,3387,2629,7494,2785,33255
SED50502,287,111,651,6919,8036,3406,2818,7453,2510,31135
SED50605,554,307,1301,7027,7778,3733,2762,6146,1916,29361
SED50702,367,178,847,7841,8521,3228,2572,8715,4294,35168
SED50806,470,140,954,5817,7763,3660,3110,6177,3211,29735
SED50904,266,200,662,12965,15307,6265,5482,11936,5557,57513
SED51005,374,114,795,8579,9078,3697,3165,11073,3004,38600
SED51104,228,97,600,6744,8044,4027,2833,4329,1422,27396
SED51201,305,163,755,4811,6582,3426,3604,5650,3822,27888
SED51304,497,151,1170,8538,9134,4299,3020,5985,2116,33098
SED51405,225,99,496,9005,10271,4195,3420,8451,2811,38161
SED51506,219,119,523,6150,8226,4232,3949,5869,2739,31154
SED51604,418,223,1133,8278,8459,3745,2591,5277,2843,31193
SED51702,152,85,408,10544,13504,5812,5441,8918,3316,47529
SED51806,414,160,915,6206,8605,4422,4127,7474,2782,33622
SED51903,221,101,463,8330,9904,4293,3963,8562,5577,40632
SED52002,197,81,476,7543,9101,3885,3428,7678,2621,34259
SED52105,344,293,983,8507,9840,3862,2634,5925,3606,34377
SED52201,271,137,628,5864,7751,3676,3305,6090,3535,30221
SED52304,357,74,590,8615,9609,4097,3311,9723,2326,37679
SED52402,300,135,684,6920,8212,3696,3277,8643,2780,33519
SED52504,156,80,482,6739,8001,3827,2725,4676,1459,27422
SED52605,198,69,458,7864,8988,4053,3054,6333,1712,32009
SED52704,274,80,497,7464,8567,3469,2561,6334,1915,30318
SED52802,274,228,801,6109,7925,3983,3355,5930,2350,29650
SED52903,8,5,15,724,735,290,200,932,939,3818
SED53003,62,27,117,6157,6249,2406,1764,5088,4324,25984
SED53104,423,78,770,6519,8038,3694,2762,5215,1304,27533
SED53205,258,116,542,10386,12759,5369,4979,10922,5563,49978
SED53306,575,280,1249,6397,8490,4131,3760,8199,3256,34233
SED53402,367,317,989,8731,9826,3508,2413,7009,3063,34547
SED53502,345,213,831,7055,8523,3798,3134,7284,3214,33018
SED53602,231,65,444,7653,8012,3305,2870,11242,3168,36250
SED53701,176,106,493,5047,7256,3959,4117,5632,3550,29554
SED53802,303,101,752,7684,8051,3433,2852,7904,2523,32454
SED53902,594,335,1445,8421,8929,3479,2564,6978,2865,33233
SED54006,222,109,570,6027,8336,4317,4373,6118,3435,32597
SED54104,342,220,960,9296,9215,3785,2601,6134,2509,33536
SED54203,37,33,112,3393,4047,1636,1407,6878,4097,21470
SED54304,114,130,375,8524,9497,4238,3015,6668,1680,33616
SED54404,405,90,780,13466,12170,3580,2243,9846,6118,47415
SED54503,25,16,57,7300,8522,2924,2640,8168,6636,36191
SED54605,317,111,730,7414,8332,3921,3199,6345,1292,30500
SED54705,491,209,1094,5809,7971,3714,3249,7577,3339,31664
SED54804,404,259,1043,9426,9653,3362,2363,6171,3081,34063
SED54905,423,288,1092,8852,9163,3528,2391,6581,2856,33372
SED55005,118,84,294,9536,10352,4586,3885,9193,2942,40497
SED55102,146,82,453,7925,10395,4879,4318,6341,4758,38610
SED55206,301,235,882,6198,8656,4480,3711,5318,3093,31460
SED55305,606,326,1313,10409,10303,3389,2602,10302,4450,41450
SED55401,238,141,626,4989,6403,3402,3406,4821,3619,26639
SED55504,273,94,539,8444,9834,4257,3441,7625,2208,35803
SED55605,118,151,399,10126,12131,5558,5057,9070,3850,45795
SED55706,264,167,764,5818,8816,4833,4143,5143,3620,32371
SED55802,129,162,424,10336,11372,4588,4093,10466,3654,44510
SED55905,439,254,1036,6889,8053,3517,2735,6491,2688,30384
SED59494,7,6,23,962,791,327,210,1663,1594,5559
SED59797,3,0,3,32,31,10,9,274,81,434
SED60101,84,39,208,1404,2057,1239,1122,1686,905,8411
SED60106,607,229,1183,5768,7433,3460,2484,5645,2420,27214
SED60112,233,86,485,4321,5766,2552,1906,3511,1359,19412
SED60115,347,114,682,5190,6806,3232,2807,7276,2976,28282
SED60207,392,167,855,4987,6763,3523,2903,6125,2291,26594
SED60208,304,140,711,4734,6780,3499,3116,5651,2293,26075
SED60209,360,127,726,4751,6674,3668,3184,5933,2567,26775
SED60214,0,0,0,20,45,30,31,27,21,172
SED60302,39,18,127,1614,2083,896,765,1800,542,7697
SED60303,410,232,1024,6005,7800,3259,2570,7305,2889,29825
SED60304,440,151,920,7509,8871,3391,1778,4847,2280,28671
SED60305,0,0,3,82,102,63,39,36,31,355
SED60310,268,67,622,4592,5734,2479,1436,3597,1157,18990
SED60402,54,3,72,600,984,423,250,629,164,3054
SED60405,264,79,543,5546,8296,4398,3386,4658,2200,28479
SED60410,138,30,294,2047,2565,1172,817,1637,568,8813
SED60411,601,192,1276,5996,8303,3994,2565,5641,2370,28872
SED60413,78,29,222,3470,4815,2244,1570,2876,1087,16061
SED60501,172,102,421,2753,4099,2403,2182,3742,1953,17123
SED60502,112,43,245,3226,4552,2461,2104,4881,2004,19223
SED60512,61,32,173,1351,2124,1288,1078,1518,864,8222
SED60513,130,73,326,2561,3816,1917,1565,2681,1284,13825
SED60514,308,121,661,4903,6619,3707,3323,5513,2651,26712
SED69494,0,0,3,153,152,50,40,256,178,835
SED69797,0,0,0,7,6,3,10,36,8,73
SED70001,3,3,14,1147,1539,526,327,1056,704,5304
SED70002,18,12,54,2046,2426,892,553,1732,1310,8961
SED70003,4,0,8,1732,1116,443,342,1170,1166,5974
SED70004,11,5,17,1593,1315,564,298,1632,955,6360
SED70005,8,0,17,1520,2020,687,541,1344,696,6806
SED70006,17,15,53,1880,2389,811,492,1595,1184,8356
SED70007,13,6,25,1598,1850,636,484,1178,508,6246
SED70008,59,17,104,1600,2024,744,565,1580,847,7357
SED70009,4,3,24,1408,1755,921,573,1405,1412,7470
SED70010,18,7,35,1376,1713,604,443,1385,999,6523
SED70011,58,19,111,1760,1927,636,413,1428,918,7093
SED70012,14,11,30,1962,1856,519,287,1258,876,6755
SED70013,15,3,29,1406,2145,906,728,1226,1089,7512
