SED_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED10033,928,180,1128,12535,4900,528,17969,36753,4456,59170
SED10034,1447,143,1606,14408,5679,583,20671,37359,2732,60767
SED10035,895,144,1064,12116,3490,284,15893,68794,7913,92602
SED10036,1042,147,1211,15228,4127,385,19740,41146,4266,65161
SED10037,1218,156,1397,15451,4797,483,20733,39612,2842,63185
SED10038,1859,258,2162,13515,5770,643,19922,39849,3543,63315
SED10039,1561,472,2044,10961,5500,578,17042,36090,5381,58513
SED10040,1686,435,2176,14833,3921,269,19021,53314,4865,77202
SED10041,2377,468,2887,15731,4524,385,20640,40179,3369,64187
SED10042,1793,463,2273,10791,5710,488,16986,38003,3924,58914
SED10043,1412,230,1668,14826,3410,296,18531,46553,5860,70941
SED10044,2125,240,2405,14689,4126,391,19207,43612,4033,66850
SED10045,1538,504,2065,10325,4485,561,15362,38950,6646,60968
SED10046,671,118,801,14177,3573,322,18073,45374,7219,70672
SED10047,678,129,820,15046,5239,551,20833,42986,7373,71191
SED10048,641,288,941,15108,4914,390,20404,42373,4912,67692
SED10049,1023,241,1271,14276,5499,709,20480,35783,4028,60289
SED10050,1237,322,1583,15347,4149,517,20009,39543,4844,64405
SED10051,1561,417,2026,13152,4154,385,17694,42732,7301,67729
SED10052,2230,259,2520,13203,5090,394,18689,38421,3061,60172
SED10053,911,215,1139,12406,4253,444,17101,38711,5824,61638
SED10054,839,78,933,15013,4407,506,19927,43072,4753,67753
SED10055,411,76,506,14836,4897,494,20226,39513,3780,63519
SED10056,1658,506,2187,11830,4907,427,17166,41510,8237,66906
SED10057,2120,675,2812,8679,4193,371,13244,40657,5870,59773
SED10058,1198,564,1790,10171,4846,455,15475,40242,5308,61027
SED10059,617,146,784,7942,2608,317,10867,56764,8907,76543
SED10060,1423,287,1732,11022,4134,247,15410,45475,5888,66774
SED10061,1427,327,1786,11085,4290,459,15836,40866,7345,64047
SED10062,1957,281,2269,12966,4551,338,17858,41455,3455,62773
SED10063,1552,338,1919,12462,4884,597,17946,37711,5902,61566
SED10064,1757,512,2285,9381,4269,454,14101,39017,7036,60162
SED10065,1333,263,1620,18497,3915,363,22776,54279,6752,83812
SED10066,1219,159,1389,13504,5364,624,19494,38812,4537,62846
SED10067,2057,516,2602,12838,5021,450,18314,36286,3988,58589
SED10068,2276,497,2785,9979,4170,431,14584,41539,5396,61524
SED10069,1505,316,1840,10242,4959,503,15700,37593,5516,58816
SED10070,1185,230,1437,13638,4293,303,18231,42736,4247,65220
SED10071,410,58,475,19788,4357,550,24697,38837,4164,67699
SED10072,1668,408,2111,12922,3899,267,17091,49803,5843,72732
SED10073,1865,284,2181,15257,4110,339,19703,54539,4230,78469
SED10074,1413,202,1637,15675,4580,432,20689,42409,4217,67319
SED10075,1289,273,1582,13676,6418,664,20757,40086,4421,65263
SED10076,1706,573,2298,9102,4353,419,13879,38470,5833,58179
SED10077,1736,211,1985,13563,3602,279,17446,57197,5858,80499
SED10078,1652,201,1880,12084,3420,415,15914,47936,5391,69245
SED10079,1462,446,1930,10990,5847,486,17329,37516,4062,58910
SED10080,856,335,1212,7052,2901,151,10101,67496,14733,92326
SED10081,1496,382,1901,11816,4731,554,17105,37873,6509,61489
SED10082,1954,414,2383,12176,5473,593,18248,37538,3713,59499
SED10083,1871,596,2489,11725,5081,601,17405,37289,4684,59384
SED10084,2385,668,3070,11070,4652,470,16186,41400,6022,63611
SED10085,1167,261,1452,12480,4653,468,17599,36600,5921,60124
SED10086,1583,328,1968,12358,4183,331,16868,42835,7236,66945
SED10087,1455,338,1818,12187,4783,490,17453,38395,5286,61134
SED10088,1666,365,2072,15192,4631,503,20318,39125,3852,63300
SED10089,1550,653,2234,13019,5718,579,19309,42713,4127,66150
SED10090,1639,245,1910,16150,3806,376,20333,44269,4159,68762
SED10091,1231,344,1600,12558,4926,519,18003,36851,4680,59534
SED10092,1836,405,2265,11128,5486,438,17056,47146,5935,70133
SED10093,1584,596,2202,12616,5064,607,18284,37879,5568,61729
SED19494,49,28,78,847,475,45,1373,6811,3361,11545
SED19797,6,0,10,39,37,0,79,226,76,374
SED20106,700,162,884,8286,3421,254,11964,47873,8425,68259
SED20207,763,129,905,19748,4023,483,24255,41727,4486,70471
SED20302,1324,343,1699,12617,4397,560,17576,34941,5044,57563
SED20401,1109,354,1474,10657,4005,477,15141,32407,3425,50973
SED20508,1443,277,1731,9450,4480,471,14405,30453,3630,48485
SED20604,1126,211,1369,10183,4188,476,14851,32501,4490,51834
SED20704,1189,355,1570,10557,4489,518,15566,31404,4377,51349
SED20804,1211,368,1609,9051,4111,468,13633,30641,5323,49596
SED20906,1624,221,1873,11802,3041,343,15186,30699,2903,48784
SED21001,2067,416,2527,11733,3664,348,15744,38854,3247,57846
SED21106,1623,294,1952,10774,3704,392,14868,32724,3840,51431
SED21203,1089,133,1242,10474,2669,226,13370,37641,5427,56445
SED21303,1131,324,1473,9188,2950,382,12525,44879,4613,62016
SED21401,1844,294,2171,9527,4204,231,13965,35450,2983,52398
SED21503,937,246,1204,9725,3506,298,13519,34567,3408,51496
SED21608,832,182,1043,9440,4041,470,13956,29613,4206,47771
SED21706,1722,253,2020,11232,3315,399,14948,36766,3349,55066
SED21805,926,356,1300,11931,4039,459,16430,33853,4634,54917
SED21906,1688,254,1968,10274,3702,342,14316,36237,3808,54354
SED22005,1741,343,2116,11268,3332,261,14851,43053,4178,62092
SED22105,715,199,920,20704,4520,679,25908,41267,5246,72425
SED22201,1289,245,1545,10045,4053,441,14537,30826,2816,48174
SED22305,1115,232,1363,11152,3116,231,14498,40647,5621,60771
SED22404,938,168,1127,8807,3904,429,13140,29922,4658,47717
SED22501,789,145,949,10629,4526,439,15597,30026,2182,47805
SED22607,1210,218,1457,10382,3250,279,13918,37498,4421,55839
SED22704,1340,340,1706,8833,3967,339,13144,34333,5931,53409
SED22802,681,166,851,10085,4059,478,14632,28903,2762,46292
SED22901,1350,215,1579,9272,3894,317,13478,32108,2330,47914
SED23007,1104,216,1342,11685,3199,329,15214,47333,6131,68684
SED23101,1549,301,1865,10240,3869,287,14397,32694,2343,49431
SED23205,1397,276,1696,9504,4027,459,13983,32020,4575,50587
SED23308,1625,322,1966,9645,4162,419,14230,34139,4119,52486
SED23402,919,166,1104,12890,4169,508,17571,32791,3538,53900
SED23502,1243,432,1701,7890,3604,339,11833,32119,5449,49403
SED23602,1224,276,1529,8150,3661,414,12223,29172,5560,46948
SED23702,726,169,911,11638,4800,544,16986,34434,4017,55432
SED23806,1217,185,1424,10175,3675,324,14172,37352,3383,54912
SED23901,1577,406,2014,10811,3619,361,14794,34153,3703,52645
SED24006,1775,217,2018,10598,3578,285,14462,34604,3161,52229
SED24105,1062,191,1267,11418,3509,256,15182,38243,3534,56953
SED24207,444,83,539,15616,3938,328,19886,38454,5986,64320
SED24308,1134,395,1545,9905,4199,413,14520,33059,5708,53287
SED24408,1631,407,2067,8120,3337,373,11823,30593,4271,46690
SED24504,840,244,1118,9840,3602,501,13941,28405,4127,46479
SED24606,1449,229,1697,9107,3453,277,12839,33392,3263,49492
SED24703,660,129,807,8211,3225,190,11625,83390,12207,107222
SED24808,717,122,849,14244,4705,539,19490,36161,4858,60511
SED24904,1333,396,1752,8967,3738,391,13093,32255,6049,51397
SED25003,801,72,892,12693,3468,292,16451,34906,3165,54525
SED25102,759,109,880,10099,3977,521,14593,28859,2651,46096
SED25205,1300,311,1644,11559,3529,477,15570,32015,3329,50918
SED25302,1722,233,1979,10792,4503,478,15770,30737,3258,49765
SED25402,1210,321,1546,9651,4371,497,14524,32760,5250,52532
SED25501,1559,231,1814,10380,3592,244,14214,34815,2600,51632
SED25605,1456,215,1692,9674,3699,212,13585,35316,3272,52178
SED25704,1564,430,2019,8823,3893,375,13089,32253,5848,51193
SED25802,1143,307,1472,10217,4597,527,15343,33683,5087,54113
SED25905,937,99,1046,10952,3648,310,14914,35533,3081,53525
SED26005,387,47,450,16733,3910,485,21132,37203,3782,62117
SED26102,1897,572,2493,8019,4468,345,12829,32610,4886,50326
SED26207,1463,265,1746,9688,3849,220,13753,32361,3414,49537
SED26303,1073,215,1328,10310,2931,463,13708,36454,4228,54386
SED26406,1372,260,1649,10908,2869,310,14089,43368,3768,61228
SED26504,1398,532,1957,7988,3537,357,11884,29964,5180,47024
SED26603,2107,274,2413,12108,3109,335,15547,41335,4654,61545
SED26708,1249,288,1570,9277,4058,382,13715,30311,4636,48665
SED26806,1135,259,1420,6453,3011,165,9635,50183,7547,67365
SED26903,1685,396,2111,10350,2973,307,13624,38121,5238,56979
SED27003,671,153,842,7670,3037,267,10974,46752,6850,64577
SED27101,1228,182,1428,11487,3640,438,15563,32222,2730,50512
SED27208,1516,387,1929,8462,3854,390,12711,33275,6222,52214
SED27305,468,56,532,9965,3185,321,13463,29427,2068,44961
SED27406,1802,330,2162,10245,3704,378,14329,30577,3132,48037
SED27504,1341,340,1702,10621,3979,460,15064,34731,5685,55486
SED27608,1385,233,1635,12855,4745,529,18129,33749,3471,55353
SED27708,1325,319,1661,9645,4041,449,14135,32159,4974,51264
SED27807,1162,225,1401,10422,3617,234,14272,42359,5820,62454
SED27907,821,145,980,10215,4064,393,14676,31110,3579,49360
SED28007,482,158,654,14550,3448,328,18319,36689,3660,58667
SED28107,316,61,390,20948,4237,473,25660,40534,5863,72051
SED28203,876,137,1032,11235,3514,217,14963,36083,4112,55153
SED28301,1290,206,1523,10433,4064,322,14820,32330,2437,49588
SED28408,1306,228,1546,9057,4004,433,13495,29566,3683,46743
SED28507,698,221,922,12745,3872,372,16986,34004,4306,55292
SED28607,1339,291,1659,13001,3174,537,16710,36641,4106,57456
SED28704,472,67,558,17255,4598,647,22502,33853,3969,60320
SED28803,368,62,439,17214,3660,431,21307,41851,4050,67211
SED29494,25,13,38,649,290,14,960,3900,1969,6825
SED29797,0,0,0,5,0,0,5,18,3,25
SED30001,385,110,499,14625,3982,614,19220,29633,3724,52573
SED30002,629,74,715,10453,3143,379,13974,26084,2209,42267
SED30003,605,104,719,8890,2575,378,11841,23076,1930,36848
SED30004,1090,180,1288,7610,2968,293,10876,23649,1907,36427
SED30005,471,96,579,10791,3011,548,14355,29693,4419,48463
SED30006,761,125,893,9644,3515,442,13603,27956,4476,46037
SED30007,464,306,781,5455,2317,155,7928,42297,7214,57447
SED30008,1343,363,1719,6476,2920,251,9648,30427,4509,44588
SED30009,1051,241,1299,8857,2746,358,11962,25685,2643,40291
SED30010,739,107,860,9646,2421,321,12390,26842,3153,42388
SED30011,1275,325,1620,6018,2369,277,8660,23669,3548,35880
SED30012,406,91,503,15657,4452,717,20832,32681,4804,58314
SED30013,624,192,830,6823,2662,247,9737,24689,5437,39861
SED30014,1041,237,1284,8539,2920,323,11778,27065,3581,42425
SED30015,543,115,663,6804,2403,279,9480,26948,3521,39946
SED30016,774,244,1034,8221,2849,386,11458,31352,6795,49601
SED30017,722,159,883,6602,2268,249,9118,23596,4510,37220
SED30018,1264,250,1532,8097,3163,358,11627,27353,3128,42111
SED30019,626,150,780,8262,3487,359,12113,24087,1929,38132
SED30020,660,116,793,9594,3126,352,13074,25638,2109,40824
SED30021,731,178,920,8104,2453,293,10841,29447,3674,43966
SED30022,976,389,1372,8121,3612,370,12098,26595,2688,41382
SED30023,675,180,873,9757,3278,466,13505,27205,3837,44544
SED30024,410,139,566,7424,3080,485,10990,23413,5397,39805
SED30025,772,205,994,13635,4072,564,18274,34307,5301,57875
SED30026,1225,222,1465,7570,2842,288,10701,26124,3571,40394
SED30027,700,158,862,7348,2390,335,10077,22843,5533,38446
SED30028,709,139,859,8793,2905,375,12068,22923,1781,36772
SED30029,532,111,653,9062,3166,405,12635,21481,1677,35785
SED30030,651,231,891,11085,3280,469,14834,27783,3350,45966
SED30031,400,67,477,10635,2903,491,14025,24855,3778,42661
SED30032,683,110,802,8770,3431,423,12623,27875,4444,44946
SED30033,892,160,1070,8402,2310,303,11018,25032,2474,38519
SED30034,299,62,363,7410,1926,279,9614,17875,4241,31735
SED30035,730,285,1028,7075,2641,309,10031,26216,4081,40324
SED30036,1208,300,1517,6935,2402,315,9660,30254,4282,44195
SED30037,658,146,820,8736,2761,356,11855,26054,4169,42081
SED30038,433,146,592,9121,2919,296,12329,26564,7099,45993
SED30039,674,107,794,7361,2505,244,10098,29734,2481,42311
SED30040,842,149,995,8678,3426,404,12510,25275,3221,40999
SED30041,641,106,756,9346,3436,474,13255,25763,3886,42907
SED30042,535,204,742,9954,3485,519,13959,24510,2756,41222
SED30043,1410,249,1663,8994,2958,380,12332,27963,2842,43138
SED30044,642,252,910,8897,3519,421,12834,26435,4192,43461
SED30045,526,132,671,9007,3247,388,12635,26764,4373,43772
SED30046,337,47,390,8820,3311,368,12501,24004,2751,39252
SED30047,983,213,1223,8841,3073,388,12300,24904,2651,39857
SED30048,840,97,951,6640,2459,320,9423,22436,3508,35360
SED30049,844,88,945,8052,2748,289,11088,25027,2158,38269
SED30050,1083,282,1376,7432,3063,242,10739,30232,4134,45101
SED30051,855,195,1063,6691,2496,309,9493,27999,4890,42373
SED30052,896,377,1277,8253,2941,238,11437,30069,3772,45280
SED30053,397,73,468,8956,3013,389,12354,24255,5918,42530
SED30054,643,274,933,9171,2914,361,12446,23112,1861,37424
SED30055,410,106,524,10384,3519,552,14453,25407,2796,42650
SED30056,449,98,551,6452,2100,234,8784,27652,3008,39446
SED30057,153,41,202,5127,1643,303,7075,14559,3434,25072
SED30058,561,393,971,8742,2941,362,12048,22770,2281,37098
SED30059,617,499,1132,10360,3143,402,13911,27216,3900,45023
SED30060,622,85,721,8581,3069,442,12089,23947,3941,39976
SED30061,738,98,852,6725,2801,342,9867,23884,2532,36278
SED30062,983,316,1314,14369,4156,723,19245,32489,4180,55917
SED30063,771,149,925,7256,2801,353,10410,26089,3953,40448
SED30064,1026,215,1260,8610,2997,371,11972,26326,3300,41599
SED30065,996,335,1335,8269,2737,323,11335,28220,3458,43014
SED30066,870,317,1192,9116,2796,309,12222,29766,3102,45097
SED30067,385,169,558,10186,3574,453,14208,25238,2503,41954
SED30068,1149,696,1854,6920,3201,365,10484,30634,4694,45820
SED30069,1065,420,1497,6768,3426,345,10536,27424,3686,41649
SED30070,986,199,1182,8639,3244,382,12265,26926,2614,41806
SED30071,951,293,1256,7865,2958,382,11206,24088,4035,39326
SED30072,1028,141,1175,8851,2955,359,12169,25812,2425,40402
SED30073,631,83,721,6135,2370,250,8747,36315,4682,49745
SED30074,964,212,1185,7193,2568,268,10031,25604,4011,39641
SED30075,1250,410,1660,8115,2752,286,11148,34748,5124,51019
SED30076,428,51,487,8799,3607,385,12794,24485,2199,39478
SED30077,863,383,1262,8098,2326,274,10701,25372,2752,38825
SED30078,626,89,726,10988,3032,264,14287,30583,2362,47236
SED30079,956,208,1176,8027,2856,222,11104,31633,3294,46032
SED30080,869,235,1103,7210,2754,213,10176,34161,6667,51006
SED30081,419,53,473,9466,3234,456,13151,24038,3280,40473
SED30082,850,177,1038,7637,3012,314,10960,26181,3520,40663
SED30083,1286,603,1908,8014,3089,377,11476,25980,3681,41138
SED30084,630,147,784,7245,2727,325,10295,26386,4369,41046
SED30085,560,163,731,6447,2000,238,8684,19294,4299,32273
SED30086,967,152,1121,10875,3751,514,15140,30438,4539,50119
SED30087,451,126,583,10316,2981,460,13762,27890,5437,47082
SED30088,324,98,439,10368,3403,424,14188,28391,4719,47296
SED30089,920,97,1030,8358,2355,317,11025,28685,3033,42744
SED39494,30,11,44,760,474,19,1251,7804,2633,11693
SED39797,0,3,4,13,17,0,28,90,21,144
SED40001,812,98,926,4585,2081,184,6848,26964,3566,37378
SED40002,880,132,1027,5460,2020,208,7689,19799,1649,29137
SED40003,968,170,1160,5868,2526,221,8613,17862,1396,27874
SED40004,1060,147,1221,5190,2710,206,8109,18177,1439,27721
SED40005,909,173,1097,4886,2061,225,7169,19125,2625,28920
SED40006,1053,123,1202,5720,1998,201,7921,21821,2139,31876
SED40007,999,210,1223,5119,2496,196,7808,19458,1725,28993
SED40008,940,100,1050,5173,1719,157,7042,21151,1956,30147
SED40009,607,64,674,5844,2807,316,8969,17936,1267,28169
SED40010,866,111,995,5327,2121,169,7621,20653,1732,30002
SED40011,1219,156,1384,5166,2044,172,7384,20536,1868,29788
SED40012,932,154,1102,6276,1740,167,8182,21787,2204,32166
SED40013,1028,217,1253,4279,2410,238,6931,19140,2450,28509
SED40014,697,81,794,5813,2828,297,8940,18338,1194,28462
SED40015,663,172,849,5086,2240,272,7595,16377,2923,26896
SED40016,910,138,1062,4987,2374,185,7553,17617,1434,26598
SED40017,896,155,1070,4912,2295,217,7424,19111,2423,28963
SED40018,419,112,546,5378,2148,347,7872,16528,2969,27366
SED40019,788,230,1036,4323,2082,182,6583,19014,2556,28152
SED40020,795,155,959,4287,2210,221,6712,18874,2689,28273
SED40021,1520,161,1697,5541,2192,148,7885,20640,1641,30172
SED40022,604,123,740,6058,2672,302,9032,17468,1903,28408
SED40023,585,162,771,6730,2688,350,9768,17903,2452,30120
SED40024,564,81,653,6454,2601,339,9393,18213,1933,29539
SED40025,1067,189,1274,4682,2552,166,7398,20147,1923,29468
SED40026,609,122,737,6703,2482,287,9469,18776,2026,30269
SED40027,719,189,920,5728,2385,245,8358,20321,2835,31518
SED40028,646,268,923,4865,1947,254,7064,17286,2423,26782
SED40029,576,73,659,5596,2563,291,8450,17774,1662,27884
SED40030,648,126,786,6174,2398,256,8826,18712,1589,29133
SED40031,732,73,818,5654,2612,207,8471,19711,1221,29406
SED40032,1254,175,1438,4438,2241,165,6846,19119,1917,27879
SED40033,669,123,808,5633,2479,258,8375,16869,2526,27765
SED40034,429,121,549,6684,2405,304,9395,18723,2517,30640
SED40035,568,68,645,5604,2747,264,8616,17657,1359,27636
SED40036,600,96,708,5672,2344,192,8205,19289,2591,30085
SED40037,558,87,649,6618,2451,232,9298,22215,2094,33608
SED40038,632,99,735,5981,2155,184,8318,20224,2116,30655
SED40039,590,214,812,5132,2559,262,7952,17992,2388,28332
SED40040,715,138,863,5484,2392,270,8145,18379,2174,28697
SED40041,592,121,717,4428,2081,206,6718,17256,3491,27463
SED40042,220,26,249,7395,2369,308,10074,19119,2097,31287
SED40043,737,92,838,6788,2208,209,9206,20702,1893,31804
SED40044,1413,173,1603,5396,2242,222,7860,19740,1702,29297
SED40045,1205,222,1446,5661,2529,244,8433,18528,1603,28562
SED40046,996,336,1345,5307,1827,157,7288,21591,2177,31055
SED40047,400,67,473,5636,2609,256,8498,18299,1334,28125
SED49494,16,4,22,262,141,16,411,1621,609,2648
SED49797,0,0,0,0,0,0,0,6,0,3
SED50106,833,205,1046,5507,2026,283,7823,19117,2865,29805
SED50205,945,258,1221,5706,2454,205,8364,18598,1919,28885
SED50302,511,195,717,7671,2620,342,10633,21582,3398,35612
SED50404,698,266,975,5920,2208,162,8292,22295,2669,33255
SED50502,533,104,651,5875,2156,251,8285,20478,2367,31135
SED50605,1006,286,1301,5284,2274,178,7733,19768,1857,29361
SED50702,674,163,847,6069,1949,178,8197,22860,4109,35168
SED50806,806,139,954,5381,2261,235,7876,18730,3130,29735
SED50904,458,198,662,15384,3811,584,19780,32400,5335,57513
SED51005,686,105,795,7280,2181,231,9684,26024,2887,38600
SED51104,491,94,600,6564,2660,297,9516,16479,1397,27396
SED51201,593,154,755,4816,1885,233,6935,17399,3558,27888
SED51304,1016,132,1170,7638,2348,282,10274,20744,2076,33098
SED51405,408,85,496,9236,2610,272,12118,23338,2704,38161
SED51506,409,109,523,7195,2389,334,9923,18679,2559,31154
SED51604,902,213,1133,5790,2447,240,8477,19921,2794,31193
SED51702,317,74,408,12778,3780,467,17019,27332,3182,47529
SED51806,768,145,915,5981,2607,251,8838,22131,2655,33622
SED51903,356,95,463,8666,2378,414,11460,23849,5330,40632
SED52002,388,81,476,7390,2552,266,10206,21573,2476,34259
SED52105,696,279,983,6090,2374,310,8783,22067,3525,34377
SED52201,488,130,628,5952,2219,275,8447,18399,3374,30221
SED52304,520,67,590,9166,2547,319,12034,23431,2222,37679
SED52402,549,131,684,6885,2514,277,9670,21262,2587,33519
SED52504,393,72,482,5916,2639,251,8805,17200,1411,27422
SED52605,391,59,458,7845,2417,284,10543,19817,1647,32009
SED52704,413,70,497,6092,2337,254,8686,19794,1838,30318
SED52802,580,211,801,5917,2541,261,8723,18723,2206,29650
SED52903,7,5,15,621,412,130,1163,1731,927,3818
SED53003,98,22,117,4929,2037,436,7400,14427,4158,25984
SED53104,695,68,770,5986,2681,270,8937,17340,1248,27533
SED53205,428,106,542,12258,3399,517,16174,28408,5390,49978
SED53306,990,254,1249,6376,2441,299,9120,22008,3103,34233
SED53402,674,312,989,6489,1947,220,8652,22912,2988,34547
SED53502,607,214,831,6202,2475,240,8915,20975,3123,33018
SED53602,374,66,444,6761,2244,216,9225,24037,2989,36250
SED53701,394,90,493,5040,1921,225,7188,19077,3286,29554
SED53802,639,98,752,5968,2224,198,8385,21710,2361,32454
SED53902,1105,324,1445,5680,2136,168,7982,22465,2790,33233
SED54006,454,100,570,6919,2524,349,9793,19569,3234,32597
SED54104,737,205,960,6234,2257,214,8713,22348,2478,33536
SED54203,74,32,112,3934,948,180,5067,12438,3963,21470
SED54304,251,119,375,7840,2586,292,10718,21244,1660,33616
SED54404,682,91,780,5951,1969,216,8132,33325,5961,47415
SED54503,33,15,57,8789,1888,417,11095,18664,6428,36191
SED54605,605,118,730,6730,2551,224,9506,19732,1266,30500
SED54705,893,197,1094,5076,2462,269,7808,20691,3162,31664
SED54804,782,245,1043,6344,2135,225,8702,22328,3025,34063
SED54905,810,278,1092,5378,2038,169,7584,23022,2758,33372
SED55005,212,79,294,10397,2762,326,13493,24150,2856,40497
SED55102,365,81,453,8479,2832,323,11638,22298,4672,38610
SED55206,651,226,882,6948,2170,340,9449,19041,2968,31460
SED55305,1002,305,1313,6239,1876,216,8331,28765,4352,41450
SED55401,472,134,626,4937,1837,219,6990,16293,3352,26639
SED55504,449,85,539,9300,2614,344,12257,21460,2091,35803
SED55605,243,145,399,12758,3355,601,16712,25308,3770,45795
SED55706,600,161,764,6129,2142,304,8573,20434,3365,32371
SED55802,266,154,424,11511,2869,393,14773,26195,3542,44510
SED55905,778,248,1036,5748,2165,274,8181,19619,2583,30384
SED59494,13,3,23,376,169,14,558,3441,1554,5559
SED59797,3,0,3,54,4,0,61,297,72,434
SED60101,167,35,208,1401,561,72,2029,5542,837,8411
SED60106,971,208,1183,5116,2018,202,7339,17617,2260,27214
SED60112,413,65,485,3896,1488,169,5555,12558,1290,19412
SED60115,570,102,682,4729,1896,205,6827,18703,2748,28282
SED60207,691,161,855,4770,2006,216,6989,17479,2121,26594
SED60208,565,131,711,4662,1913,223,6796,17116,2162,26075
SED60209,600,115,726,4878,1968,204,7047,17324,2407,26775
SED60214,0,0,0,38,20,3,65,96,14,172
SED60302,101,20,127,1689,681,73,2443,4756,493,7697
SED60303,804,207,1024,5228,2267,275,7777,19333,2711,29825
SED60304,773,128,920,4690,1936,253,6883,19581,2214,28671
SED60305,3,0,3,71,31,7,108,221,31,355
SED60310,548,61,622,3160,1430,183,4773,13087,1128,18990
SED60402,67,3,72,696,237,27,962,1938,151,3054
SED60405,463,71,543,5809,2227,286,8319,18111,2044,28479
SED60410,266,26,294,1839,775,103,2718,5576,516,8813
SED60411,1086,178,1276,5059,2699,226,7981,18643,2245,28872
SED60413,193,25,222,3557,1430,163,5147,9893,1018,16061
SED60501,321,83,421,2591,1039,88,3708,11664,1751,17123
SED60502,201,36,245,3846,1452,178,5478,11895,1847,19223
SED60512,141,29,173,1319,572,53,1948,5486,783,8222
SED60513,258,58,326,2613,1073,113,3805,8796,1228,13825
SED60514,531,118,661,4609,1887,206,6698,17575,2442,26712
SED69494,3,0,3,89,38,5,128,530,180,835
SED69797,0,0,0,4,0,0,9,53,9,73
SED70001,6,0,14,1070,975,420,2468,2186,653,5304
SED70002,48,12,54,1822,484,97,2405,5268,1282,8961
SED70003,3,0,8,1285,715,184,2190,2725,1057,5974
SED70004,10,6,17,1065,689,193,1945,3473,938,6360
SED70005,18,0,17,1933,406,78,2419,3704,679,6806
SED70006,40,11,53,1627,562,99,2294,4942,1124,8356
SED70007,23,0,25,1850,411,78,2337,3415,495,6246
SED70008,82,19,104,1604,461,60,2119,4406,833,7357
SED70009,18,3,24,1561,868,71,2501,3619,1351,7470
SED70010,25,11,35,1407,377,61,1846,3732,943,6523
SED70011,89,15,111,1234,357,33,1627,4575,894,7093
SED70012,28,4,30,1077,293,34,1403,4496,855,6755
SED70013,21,6,29,1580,477,56,2109,4363,1044,7512
SED70014,27,9,33,1243,401,48,1691,3732,695,6120
SED70015,34,3,39,1205,433,47,1685,3644,809,6142
SED70016,26,17,41,1375,397,57,1822,3965,1783,7575
SED70017,65,8,74,1044,712,404,2155,3428,1876,7451
SED70018,21,11,38,1558,458,47,2065,5257,3010,10327
SED70019,0,0,3,1493,1595,599,3688,2440,640,6771
SED70020,44,4,45,1277,352,69,1695,4273,876,6842
SED70021,30,4,35,1140,284,23,1442,6175,1517,9138
SED70022,31,3,32,1360,452,59,1870,4023,677,6569
