SED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SED10011,0,0,0,4,5,9,27,19,8,71,0,4,19,25,15,17,8,3,0,85,3,3,23,72,29,37,38,28,7,244,0,3,40,28,9,12,13,14,9,125,0,0,0,13,4,3,0,0,0,27,0,0,0,5,0,4,3,0,0,14,0,11,9,47,46,51,75,24,9,265,0,0,3,10,23,36,40,36,16,164,0,6,0,37,29,14,12,0,0,100,0,7,31,24,15,9,3,0,0,93,0,0,3,16,11,11,9,3,0,46,0,0,10,38,31,29,16,11,0,143,0,0,0,3,8,27,30,4,4,75,0,0,0,3,9,16,11,3,4,39,0,0,0,3,0,6,3,4,0,15,0,0,0,9,3,0,0,0,0,16,0,7,7,31,37,67,109,56,29,333,0,26,41,239,265,254,161,58,20,1068,0,0,0,16,30,21,32,12,3,110,0,3,0,5,5,3,3,0,0,24
SED10012,0,3,16,11,14,28,43,27,8,155,0,4,16,103,12,37,21,5,3,194,0,12,20,122,33,46,12,10,0,260,3,7,17,73,18,34,24,4,0,186,0,11,27,128,50,47,24,25,11,320,14,198,543,1478,787,544,311,141,35,4057,0,0,0,7,5,14,11,0,0,46,3,0,8,29,106,169,341,332,100,1083,0,0,0,15,0,5,3,0,0,27,0,0,0,20,3,5,0,0,0,30,4,12,22,171,149,154,75,26,14,632,3,10,26,132,43,47,19,5,3,287,0,0,7,3,14,54,72,28,5,182,0,3,0,14,9,31,24,6,4,93,0,0,9,22,18,12,3,3,0,69,0,3,3,14,0,0,0,0,0,17,4,4,0,0,6,3,12,10,3,45,45,236,342,397,104,70,26,3,0,1226,0,0,0,0,0,7,4,4,0,18,0,20,8,45,14,11,7,0,0,96
SED10013,0,5,12,3,24,22,23,23,4,112,3,3,9,27,12,18,4,3,0,81,3,42,40,390,89,77,34,17,5,704,0,3,7,46,22,16,3,3,0,96,0,3,5,59,12,11,3,0,0,100,0,4,29,159,57,55,14,8,3,331,3,20,9,109,47,42,33,19,10,293,0,0,10,38,85,180,307,227,137,986,0,0,0,6,6,0,4,0,3,21,0,3,4,34,5,4,0,0,0,58,0,6,14,173,114,87,47,18,3,458,0,0,11,52,18,23,17,3,0,128,0,0,9,25,33,128,206,75,11,486,0,0,4,37,25,33,15,7,3,124,0,3,0,3,4,3,0,0,0,18,0,3,3,33,3,5,0,0,0,45,0,0,0,7,27,35,64,23,14,169,19,82,134,412,237,164,74,27,7,1143,0,8,7,31,31,21,38,10,4,139,0,17,21,59,36,17,4,0,0,156
SED10014,0,0,0,5,17,41,50,20,0,137,0,3,9,35,17,31,18,3,3,112,9,79,114,564,189,127,77,32,7,1200,0,4,22,109,40,35,23,4,0,254,0,6,24,46,11,19,15,9,0,131,7,26,52,165,92,27,18,9,3,393,0,11,6,40,34,21,40,19,0,169,0,0,0,14,32,45,53,54,16,215,0,3,4,6,4,3,3,0,3,35,0,0,11,38,6,6,3,4,0,67,4,5,19,160,123,112,73,30,3,525,9,6,31,61,28,43,33,12,0,219,0,3,0,3,8,40,53,20,6,141,3,0,6,38,53,43,46,12,0,201,0,0,3,18,6,4,4,6,0,47,0,4,15,88,11,7,0,0,0,124,0,0,0,11,6,30,51,23,7,135,29,253,425,739,321,177,87,32,5,2070,0,0,0,8,16,16,29,13,4,90,13,23,51,204,48,28,10,0,0,378
SED10015,7,63,54,185,256,502,1202,1306,328,3903,0,7,70,244,108,165,67,34,7,701,24,76,122,900,126,77,42,21,6,1396,0,46,84,496,194,131,93,21,4,1079,0,5,10,56,20,9,4,3,0,110,0,0,7,33,20,11,9,3,0,89,4,5,9,69,28,25,29,16,3,179,4,12,19,89,134,210,402,450,179,1492,0,3,18,91,24,8,10,0,0,154,11,60,137,508,295,303,174,104,41,1630,3,19,60,471,612,693,521,288,96,2767,7,20,95,491,105,91,55,17,5,883,0,0,0,3,5,20,40,34,11,115,0,0,7,42,28,31,26,19,12,163,0,0,37,62,47,13,10,11,0,173,19,64,492,1567,49,40,9,0,0,2242,0,0,0,7,9,3,10,3,3,37,10,80,173,404,184,152,56,11,3,1075,0,0,0,6,0,3,8,0,0,16,17,45,71,307,44,22,3,0,0,511
SED10016,0,0,3,8,11,33,45,21,3,124,3,20,49,179,119,185,58,21,3,647,15,121,150,1038,421,306,172,75,26,2330,0,5,54,182,84,56,42,18,3,440,0,46,64,373,241,130,45,14,7,922,0,0,3,37,16,20,7,3,0,92,3,34,21,84,52,46,38,21,4,302,0,9,6,37,68,118,179,133,65,619,0,10,16,25,17,10,8,0,0,80,8,116,141,429,254,115,64,24,4,1153,0,0,5,84,121,83,49,19,7,369,7,39,45,221,111,178,120,28,3,771,0,0,0,15,18,58,118,46,15,275,0,0,5,7,25,11,15,3,0,71,0,0,0,18,7,14,18,3,0,68,0,0,5,36,7,5,0,0,0,65,0,6,13,15,28,29,50,22,8,171,12,129,169,324,228,204,107,25,5,1202,0,0,0,9,19,17,14,7,3,65,3,32,35,163,75,52,23,0,0,391
SED10017,0,0,0,0,0,6,3,0,0,16,0,0,0,0,3,7,3,0,0,19,5,12,11,169,15,6,19,3,3,253,0,5,4,11,10,3,3,3,0,40,0,0,0,6,0,0,0,0,0,17,0,4,0,13,0,5,0,0,0,16,0,6,0,21,11,15,12,7,3,82,0,0,3,3,3,17,17,8,4,59,0,0,0,3,3,3,7,4,0,17,3,0,3,26,3,3,0,0,0,44,0,0,0,4,4,4,3,0,0,21,0,7,0,29,14,12,0,0,0,65,0,0,0,0,3,8,15,0,0,34,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,20,3,0,0,0,0,26,0,4,0,10,8,27,55,14,11,134,11,32,40,212,136,135,84,19,6,666,0,0,0,6,10,4,3,13,0,34,0,10,6,28,4,3,0,0,0,59
SED10018,0,0,0,5,5,12,27,37,5,98,4,5,7,16,12,23,9,0,0,72,3,16,15,136,30,34,16,19,0,271,0,11,11,16,13,6,3,0,0,63,0,3,3,18,3,0,0,0,0,27,0,0,0,3,0,3,4,0,0,8,3,12,11,53,18,7,14,9,3,129,0,4,4,9,8,44,60,81,33,252,0,14,9,18,3,3,4,3,0,50,0,6,21,49,5,6,0,0,3,102,0,0,0,0,3,0,0,0,0,8,0,0,6,41,29,35,19,11,0,141,0,0,0,0,0,8,12,3,4,22,0,0,0,0,3,0,0,0,0,3,0,0,0,10,6,0,0,0,0,8,0,0,0,7,0,0,0,0,0,11,0,3,0,9,7,17,70,23,15,136,7,39,63,244,144,106,68,21,11,709,0,0,0,9,4,3,14,9,3,38,0,3,0,14,7,0,3,0,0,24
SED10019,0,0,0,0,3,4,4,6,3,23,0,0,3,6,13,16,0,0,0,31,0,9,0,59,12,11,10,4,0,103,0,0,0,9,4,3,3,4,3,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,9,22,5,4,74,0,0,0,3,3,10,18,15,9,56,0,3,0,11,3,5,0,0,0,23,0,0,3,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,7,8,7,7,0,0,45,0,0,0,0,0,11,13,3,0,36,0,0,0,0,0,5,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,11,0,0,0,0,0,11,0,0,0,12,14,41,86,43,18,213,3,30,24,142,132,220,157,48,21,777,0,0,0,3,0,11,12,8,0,33,0,7,3,3,0,0,0,0,0,12
SED10020,0,0,0,0,5,6,3,0,5,21,3,0,9,18,6,13,11,0,0,59,13,50,72,548,122,115,68,30,15,1041,0,0,0,15,9,5,8,0,4,43,0,12,18,7,0,0,0,0,0,44,0,0,0,4,0,3,0,0,0,13,0,14,5,65,25,21,22,10,5,158,0,3,3,10,5,15,48,29,19,134,3,11,8,26,4,7,3,4,0,67,0,6,17,38,6,0,0,0,0,59,0,0,0,0,3,5,0,0,3,19,24,22,4,28,16,15,10,0,0,121,0,0,0,0,0,15,29,7,4,45,0,0,0,0,4,5,0,0,0,13,0,38,62,148,43,9,4,3,0,307,0,0,3,3,0,0,0,0,0,11,0,0,3,10,19,50,86,51,19,240,8,45,56,243,193,223,173,70,25,1037,0,3,0,11,8,10,14,20,3,64,3,24,21,11,9,8,0,0,0,65
SED10021,4,7,7,20,19,46,96,137,61,393,14,20,51,134,64,54,34,11,3,380,11,25,71,289,56,40,43,29,15,570,5,3,44,169,48,37,24,10,4,346,0,0,0,83,7,14,0,5,3,115,0,0,3,17,12,17,19,12,0,79,7,25,102,1966,161,67,55,30,16,2428,0,18,32,326,47,38,85,113,68,731,4,9,22,175,71,36,18,6,0,342,3,17,31,154,20,17,3,3,3,252,0,0,3,39,38,23,22,28,12,171,0,8,100,167,72,69,54,22,5,500,0,0,0,5,3,15,26,27,4,85,0,0,0,18,10,5,4,3,0,45,0,0,0,7,3,6,0,3,3,27,0,0,9,46,0,3,0,0,0,63,5,7,11,92,25,17,19,21,19,214,5,53,84,1005,400,297,136,64,19,2055,0,0,21,119,24,16,18,6,3,209,0,3,7,42,8,0,0,0,0,61
SED10022,0,0,0,0,5,3,8,3,0,21,0,0,0,15,6,6,0,3,0,35,4,9,9,108,6,14,4,4,0,164,0,0,0,6,3,3,3,8,3,27,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,6,8,6,13,4,3,50,0,0,0,13,4,18,21,24,7,76,0,0,0,0,3,3,0,0,0,10,0,0,6,18,0,0,0,0,0,26,0,3,0,31,14,9,8,0,3,84,0,0,3,10,11,5,5,0,0,39,0,0,0,0,0,5,16,5,0,25,0,0,0,0,0,4,0,0,0,7,0,0,0,7,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,15,0,0,3,10,10,30,70,31,3,150,3,15,26,135,92,110,54,29,9,470,0,0,0,0,3,4,6,8,0,30,0,0,0,9,3,0,0,0,0,10
SED10023,0,4,8,10,25,69,65,52,17,256,0,9,6,37,18,26,16,6,0,130,3,7,14,77,48,12,24,21,7,208,0,3,3,49,23,13,12,7,0,119,0,5,0,13,7,4,0,0,0,34,0,0,0,4,0,3,0,0,0,8,0,19,4,115,45,38,18,9,9,268,0,0,8,37,38,65,100,86,32,368,0,6,8,26,11,12,3,0,0,75,0,3,4,24,14,9,3,4,0,64,0,0,0,19,23,21,30,10,6,108,0,8,4,27,20,26,19,12,0,120,0,0,3,3,0,15,50,26,8,105,0,0,0,3,9,16,3,0,0,39,0,0,0,3,0,0,0,0,0,7,0,0,11,24,9,3,0,0,0,45,0,3,5,27,18,21,53,18,10,148,8,45,68,419,200,190,96,34,16,1066,0,0,3,6,12,11,16,9,8,71,0,0,3,10,0,3,0,0,0,14
