SED_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SED40038,3569,324,176,72,14,9,25,4195
SED40039,2559,338,214,38,6,0,25,3185
SED40040,3442,290,199,25,3,0,21,3979
SED40041,2519,205,152,32,10,8,25,2949
SED40042,4082,442,335,88,15,11,35,5010
SED40043,4129,261,107,54,4,0,15,4568
SED40044,3610,231,70,21,3,0,5,3934
SED40045,4078,245,92,25,3,0,12,4454
SED40046,3389,212,91,35,0,0,13,3746
SED40047,3812,361,161,47,3,3,18,4410
SED49494,0,0,0,0,0,0,0,0
SED49797,0,0,0,0,0,0,0,0
SED50106,3124,278,193,38,3,0,25,3666
SED50205,4208,217,92,28,3,0,6,4561
SED50302,4143,430,278,76,16,6,51,5002
SED50404,3802,207,107,32,4,0,17,4170
SED50502,3823,300,173,74,7,3,23,4400
SED50605,4187,229,82,44,3,0,8,4553
SED50702,3478,268,134,54,0,3,15,3953
SED50806,2886,278,156,40,6,7,28,3394
SED50904,8527,701,576,98,20,17,41,9982
SED51005,4698,291,158,90,4,9,21,5275
SED51104,4667,266,99,25,5,0,23,5090
SED51201,2705,199,182,43,4,0,57,3189
SED51304,5285,226,93,40,0,0,9,5657
SED51405,5929,424,238,66,6,3,23,6682
SED51506,4159,373,287,63,10,0,39,4944
SED51604,3990,242,67,20,0,3,7,4328
SED51702,7964,598,397,103,9,8,46,9124
SED51806,3551,350,235,36,8,5,34,4213
SED51903,4914,396,335,68,13,9,34,5767
SED52002,4524,404,254,86,13,3,33,5318
SED52105,3775,287,104,17,3,3,11,4197
SED52201,3419,298,204,40,9,4,45,4021
SED52304,6167,405,239,122,11,7,29,6976
SED52402,4299,338,230,76,16,3,36,5004
SED52504,4427,273,130,24,5,0,22,4883
SED52605,5436,324,201,61,12,0,12,6049
SED52704,3996,337,169,36,6,3,13,4566
SED52802,4076,313,154,51,6,3,24,4635
SED52903,220,30,13,30,8,0,20,328
SED53003,2411,223,145,136,28,19,83,3047
SED53104,4361,282,138,39,4,0,14,4839
SED53205,6777,641,471,109,11,10,57,8077
SED53306,3446,410,256,58,8,4,26,4215
SED53402,3899,275,86,24,3,0,20,4306
SED53502,3634,363,204,77,5,3,36,4323
SED53602,4646,334,196,82,11,7,22,5294
SED53701,3079,221,174,55,3,3,45,3580
SED53802,4008,263,132,43,7,4,11,4469
SED53902,3762,213,79,19,7,3,11,4093
SED54006,4094,363,272,54,8,8,57,4860
SED54104,4223,162,55,15,4,0,3,4468
SED54203,1490,124,95,28,7,3,35,1774
SED54304,6097,419,207,60,4,0,20,6807
SED54404,3551,203,62,18,3,3,11,3843
SED54503,4167,320,245,92,17,8,47,4899
SED54605,5230,223,107,80,3,4,10,5663
SED54705,2935,375,194,47,8,6,32,3594
SED54804,3737,278,81,21,3,0,3,4128
SED54905,3590,223,55,31,0,0,10,3906
SED55005,7356,421,226,117,16,4,30,8171
SED55102,5574,449,251,61,15,3,33,6389
SED55206,3899,317,212,29,7,0,20,4490
SED55305,3621,246,108,31,3,0,17,4023
SED55401,2849,163,154,43,4,0,43,3263
SED55504,5887,447,315,75,8,3,37,6772
SED55605,7444,688,532,83,15,12,54,8826
SED55706,3443,233,169,21,3,3,32,3911
SED55802,7131,537,360,125,6,9,40,8200
SED55905,3552,259,132,35,3,0,13,3996
SED59494,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0
SED60101,844,72,53,9,3,3,6,985
SED60106,2910,273,160,17,3,4,16,3378
SED60112,2316,207,134,14,3,0,11,2684
SED60115,2462,279,230,34,8,0,31,3045
SED60207,2553,338,183,27,8,4,31,3142
SED60208,2537,302,206,24,3,3,26,3103
SED60209,2700,288,212,17,4,0,25,3238
SED60214,19,3,0,0,0,0,0,25
SED60302,854,111,88,13,3,0,6,1070
SED60303,2608,361,232,34,8,9,36,3288
SED60304,2740,219,86,14,0,0,13,3069
SED60305,44,3,3,0,0,0,0,54
SED60310,2120,149,74,12,3,0,9,2363
SED60402,410,47,32,3,0,0,3,494
SED60405,3460,321,198,30,0,7,19,4030
SED60410,981,104,49,10,0,0,6,1157
SED60411,2954,327,154,32,3,5,15,3492
SED60413,2067,212,139,24,3,0,16,2463
SED60501,1472,155,83,21,3,0,20,1758
SED60502,2049,228,201,29,7,0,34,2546
SED60512,772,79,50,10,0,0,13,921
SED60513,1348,171,105,20,0,5,19,1664
SED60514,2790,281,183,26,3,4,17,3297
SED69494,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0
SED70001,593,49,16,91,10,9,29,792
SED70002,1036,79,59,29,6,3,8,1221
SED70003,684,45,25,98,4,3,44,901
SED70004,549,48,27,68,16,10,34,741
SED70005,1039,108,91,16,5,0,5,1266
SED70006,924,69,44,15,3,6,21,1076
SED70007,993,92,68,10,0,0,3,1166
SED70008,1005,60,36,32,3,0,5,1140
SED70009,669,63,55,58,4,9,17,864
SED70010,710,91,71,9,8,0,8,895
SED70011,726,67,27,8,0,0,0,822
SED70012,642,48,27,14,0,0,3,731
SED70013,932,109,66,15,3,0,15,1137
SED70014,747,65,34,22,0,0,4,879
SED70015,764,61,43,22,0,0,7,904
SED70016,770,69,44,21,3,7,17,937
SED70017,539,43,21,45,4,9,17,680
SED70018,922,76,55,10,0,0,3,1069
SED70019,809,40,33,91,14,3,31,1020
SED70020,743,54,27,10,0,0,3,834
SED70021,591,52,16,11,0,0,0,664
SED70022,863,89,30,16,0,0,3,1003
SED70023,1005,85,61,16,5,0,5,1179
SED70024,462,30,14,98,14,3,43,671
SED70025,1056,72,56,30,3,0,5,1225
SED79494,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,0
SED80001,8173,761,430,99,11,8,33,9519
SED80002,7837,537,309,84,10,5,33,8814
SED80003,6293,407,147,47,5,0,28,6919
SED80004,8597,584,296,80,11,3,33,9600
SED80005,11816,728,426,130,12,4,41,13160
SED89494,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0
SED99191,378,23,17,8,0,0,0,430
SED99494,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0
