SED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SED10032,11435,3624,7471,75,88,22690,2265,736,1507,15,33,4549,481,158,333,8,40,1016,14186,4512,9309,95,156,28254
SED10033,18205,1549,335,105,128,20328,2277,568,138,81,31,3089,440,76,22,20,28,582,20919,2193,500,204,186,24002
SED10034,17204,2166,3694,87,57,23208,1243,287,635,56,11,2231,274,50,119,11,15,469,18726,2507,4448,151,81,25916
SED10035,5686,4477,23838,176,150,34331,1063,497,2404,21,20,4004,166,133,761,14,73,1143,6923,5108,26997,213,243,39483
SED10036,17892,2716,346,41,45,21031,2086,595,173,4,8,2866,529,147,33,4,6,722,20505,3461,544,51,63,24620
SED10037,18645,1476,3605,89,81,23889,1234,176,467,15,13,1908,330,43,95,7,31,497,20205,1695,4167,108,119,26292
SED10038,17320,3557,2123,107,79,23189,2503,1055,688,37,17,4300,388,143,92,4,19,648,20207,4754,2900,151,112,28130
SED10039,18039,1864,651,237,163,20955,2403,575,330,200,40,3548,422,79,39,28,28,599,20860,2523,1023,464,229,25098
SED10040,10905,2834,11439,157,70,25402,1820,461,1387,52,15,3727,346,96,379,7,43,864,13066,3393,13201,209,119,29993
SED10041,16117,1194,7249,17,46,24624,755,160,742,3,3,1667,221,36,171,3,17,442,17087,1392,8163,25,64,26732
SED10042,19494,1384,404,148,43,21474,3212,617,189,138,11,4170,495,74,22,33,16,640,23203,2074,622,316,71,26282
SED10043,10746,3300,6856,139,77,21115,2156,810,1985,32,15,4999,507,155,406,15,16,1098,13404,4262,9246,185,106,27208
SED10044,13105,2491,10897,35,99,26631,1017,248,1252,4,8,2531,229,55,258,3,13,559,14348,2797,12414,43,120,29721
SED10045,19030,1174,727,362,125,21418,4420,608,450,197,35,5705,647,77,89,40,18,870,24101,1851,1261,598,177,27995
SED10046,14119,1590,5110,18,32,20867,2266,467,1770,5,20,4534,603,82,307,3,7,1002,16991,2135,7191,26,70,26405
SED10047,19274,2358,988,136,105,22871,3831,614,588,81,33,5147,699,104,80,8,21,913,23810,3074,1660,229,157,28936
SED10048,18122,4005,285,35,144,22589,2323,1069,92,21,20,3526,510,178,17,3,10,721,20956,5252,395,55,175,26838
SED10049,20173,1675,346,67,156,22415,3138,695,229,31,119,4218,484,65,27,8,104,686,23793,2435,607,108,379,27320
SED10050,11231,2499,12419,86,73,26313,727,181,1345,13,12,2283,208,56,312,27,15,620,12166,2732,14077,128,104,29213
SED10051,9084,5123,8869,122,64,23266,1341,789,1931,15,8,4091,261,165,560,4,14,1007,10684,6086,11360,145,94,28358
SED10052,14681,3626,3873,100,37,22310,1354,676,935,37,8,3008,292,95,132,10,16,543,16325,4402,4933,146,59,25860
SED10053,17686,2474,2080,132,230,22596,2797,571,600,58,37,4071,505,113,113,13,50,807,20991,3164,2793,205,321,27475
SED10054,17115,2808,1091,39,34,21083,2427,585,293,11,9,3318,580,112,61,0,14,760,20126,3502,1438,45,53,25159
SED10055,20264,830,84,20,61,21261,1730,108,45,17,4,1915,457,26,3,3,9,499,22448,968,132,42,80,23674
SED10056,19311,574,1068,295,149,21398,5741,408,719,201,58,7135,819,52,131,46,23,1075,25877,1031,1920,544,228,29600
SED10057,17360,1841,1293,329,150,20967,4381,1125,811,182,50,6546,602,137,113,46,18,910,22342,3100,2210,556,217,28429
SED10058,15034,4429,4165,103,120,23855,2345,908,1442,34,25,4758,390,144,231,10,27,793,17769,5479,5841,143,177,29406
SED10059,2020,11177,15334,422,176,29137,248,920,2552,61,21,3799,71,362,626,33,63,1157,2338,12459,18511,517,265,34093
SED10060,5260,3761,21052,78,71,30231,206,142,1820,8,12,2185,78,63,495,3,14,650,5539,3972,23364,89,97,33061
SED10061,18527,946,809,177,193,20648,5791,393,602,97,75,6962,815,58,104,27,22,1026,25138,1396,1512,297,294,28630
SED10062,14090,3113,4463,98,52,21815,1732,691,767,11,6,3209,317,94,146,4,8,569,16139,3901,5375,113,71,25599
SED10063,19289,1046,528,106,110,21077,5036,583,462,59,50,6194,725,72,62,18,58,932,25055,1697,1054,183,215,28197
SED10064,18503,673,596,323,172,20270,5234,471,496,250,47,6496,709,48,59,37,27,883,24445,1190,1155,607,246,27646
SED10065,10904,5523,13035,185,130,29777,1410,684,1707,24,17,3837,331,150,495,9,32,1012,12640,6353,15240,214,179,34622
SED10066,17941,3164,1724,78,49,22954,2231,943,622,46,17,3862,406,229,96,20,4,758,20576,4336,2438,141,75,27568
SED10067,14980,2155,4912,198,121,22370,844,413,736,34,25,2053,299,77,195,17,14,604,16122,2652,5838,250,160,25021
SED10068,17554,2716,2064,406,111,22843,3044,1081,985,330,29,5476,512,151,138,46,29,879,21113,3950,3186,782,168,29200
SED10069,17422,2618,672,299,77,21095,2991,877,270,181,22,4337,520,117,65,132,23,861,20932,3610,1002,616,132,26292
SED10070,15849,3494,1277,172,69,20866,2431,574,305,66,22,3393,452,151,57,20,27,707,18732,4222,1646,246,116,24970
SED10071,16438,6529,696,79,89,23832,1098,324,56,24,10,1506,374,86,13,48,21,549,17910,6941,763,153,125,25887
SED10072,10429,3106,11346,181,80,25145,2000,588,1713,61,19,4387,370,115,439,9,16,957,12804,3812,13495,253,121,30485
SED10073,12546,4838,11308,79,130,28898,1374,646,1283,12,19,3336,297,142,294,3,30,768,14223,5621,12880,100,173,33004
SED10074,16894,3225,3922,30,56,24129,2009,554,679,3,10,3259,439,132,159,0,12,743,19342,3918,4759,36,78,28138
SED10075,19679,2467,704,181,57,23085,3209,970,428,161,14,4773,525,164,62,25,9,778,23404,3595,1186,365,78,28632
SED10076,18903,1006,376,351,103,20738,4561,530,178,220,49,5536,719,76,60,37,16,906,24182,1608,607,610,175,27179
SED10077,10162,3171,12505,200,175,26221,1466,404,1455,20,19,3362,293,93,581,13,37,1022,11921,3674,14542,235,233,30600
SED10078,8446,3397,12994,351,99,25291,1480,372,1832,50,20,3757,235,85,450,16,174,966,10157,3863,15272,424,300,30008
SED10079,19378,1174,809,140,47,21544,3822,558,551,119,11,5055,610,82,65,12,10,777,23805,1813,1417,266,62,27374
SED10080,355,6359,28113,114,148,35091,18,488,2694,20,23,3236,17,191,952,28,91,1279,392,7036,31758,164,259,39612
SED10081,18938,1115,347,264,132,20796,5207,751,332,192,36,6520,738,128,49,30,15,954,24874,1989,729,480,193,28267
SED10082,19229,1911,1288,85,68,22577,2263,724,246,42,9,3289,448,103,52,6,15,616,21938,2739,1586,127,95,26482
SED10083,17059,3098,1227,150,63,21595,2465,1409,442,64,37,4415,451,227,75,11,13,770,19978,4732,1747,226,107,26785
SED10084,15287,4450,2598,632,173,23139,2402,1548,1000,422,46,5409,445,255,183,65,18,962,18125,6250,3778,1121,236,29512
SED10085,19224,829,371,157,153,20730,4776,409,315,98,29,5633,609,47,49,12,19,739,24608,1292,738,268,203,27104
SED10086,6148,3422,17506,146,135,27357,287,207,1639,13,9,2157,152,81,603,7,18,861,6586,3712,19742,172,159,30375
SED10087,19217,651,1490,162,76,21600,4114,332,755,48,21,5270,606,49,108,23,11,799,23944,1038,2355,235,104,27671
SED10088,15116,1360,6962,61,69,23557,1147,304,1277,8,8,2741,302,62,246,0,26,651,16561,1726,8486,72,106,26951
SED10089,20164,2391,1067,60,73,23749,3645,936,528,12,10,5127,516,116,77,3,14,727,24322,3447,1667,74,95,29613
SED10090,11963,3236,12824,87,59,28164,779,194,1168,15,7,2167,217,67,302,7,13,608,12965,3500,14296,103,78,30938
SED10091,19817,983,215,102,96,21212,2550,343,102,69,20,3074,522,52,17,11,11,607,22893,1372,328,172,126,24890
SED10092,14203,2389,6747,188,147,23683,3657,843,1901,102,53,6565,505,111,347,27,104,1094,18365,3349,8995,326,310,31340
SED10093,18745,1492,919,109,51,21317,3339,671,653,103,20,4784,571,105,103,27,62,868,22654,2265,1674,240,133,26971
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,1564,7675,19941,327,85,29593,160,792,2005,26,14,2995,29,191,582,10,17,828,1755,8658,22533,362,110,33414
SED20207,20721,4856,795,24,33,26429,2177,714,207,6,4,3109,499,125,35,0,10,672,23396,5702,1042,27,40,30207
SED20302,19825,1158,141,120,68,21307,3511,506,65,105,7,4197,622,94,13,10,13,743,23954,1755,220,235,85,26244
SED20401,15670,3320,669,12,42,19716,1720,632,195,0,5,2552,370,122,42,0,12,542,17761,4072,903,13,64,22812
SED20508,17242,990,163,77,77,18548,2474,356,80,46,9,2965,415,48,20,10,8,497,20127,1389,258,134,100,22012
SED20604,17488,1015,332,88,135,19065,3196,517,223,45,19,3999,491,77,32,8,3,617,21172,1608,583,143,163,23681
SED20704,17668,1271,109,51,49,19148,2960,601,50,27,19,3651,482,85,11,8,9,596,21105,1949,174,88,83,23396
SED20804,16897,916,271,96,115,18294,3602,508,135,51,22,4321,537,96,31,11,9,678,21030,1526,429,158,148,23289
SED20906,12780,3375,2427,49,54,18679,1738,368,500,10,4,2621,301,105,98,0,4,509,14816,3847,3018,58,63,21805
SED21001,13206,5938,2840,30,51,22064,1368,776,432,0,5,2580,285,149,105,0,10,550,14860,6855,3369,39,67,25197
SED21106,10551,4351,6160,73,91,21225,693,471,766,6,9,1944,187,100,181,3,10,477,11425,4928,7102,85,108,23651
SED21203,13301,2048,788,135,54,16318,3625,448,228,99,14,4418,751,135,58,19,36,1000,17674,2636,1078,248,108,21741
SED21303,9689,6638,8040,157,88,24609,1839,634,923,16,10,3423,295,167,233,11,17,717,11824,7446,9194,177,114,28750
SED21401,14026,3227,1421,13,21,18705,2085,394,218,0,7,2703,361,93,40,0,34,532,16466,3711,1679,17,64,21938
SED21503,14399,2503,1092,10,19,18021,2054,445,211,0,3,2715,383,74,52,0,15,517,16830,3015,1355,12,34,21255
SED21608,15380,1765,241,84,61,17530,2826,543,99,15,26,3511,447,79,21,6,28,580,18653,2384,362,107,119,21621
SED21706,13770,4244,1970,44,71,20091,1388,663,357,0,5,2426,314,128,62,0,7,514,15477,5028,2384,47,83,23027
SED21805,15311,4984,677,215,23,21214,1840,1121,205,176,10,3342,407,213,44,15,9,689,17553,6313,927,411,37,25244
SED21906,8495,5853,7611,156,82,22202,756,620,973,9,13,2368,182,127,207,7,23,544,9434,6597,8790,175,112,25117
SED22005,13679,5052,1622,20,49,20424,2696,761,375,3,19,3856,479,171,146,0,24,819,16856,5986,2142,26,90,25095
SED22105,23347,2479,272,6,29,26135,2022,605,100,0,4,2737,690,121,26,0,5,846,26058,3209,396,8,43,29711
SED22201,17096,1295,305,6,37,18743,1982,375,56,0,5,2421,406,63,13,0,11,493,19485,1730,377,6,57,21658
SED22305,12803,3771,1944,207,40,18766,2676,1068,605,100,7,4456,602,250,132,37,27,1040,16083,5084,2686,338,73,24267
SED22404,16414,389,92,179,101,17178,2939,151,49,119,23,3281,561,39,10,59,14,690,19912,579,152,363,140,21144
SED22501,16575,1369,474,19,22,18454,1080,277,102,0,3,1462,271,44,16,0,3,337,17930,1682,589,19,30,20255
SED22607,10470,4418,6495,86,71,21554,1264,506,1497,12,7,3291,251,109,350,0,15,732,11986,5040,8341,105,100,25571
SED22704,17501,310,404,140,103,18463,4249,194,363,95,24,4922,680,32,57,23,15,799,22429,541,817,255,141,24191
SED22802,15981,941,66,43,56,17078,1680,317,8,36,10,2042,332,46,5,3,3,383,17986,1300,75,80,69,19510
SED22901,15451,1865,207,77,27,17631,1473,501,100,57,3,2144,314,85,27,5,7,442,17240,2454,342,142,42,20211
SED23007,12088,5887,5091,75,73,23206,2832,913,945,17,24,4731,554,236,194,6,21,1020,15477,7036,6228,98,112,28953
SED23101,15075,2607,252,17,26,17976,1719,536,208,0,3,2456,306,77,28,0,5,416,17101,3213,485,17,31,20852
SED23205,15788,2863,600,52,40,19339,2253,1001,299,15,4,3570,517,157,44,3,9,734,18553,4026,938,74,49,23637
SED23308,15874,3037,1141,129,52,20236,3173,961,391,87,11,4624,465,123,64,10,11,672,19510,4120,1597,230,73,25531
SED23402,18092,1926,79,43,44,20189,1563,523,89,29,4,2211,351,91,13,3,14,468,20010,2546,186,74,61,22868
SED23502,16366,369,202,179,137,17257,4261,264,147,134,44,4850,616,38,17,22,70,760,21243,674,365,334,251,22866
SED23602,15699,420,342,104,72,16638,3486,295,231,75,18,4106,538,42,26,9,7,626,19727,763,597,193,93,21368
SED23702,17926,2330,109,128,24,20512,1911,711,21,93,8,2749,452,106,4,9,3,580,20293,3141,131,230,35,23837
SED23806,9504,4419,8759,78,82,22846,540,339,771,5,11,1666,158,91,323,0,6,577,10204,4846,9850,78,106,25086
SED23901,14164,3741,2056,30,63,20049,1890,658,349,3,18,2930,369,136,69,0,14,593,16426,4535,2474,34,94,23564
SED24006,12928,3877,2482,42,49,19373,1117,373,246,0,4,1740,273,62,71,3,9,416,14321,4315,2799,47,66,21535
SED24105,15459,2154,789,46,41,18482,2082,440,243,48,13,2817,519,115,54,3,3,698,18062,2712,1076,91,53,21997
SED24207,18808,1683,178,56,18,20739,2545,324,61,61,3,2991,671,64,17,3,4,755,22026,2063,252,122,25,24491
SED24308,15852,1552,318,88,47,17867,4119,720,152,21,15,5023,649,112,26,0,6,797,20621,2382,499,110,71,23684
SED24408,15515,410,329,99,141,16499,4532,329,293,31,39,5224,583,41,33,8,20,689,20633,782,652,138,202,22404
SED24504,16482,516,126,89,86,17297,2175,203,65,34,23,2502,422,26,6,11,26,485,19073,744,198,141,130,20288
SED24606,8927,4189,6926,181,61,20292,680,356,820,18,7,1881,173,90,192,11,4,470,9781,4632,7936,209,81,22641
SED24703,1507,8057,32373,117,311,42370,161,589,3083,17,24,3878,61,210,1149,48,42,1508,1723,8861,36604,189,378,47756
SED24808,19702,2263,60,38,42,22110,2716,722,74,13,5,3522,639,123,5,0,12,780,23053,3106,137,49,63,26407
SED24904,15115,1033,565,154,91,16956,4079,619,559,127,25,5407,655,90,96,16,19,878,19853,1737,1220,296,133,23241
SED25003,15734,3031,258,4,22,19051,1592,467,84,0,0,2147,405,81,20,3,0,509,17737,3584,353,6,25,21703
SED25102,16957,374,65,18,57,17476,1377,120,16,4,5,1532,332,22,0,0,10,359,18669,514,78,25,76,19364
SED25205,11925,4590,3389,57,79,20029,1331,601,788,11,18,2746,256,98,139,3,4,502,13512,5289,4314,68,95,23276
SED25302,16072,1463,1690,73,38,19337,1426,295,539,49,4,2314,342,50,88,6,6,494,17844,1804,2318,128,53,22143
SED25402,17706,680,700,63,50,19201,3485,477,438,16,11,4440,575,60,79,4,37,758,21766,1220,1223,92,97,24396
SED25501,14165,1688,2853,7,41,18758,1558,134,290,3,3,1992,324,40,52,3,8,431,16051,1864,3197,14,56,21182
SED25605,14486,2043,1091,48,26,17694,2128,413,321,41,5,2903,421,110,59,6,7,601,17028,2565,1467,96,37,21192
SED25704,15801,586,454,111,110,17068,4432,394,439,83,21,5361,635,63,60,9,17,786,20873,1040,950,201,155,23216
SED25802,17941,695,590,86,77,19387,3378,472,422,86,11,4368,559,65,53,11,12,697,21884,1233,1056,183,101,24457
SED25905,16626,1419,171,65,15,18292,1757,229,69,51,4,2106,477,46,11,5,3,535,18855,1693,245,115,29,20937
SED26005,20104,1039,55,21,12,21227,1653,146,34,3,4,1840,526,29,4,0,5,569,22285,1218,91,26,25,23643
SED26102,16849,1351,190,136,57,18589,3230,526,126,103,22,4010,651,100,34,22,3,810,20732,1973,356,267,89,23407
SED26207,12832,3604,651,98,37,17219,2795,654,170,26,3,3639,399,120,25,8,14,554,16025,4367,838,127,57,21415
SED26303,10590,5406,4964,143,82,21195,1780,630,765,21,5,3201,306,118,165,4,13,614,12680,6160,5895,167,101,25011
SED26406,11115,5448,5603,28,87,22281,1642,695,704,3,5,3050,321,170,156,0,13,658,13077,6313,6463,35,109,25994
SED26504,14948,805,271,95,108,16229,3791,547,234,39,47,4649,610,77,44,3,11,751,19347,1434,545,139,164,21630
SED26603,13224,6841,1553,62,83,21758,3174,1035,362,14,23,4601,428,243,69,7,3,743,16822,8120,1976,79,103,27103
SED26708,16203,387,148,98,118,16954,3906,315,110,35,25,4386,557,39,23,13,13,643,20669,735,275,147,158,21983
SED26806,2674,4933,22291,107,92,30096,273,378,2464,6,10,3132,77,130,695,8,21,927,3028,5437,25448,118,117,34152
SED26903,12171,5870,1308,110,56,19514,3473,1337,370,20,12,5204,533,264,58,3,7,863,16175,7469,1734,132,76,25582
SED27003,3563,10155,12685,159,135,26685,434,759,1791,11,11,3012,104,271,483,10,18,878,4101,11185,14952,174,166,30580
SED27101,15838,3519,737,19,48,20156,1843,618,102,0,12,2575,353,132,27,0,14,529,18032,4264,865,20,68,23257
SED27208,16603,296,209,426,104,17640,5134,307,203,193,48,5876,671,69,45,22,18,819,22404,670,457,640,170,24335
SED27305,15214,681,198,104,8,16214,1025,165,76,8,3,1274,286,37,7,4,0,336,16534,880,279,119,15,17824
SED27406,11235,5467,2541,135,78,19455,1057,765,406,9,7,2247,229,145,81,3,9,466,12524,6378,3028,149,97,22169
SED27504,17290,1371,154,161,44,19026,3881,753,161,152,11,4963,660,132,31,33,12,863,21833,2259,348,345,63,24856
SED27608,19088,1652,93,107,41,20985,1812,496,63,13,7,2387,390,68,18,5,3,484,21292,2215,180,119,55,23854
SED27708,16378,1145,468,110,93,18202,3516,592,363,58,12,4547,519,71,93,5,11,697,20407,1813,924,175,118,23443
SED27807,14113,2612,1427,41,39,18231,3930,650,546,15,21,5160,770,173,99,28,12,1075,18812,3436,2072,81,71,24472
SED27907,15994,1475,707,8,23,18205,2050,375,253,0,6,2682,381,63,36,0,4,480,18422,1907,997,10,28,21372
SED28007,16870,2754,227,5,37,19892,1451,463,138,0,3,2055,444,81,15,0,0,542,18765,3306,380,5,40,22492
SED28107,20635,4075,588,20,23,25337,1607,425,188,20,7,2245,582,109,34,0,8,739,22824,4605,818,40,32,28323
SED28203,14490,1640,696,18,38,16879,4217,341,183,0,5,4749,630,68,33,0,13,742,19338,2048,912,16,55,22368
SED28301,14767,2134,771,23,35,17734,1120,296,167,0,0,1592,274,75,41,0,50,437,16158,2509,986,25,86,19760
SED28408,14880,2075,583,30,57,17628,2789,786,259,3,14,3855,437,94,45,3,13,594,18111,2957,885,34,89,22074
SED28507,17505,2044,301,42,23,19921,2463,566,76,36,3,3138,533,86,9,3,3,636,20499,2699,386,77,32,23697
SED28607,14134,5523,2069,144,86,21943,2497,670,575,37,17,3804,361,144,108,10,15,634,16989,6334,2746,191,114,26380
SED28704,20973,1493,155,16,49,22685,1834,247,40,3,10,2138,426,39,4,0,4,472,23237,1782,205,21,58,25299
SED28803,20249,1953,170,47,23,22452,1840,336,44,33,8,2271,531,61,3,6,5,604,22619,2354,221,91,35,25324
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED30001,16463,2863,64,39,33,19463,1083,556,12,27,8,1681,350,87,0,3,4,449,17891,3505,74,70,46,21590
SED30002,14187,1083,149,37,38,15497,1204,205,47,29,8,1491,288,28,9,3,3,340,15685,1320,214,63,49,17325
SED30003,12075,817,1749,13,30,14690,755,68,288,0,7,1120,191,11,55,3,24,289,13029,898,2089,18,65,16100
SED30004,11934,1665,153,74,32,13855,989,409,73,83,6,1560,242,71,8,14,8,346,13169,2142,239,175,46,15766
SED30005,15909,1404,1783,140,122,19358,1369,316,320,40,33,2083,348,51,77,8,20,501,17626,1768,2178,186,177,21938
SED30006,15427,421,103,138,47,16128,2495,196,94,48,17,2845,422,19,12,13,4,471,18343,635,202,203,68,19450
SED30007,4046,1080,17397,27,124,22681,326,85,1798,9,11,2240,116,39,535,30,42,756,4494,1207,19730,67,177,25674
SED30008,6930,5449,4608,177,89,17259,1092,1125,1011,104,33,3369,210,179,176,18,17,592,8235,6750,5793,304,142,21216
SED30009,12782,1550,1280,213,37,15853,815,469,235,114,8,1642,257,100,53,10,7,433,13861,2121,1576,330,52,17935
SED30010,10832,3014,3139,72,48,17100,887,227,430,40,3,1591,234,66,83,13,8,405,11951,3312,3648,123,58,19102
SED30011,10342,1087,728,133,39,12336,2787,666,527,108,9,4107,370,77,64,18,12,547,13500,1833,1319,264,66,16988
SED30012,19243,1788,110,15,31,21189,2172,390,61,7,9,2638,509,90,7,0,10,619,21926,2268,181,25,54,24446
SED30013,11495,361,634,251,59,12805,2873,186,422,122,19,3626,387,40,47,32,39,544,14757,585,1101,398,120,16967
SED30014,9094,3674,3480,49,47,16344,1100,688,887,19,7,2704,244,137,163,3,8,556,10433,4496,4523,80,64,19598
SED30015,13470,286,394,255,69,14472,2619,169,110,132,27,3059,408,45,12,28,14,512,16498,500,523,421,108,18044
SED30016,9842,2079,4886,141,83,17028,1622,942,1648,68,31,4300,361,142,302,48,93,938,11821,3160,6829,252,209,22270
SED30017,11240,86,226,232,74,11851,3758,72,171,168,25,4192,490,12,50,48,15,618,15487,167,445,452,117,16665
SED30018,11911,1551,2361,209,59,16097,1383,523,613,117,69,2704,239,70,100,17,16,438,13530,2142,3083,337,145,19238
SED30019,12763,1621,89,118,26,14622,1138,453,57,83,3,1737,251,59,7,15,6,337,14154,2136,159,221,31,16699
SED30020,12727,2500,546,28,33,15828,1089,240,127,7,5,1466,249,50,19,0,3,321,14064,2789,693,36,34,17616
SED30021,9043,1372,7679,40,68,18204,685,175,1250,8,12,2125,173,44,252,3,12,481,9892,1596,9177,48,92,20813
SED30022,13003,1647,1048,88,79,15849,1049,487,400,48,7,1995,264,75,49,3,41,430,14310,2205,1496,137,127,18274
SED30023,14813,329,265,67,66,15541,2582,167,122,47,14,2931,393,24,21,9,0,441,17786,514,413,117,78,18910
SED30024,9657,899,606,325,95,11579,2886,290,356,163,26,3715,517,52,63,86,29,742,13057,1237,1030,573,144,16041
SED30025,17182,3197,1031,146,70,21625,1708,550,181,34,11,2488,461,85,34,10,10,604,19352,3836,1245,189,86,24707
SED30026,9146,2488,3250,58,52,14994,1002,619,936,29,10,2599,227,96,147,10,8,486,10373,3202,4334,100,66,18080
SED30027,11757,410,417,228,56,12873,2875,165,274,124,24,3463,450,22,38,25,14,552,15079,599,736,378,98,16885
SED30028,12392,1189,1045,0,17,14651,810,237,330,0,6,1378,188,48,38,0,3,278,13386,1471,1419,3,30,16307
SED30029,13226,549,302,7,20,14110,743,122,38,0,0,901,178,46,10,0,4,237,14150,715,356,7,30,15252
