CED_NAME16	Age	Sex	Volunteer	adults
Eden-Monaro	20-24	F	0	2613
Eden-Monaro	20-24	F	1	567
Eden-Monaro	20-24	M		361
Eden-Monaro	20-24	M	0	2701
Eden-Monaro	20-24	M	1	549
Eden-Monaro	25-34	F		648
Eden-Monaro	25-34	F	0	5740
Eden-Monaro	25-34	F	1	1534
Eden-Monaro	25-34	M		818
Eden-Monaro	25-34	M	0	5864
Eden-Monaro	25-34	M	1	1136
Eden-Monaro	35-44	F		657
Eden-Monaro	35-44	F	0	5631
Eden-Monaro	35-44	F	1	2808
Eden-Monaro	35-44	M		833
Eden-Monaro	35-44	M	0	5940
Eden-Monaro	35-44	M	1	2016
Eden-Monaro	45-54	F		866
Eden-Monaro	45-54	F	0	6943
Eden-Monaro	45-54	F	1	3319
Eden-Monaro	45-54	M		998
Eden-Monaro	45-54	M	0	7098
Eden-Monaro	45-54	M	1	2751
Eden-Monaro	55-64	F		875
Eden-Monaro	55-64	F	0	7077
Eden-Monaro	55-64	F	1	3071
Eden-Monaro	55-64	M		991
Eden-Monaro	55-64	M	0	7282
Eden-Monaro	55-64	M	1	2673
Eden-Monaro	65-74	F		786
Eden-Monaro	65-74	F	0	4705
Eden-Monaro	65-74	F	1	2545
Eden-Monaro	65-74	M		868
Eden-Monaro	65-74	M	0	5328
Eden-Monaro	65-74	M	1	2242
Eden-Monaro	75-84	F		667
Eden-Monaro	75-84	F	0	2415
Eden-Monaro	75-84	F	1	959
Eden-Monaro	75-84	M		590
Eden-Monaro	75-84	M	0	2517
Eden-Monaro	75-84	M	1	813
Eden-Monaro	85+	F		463
Eden-Monaro	85+	F	0	1403
Eden-Monaro	85+	F	1	165
Eden-Monaro	85+	M		251
Eden-Monaro	85+	M	0	811
Eden-Monaro	85+	M	1	125
Farrer	15-19	F		572
Farrer	15-19	F	0	3043
Farrer	15-19	F	1	1337
Farrer	15-19	M		640
Farrer	15-19	M	0	3448
Farrer	15-19	M	1	1112
Farrer	20-24	F		418
Farrer	20-24	F	0	3167
Farrer	20-24	F	1	830
Farrer	20-24	M		480
Farrer	20-24	M	0	3391
Farrer	20-24	M	1	730
Farrer	25-34	F		811
Farrer	25-34	F	0	6534
Farrer	25-34	F	1	1978
Farrer	25-34	M		873
Farrer	25-34	M	0	6639
Farrer	25-34	M	1	1503
Farrer	35-44	F		803
Farrer	35-44	F	0	5529
Farrer	35-44	F	1	3125
Farrer	35-44	M		825
Farrer	35-44	M	0	5946
Farrer	35-44	M	1	2244
Farrer	45-54	F		867
Farrer	45-54	F	0	6664
Farrer	45-54	F	1	3199
Farrer	45-54	M		985
Farrer	45-54	M	0	6719
Farrer	45-54	M	1	2762
Farrer	55-64	F		1065
Farrer	55-64	F	0	7151
Farrer	55-64	F	1	2956
Farrer	55-64	M		1109
Farrer	55-64	M	0	7544
Farrer	55-64	M	1	2558
Farrer	65-74	F		1048
Farrer	65-74	F	0	5308
Farrer	65-74	F	1	2638
Farrer	65-74	M		1100
Farrer	65-74	M	0	5851
Farrer	65-74	M	1	2083
Farrer	75-84	F		1016
Farrer	75-84	F	0	3326
Farrer	75-84	F	1	1274
Farrer	75-84	M		849
Farrer	75-84	M	0	3189
Farrer	75-84	M	1	943
Farrer	85+	F		595
Farrer	85+	F	0	1873
Farrer	85+	F	1	253
Farrer	85+	M		366
Farrer	85+	M	0	1165
Farrer	85+	M	1	161
Fowler	15-19	F		434
