CED_NAME16	Age	HoursHousekeeping	Sex	adults
Barton	75-84	5-14	M	736
Barton	75-84	15-29	F	653
Barton	75-84	15-29	M	357
Barton	75-84	30+	F	536
Barton	75-84	30+	M	219
Barton	85+		F	502
Barton	85+		M	290
Barton	85+	0	F	1181
Barton	85+	0	M	755
Barton	85+	<5	F	244
Barton	85+	<5	M	181
Barton	85+	5-14	F	242
Barton	85+	5-14	M	192
Barton	85+	15-29	F	127
Barton	85+	15-29	M	97
Barton	85+	30+	F	106
Barton	85+	30+	M	61
Bennelong	15-19		F	228
Bennelong	15-19		M	261
Bennelong	15-19	0	F	1764
Bennelong	15-19	0	M	2271
Bennelong	15-19	<5	F	2104
Bennelong	15-19	<5	M	2162
Bennelong	15-19	5-14	F	420
Bennelong	15-19	5-14	M	319
Bennelong	15-19	15-29	F	39
Bennelong	15-19	15-29	M	23
Bennelong	15-19	30+	F	13
Bennelong	15-19	30+	M	12
Bennelong	20-24		F	334
Bennelong	20-24		M	324
Bennelong	20-24	0	F	2534
Bennelong	20-24	0	M	3105
Bennelong	20-24	<5	F	2562
Bennelong	20-24	<5	M	2345
Bennelong	20-24	5-14	F	1142
Bennelong	20-24	5-14	M	800
Bennelong	20-24	15-29	F	163
Bennelong	20-24	15-29	M	76
Bennelong	20-24	30+	F	78
Bennelong	20-24	30+	M	42
Bennelong	25-34		F	736
Bennelong	25-34		M	744
Bennelong	25-34	0	F	3315
Bennelong	25-34	0	M	4466
Bennelong	25-34	<5	F	3745
Bennelong	25-34	<5	M	4926
Bennelong	25-34	5-14	F	3894
Bennelong	25-34	5-14	M	3184
Bennelong	25-34	15-29	F	1446
Bennelong	25-34	15-29	M	506
Bennelong	25-34	30+	F	1521
Bennelong	25-34	30+	M	198
Bennelong	35-44		F	514
Bennelong	35-44		M	592
Bennelong	35-44	0	F	1576
Bennelong	35-44	0	M	2485
Bennelong	35-44	<5	F	1694
Bennelong	35-44	<5	M	3728
Bennelong	35-44	5-14	F	3587
Bennelong	35-44	5-14	M	3890
Bennelong	35-44	15-29	F	2516
Bennelong	35-44	15-29	M	945
Bennelong	35-44	30+	F	2546
Bennelong	35-44	30+	M	348
Bennelong	45-54		F	437
Bennelong	45-54		M	492
Bennelong	45-54	0	F	1368
Bennelong	45-54	0	M	2012
Bennelong	45-54	<5	F	1349
Bennelong	45-54	<5	M	3150
Bennelong	45-54	5-14	F	3586
Bennelong	45-54	5-14	M	3560
Bennelong	45-54	15-29	F	2657
Bennelong	45-54	15-29	M	857
Bennelong	45-54	30+	F	1813
Bennelong	45-54	30+	M	294
Bennelong	55-64		F	425
Bennelong	55-64		M	403
Bennelong	55-64	0	F	1452
Bennelong	55-64	0	M	1945
Bennelong	55-64	<5	F	1098
Bennelong	55-64	<5	M	2362
Bennelong	55-64	5-14	F	2941
Bennelong	55-64	5-14	M	2873
Bennelong	55-64	15-29	F	2171
Bennelong	55-64	15-29	M	851
Bennelong	55-64	30+	F	1612
Bennelong	55-64	30+	M	381
Bennelong	65-74		F	375
Bennelong	65-74		M	342
Bennelong	65-74	0	F	1220
Bennelong	65-74	0	M	1504
Bennelong	65-74	<5	F	543
Bennelong	65-74	<5	M	1182
Bennelong	65-74	5-14	F	1582
Bennelong	65-74	5-14	M	1729
Bennelong	65-74	15-29	F	1459
Bennelong	65-74	15-29	M	783
Bennelong	65-74	30+	F	1138
Bennelong	65-74	30+	M	360
Bennelong	75-84		F	414
Bennelong	75-84		M	258
Bennelong	75-84	0	F	1276
Bennelong	75-84	0	M	1150
Bennelong	75-84	<5	F	429
Bennelong	75-84	<5	M	529
Bennelong	75-84	5-14	F	885
Bennelong	75-84	5-14	M	806
Bennelong	75-84	15-29	F	714
Bennelong	75-84	15-29	M	431
Bennelong	75-84	30+	F	646
Bennelong	75-84	30+	M	223
Bennelong	85+		F	399
Bennelong	85+		M	189
Bennelong	85+	0	F	1238
Bennelong	85+	0	M	695
Bennelong	85+	<5	F	331
Bennelong	85+	<5	M	203
Bennelong	85+	5-14	F	361
Bennelong	85+	5-14	M	241
Bennelong	85+	15-29	F	212
Bennelong	85+	15-29	M	136
Bennelong	85+	30+	F	143
Bennelong	85+	30+	M	84
Berowra	15-19		F	224
Berowra	15-19		M	255
Berowra	15-19	0	F	1650
Berowra	15-19	0	M	2133
Berowra	15-19	<5	F	2707
Berowra	15-19	<5	M	2751
Berowra	15-19	5-14	F	453
Berowra	15-19	5-14	M	329
Berowra	15-19	15-29	F	26
Berowra	15-19	15-29	M	24
Berowra	15-19	30+	F	10
Berowra	15-19	30+	M	9
Berowra	20-24		F	164
Berowra	20-24		M	179
Berowra	20-24	0	F	1176
Berowra	20-24	0	M	1792
Berowra	20-24	<5	F	2086
Berowra	20-24	<5	M	2121
Berowra	20-24	5-14	F	684
Berowra	20-24	5-14	M	501
Berowra	20-24	15-29	F	82
Berowra	20-24	15-29	M	44
Berowra	20-24	30+	F	53
Berowra	20-24	30+	M	27
Berowra	25-34		F	274
Berowra	25-34		M	324
Berowra	25-34	0	F	906
Berowra	25-34	0	M	1751
Berowra	25-34	<5	F	1683
Berowra	25-34	<5	M	2464
Berowra	25-34	5-14	F	1761
Berowra	25-34	5-14	M	1509
Berowra	25-34	15-29	F	788
Berowra	25-34	15-29	M	259
Berowra	25-34	30+	F	935
Berowra	25-34	30+	M	76
Berowra	35-44		F	340
Berowra	35-44		M	403
Berowra	35-44	0	F	705
Berowra	35-44	0	M	1286
Berowra	35-44	<5	F	987
Berowra	35-44	<5	M	2751
Berowra	35-44	5-14	F	3139
Berowra	35-44	5-14	M	3472
Berowra	35-44	15-29	F	2462
Berowra	35-44	15-29	M	860
Berowra	35-44	30+	F	2505
Berowra	35-44	30+	M	265
Berowra	45-54		F	383
Berowra	45-54		M	404
Berowra	45-54	0	F	715
Berowra	45-54	0	M	1455
Berowra	45-54	<5	F	1111
Berowra	45-54	<5	M	3287
Berowra	45-54	5-14	F	4177
Berowra	45-54	5-14	M	4089
Berowra	45-54	15-29	F	3113
Berowra	45-54	15-29	M	969
Berowra	45-54	30+	F	2072
Berowra	45-54	30+	M	349
Berowra	55-64		F	345
Berowra	55-64		M	354
Berowra	55-64	0	F	813
Berowra	55-64	0	M	1424
Berowra	55-64	<5	F	975
Berowra	55-64	<5	M	2536
Berowra	55-64	5-14	F	3380
Berowra	55-64	5-14	M	3481
Berowra	55-64	15-29	F	2451
Berowra	55-64	15-29	M	1054
Berowra	55-64	30+	F	1768
Berowra	55-64	30+	M	410
Berowra	65-74		F	358
Berowra	65-74		M	319
Berowra	65-74	0	F	953
Berowra	65-74	0	M	1305
Berowra	65-74	<5	F	511
Berowra	65-74	<5	M	1266
Berowra	65-74	5-14	F	1823
Berowra	65-74	5-14	M	2230
Berowra	65-74	15-29	F	1893
Berowra	65-74	15-29	M	1043
Berowra	65-74	30+	F	1523
Berowra	65-74	30+	M	549
Berowra	75-84		F	386
Berowra	75-84		M	302
Berowra	75-84	0	F	943
Berowra	75-84	0	M	920
Berowra	75-84	<5	F	351
Berowra	75-84	<5	M	522
Berowra	75-84	5-14	F	787
Berowra	75-84	5-14	M	903
Berowra	75-84	15-29	F	720
Berowra	75-84	15-29	M	454
Berowra	75-84	30+	F	666
Berowra	75-84	30+	M	287
Berowra	85+		F	511
Berowra	85+		M	229
Berowra	85+	0	F	1022
Berowra	85+	0	M	508
Berowra	85+	<5	F	247
Berowra	85+	<5	M	168
Berowra	85+	5-14	F	294
Berowra	85+	5-14	M	216
Berowra	85+	15-29	F	161
Berowra	85+	15-29	M	106
Berowra	85+	30+	F	114
Berowra	85+	30+	M	77
Blaxland	15-19		F	488
Blaxland	15-19		M	518
Blaxland	15-19	0	F	2356
Blaxland	15-19	0	M	3093
Blaxland	15-19	<5	F	1733
Blaxland	15-19	<5	M	1647
Blaxland	15-19	5-14	F	747
Blaxland	15-19	5-14	M	450
Blaxland	15-19	15-29	F	134
Blaxland	15-19	15-29	M	65
Blaxland	15-19	30+	F	55
Blaxland	15-19	30+	M	27
Blaxland	20-24		F	582
Blaxland	20-24		M	676
Blaxland	20-24	0	F	2371
Blaxland	20-24	0	M	3861
Blaxland	20-24	<5	F	1772
Blaxland	20-24	<5	M	2024
Blaxland	20-24	5-14	F	1182
Blaxland	20-24	5-14	M	773
Blaxland	20-24	15-29	F	346
Blaxland	20-24	15-29	M	127
Blaxland	20-24	30+	F	343
Blaxland	20-24	30+	M	83
Blaxland	25-34		F	1042
Blaxland	25-34		M	1550
Blaxland	25-34	0	F	4060
Blaxland	25-34	0	M	7253
Blaxland	25-34	<5	F	2251
Blaxland	25-34	<5	M	4168
Blaxland	25-34	5-14	F	2915
Blaxland	25-34	5-14	M	2500
Blaxland	25-34	15-29	F	1465
Blaxland	25-34	15-29	M	476
Blaxland	25-34	30+	F	2546
Blaxland	25-34	30+	M	279
Blaxland	35-44		F	846
Blaxland	35-44		M	1010
Blaxland	35-44	0	F	2774
Blaxland	35-44	0	M	4480
Blaxland	35-44	<5	F	1020
Blaxland	35-44	<5	M	2868
Blaxland	35-44	5-14	F	2176
Blaxland	35-44	5-14	M	2332
Blaxland	35-44	15-29	F	1649
Blaxland	35-44	15-29	M	544
Blaxland	35-44	30+	F	2432
Blaxland	35-44	30+	M	321
Blaxland	45-54		F	773
Blaxland	45-54		M	948
Blaxland	45-54	0	F	2659
Blaxland	45-54	0	M	4008
Blaxland	45-54	<5	F	989
Blaxland	45-54	<5	M	2346
Blaxland	45-54	5-14	F	2383
Blaxland	45-54	5-14	M	2142
Blaxland	45-54	15-29	F	1647
Blaxland	45-54	15-29	M	565
Blaxland	45-54	30+	F	1818
Blaxland	45-54	30+	M	312
Blaxland	55-64		F	631
Blaxland	55-64		M	723
Blaxland	55-64	0	F	2367
Blaxland	55-64	0	M	3289
Blaxland	55-64	<5	F	897
Blaxland	55-64	<5	M	1882
Blaxland	55-64	5-14	F	2003
Blaxland	55-64	5-14	M	1998
Blaxland	55-64	15-29	F	1494
Blaxland	55-64	15-29	M	594
Blaxland	55-64	30+	F	1453
Blaxland	55-64	30+	M	341
Blaxland	65-74		F	490
Blaxland	65-74		M	558
Blaxland	65-74	0	F	1627
Blaxland	65-74	0	M	2198
Blaxland	65-74	<5	F	495
Blaxland	65-74	<5	M	983
Blaxland	65-74	5-14	F	1129
Blaxland	65-74	5-14	M	1177
Blaxland	65-74	15-29	F	944
Blaxland	65-74	15-29	M	523
Blaxland	65-74	30+	F	921
Blaxland	65-74	30+	M	306
Blaxland	75-84		F	419
Blaxland	75-84		M	333
Blaxland	75-84	0	F	1374
Blaxland	75-84	0	M	1238
Blaxland	75-84	<5	F	373
Blaxland	75-84	<5	M	426
Blaxland	75-84	5-14	F	561
Blaxland	75-84	5-14	M	503
Blaxland	75-84	15-29	F	427
Blaxland	75-84	15-29	M	264
Blaxland	75-84	30+	F	374
Blaxland	75-84	30+	M	180
Blaxland	85+		F	281
Blaxland	85+		M	190
Blaxland	85+	0	F	1194
Blaxland	85+	0	M	620
Blaxland	85+	<5	F	193
Blaxland	85+	<5	M	137
Blaxland	85+	5-14	F	203
Blaxland	85+	5-14	M	117
Blaxland	85+	15-29	F	116
Blaxland	85+	15-29	M	81
Blaxland	85+	30+	F	80
Blaxland	85+	30+	M	53
Bradfield	15-19		F	274
Bradfield	15-19		M	314
Bradfield	15-19	0	F	2068
Bradfield	15-19	0	M	2324
Bradfield	15-19	<5	F	2903
Bradfield	15-19	<5	M	2825
Bradfield	15-19	5-14	F	388
Bradfield	15-19	5-14	M	294
Bradfield	15-19	15-29	F	26
Bradfield	15-19	15-29	M	23
Bradfield	15-19	30+	F	5
Bradfield	15-19	30+	M	8
Bradfield	20-24		F	223
Bradfield	20-24		M	177
Bradfield	20-24	0	F	1287
Bradfield	20-24	0	M	1718
Bradfield	20-24	<5	F	2158
Bradfield	20-24	<5	M	2062
Bradfield	20-24	5-14	F	770
Bradfield	20-24	5-14	M	486
Bradfield	20-24	15-29	F	105
Bradfield	20-24	15-29	M	37
Bradfield	20-24	30+	F	31
Bradfield	20-24	30+	M	19
Bradfield	25-34		F	398
Bradfield	25-34		M	412
Bradfield	25-34	0	F	1751
Bradfield	25-34	0	M	2228
Bradfield	25-34	<5	F	2333
Bradfield	25-34	<5	M	3102
Bradfield	25-34	5-14	F	2420
Bradfield	25-34	5-14	M	1874
Bradfield	25-34	15-29	F	969
Bradfield	25-34	15-29	M	313
Bradfield	25-34	30+	F	1043
Bradfield	25-34	30+	M	90
Bradfield	35-44		F	428
Bradfield	35-44		M	414
Bradfield	35-44	0	F	1146
Bradfield	35-44	0	M	1719
Bradfield	35-44	<5	F	1354
Bradfield	35-44	<5	M	3407
Bradfield	35-44	5-14	F	3440
Bradfield	35-44	5-14	M	3765
Bradfield	35-44	15-29	F	2642
Bradfield	35-44	15-29	M	903
Bradfield	35-44	30+	F	2863
Bradfield	35-44	30+	M	293
Bradfield	45-54		F	449
Bradfield	45-54		M	462
Bradfield	45-54	0	F	964
Bradfield	45-54	0	M	1587
Bradfield	45-54	<5	F	1233
Bradfield	45-54	<5	M	3557
Bradfield	45-54	5-14	F	4242
Bradfield	45-54	5-14	M	4204
Bradfield	45-54	15-29	F	3219
Bradfield	45-54	15-29	M	1005
Bradfield	45-54	30+	F	2390
Bradfield	45-54	30+	M	340
Bradfield	55-64		F	332
Bradfield	55-64		M	332
Bradfield	55-64	0	F	956
Bradfield	55-64	0	M	1381
Bradfield	55-64	<5	F	1035
Bradfield	55-64	<5	M	2516
Bradfield	55-64	5-14	F	3111
Bradfield	55-64	5-14	M	3034
Bradfield	55-64	15-29	F	2346
Bradfield	55-64	15-29	M	810
Bradfield	55-64	30+	F	1423
Bradfield	55-64	30+	M	337
Bradfield	65-74		F	400
Bradfield	65-74		M	310
Bradfield	65-74	0	F	911
Bradfield	65-74	0	M	1123
Bradfield	65-74	<5	F	569
Bradfield	65-74	<5	M	1415
Bradfield	65-74	5-14	F	1947
Bradfield	65-74	5-14	M	2157
Bradfield	65-74	15-29	F	1953
Bradfield	65-74	15-29	M	902
Bradfield	65-74	30+	F	1367
Bradfield	65-74	30+	M	367
Bradfield	75-84		F	440
Bradfield	75-84		M	269
Bradfield	75-84	0	F	1051
Bradfield	75-84	0	M	1030
Bradfield	75-84	<5	F	435
Bradfield	75-84	<5	M	703
Bradfield	75-84	5-14	F	1072
Bradfield	75-84	5-14	M	1133
Bradfield	75-84	15-29	F	951
Bradfield	75-84	15-29	M	548
Bradfield	75-84	30+	F	879
Bradfield	75-84	30+	M	265
Bradfield	85+		F	568
Bradfield	85+		M	252
Bradfield	85+	0	F	1350
Bradfield	85+	0	M	721
Bradfield	85+	<5	F	357
Bradfield	85+	<5	M	264
Bradfield	85+	5-14	F	452
Bradfield	85+	5-14	M	372
Bradfield	85+	15-29	F	255
Bradfield	85+	15-29	M	182
Bradfield	85+	30+	F	224
Bradfield	85+	30+	M	117
Calare	15-19		F	669
Calare	15-19		M	758
Calare	15-19	0	F	1496
Calare	15-19	0	M	1991
Calare	15-19	<5	F	2111
Calare	15-19	<5	M	2127
Calare	15-19	5-14	F	594
Calare	15-19	5-14	M	400
Calare	15-19	15-29	F	78
Calare	15-19	15-29	M	35
Calare	15-19	30+	F	58
Calare	15-19	30+	M	29
Calare	20-24		F	470
Calare	20-24		M	844
Calare	20-24	0	F	858
Calare	20-24	0	M	1403
Calare	20-24	<5	F	1293
Calare	20-24	<5	M	1595
Calare	20-24	5-14	F	1162
Calare	20-24	5-14	M	798
Calare	20-24	15-29	F	354
Calare	20-24	15-29	M	120
Calare	20-24	30+	F	374
Calare	20-24	30+	M	66
Calare	25-34		F	738
Calare	25-34		M	1623
Calare	25-34	0	F	808
Calare	25-34	0	M	1693
Calare	25-34	<5	F	1336
Calare	25-34	<5	M	2934
Calare	25-34	5-14	F	2711
Calare	25-34	5-14	M	2525
Calare	25-34	15-29	F	1492
Calare	25-34	15-29	M	567
Calare	25-34	30+	F	2135
Calare	25-34	30+	M	284
Calare	35-44		F	788
Calare	35-44		M	1283
Calare	35-44	0	F	754
Calare	35-44	0	M	1465
Calare	35-44	<5	F	747
Calare	35-44	<5	M	2369
Calare	35-44	5-14	F	2932
Calare	35-44	5-14	M	2968
Calare	35-44	15-29	F	2145
Calare	35-44	15-29	M	864
Calare	35-44	30+	F	2229
Calare	35-44	30+	M	404
Calare	45-54		F	938
Calare	45-54		M	1314
Calare	45-54	0	F	1020
Calare	45-54	0	M	1913
Calare	45-54	<5	F	1116
Calare	45-54	<5	M	2637
Calare	45-54	5-14	F	3721
Calare	45-54	5-14	M	3316
Calare	45-54	15-29	F	2419
Calare	45-54	15-29	M	944
Calare	45-54	30+	F	1524
Calare	45-54	30+	M	411
Calare	55-64		F	970
Calare	55-64		M	1144
Calare	55-64	0	F	1378
Calare	55-64	0	M	2169
Calare	55-64	<5	F	987
Calare	55-64	<5	M	2313
Calare	55-64	5-14	F	3156
Calare	55-64	5-14	M	3119
Calare	55-64	15-29	F	2150
Calare	55-64	15-29	M	953
Calare	55-64	30+	F	1677
Calare	55-64	30+	M	580
Calare	65-74		F	1073
Calare	65-74		M	1181
Calare	65-74	0	F	1766
Calare	65-74	0	M	2368
Calare	65-74	<5	F	543
Calare	65-74	<5	M	1276
Calare	65-74	5-14	F	1723
Calare	65-74	5-14	M	1977
Calare	65-74	15-29	F	1721
Calare	65-74	15-29	M	990
Calare	65-74	30+	F	1778
Calare	65-74	30+	M	766
Calare	75-84		F	954
Calare	75-84		M	759
Calare	75-84	0	F	1407
Calare	75-84	0	M	1343
Calare	75-84	<5	F	397
Calare	75-84	<5	M	505
Calare	75-84	5-14	F	786
Calare	75-84	5-14	M	770
Calare	75-84	15-29	F	636
Calare	75-84	15-29	M	447
Calare	75-84	30+	F	719
Calare	75-84	30+	M	377
Calare	85+		F	449
Calare	85+		M	248
Calare	85+	0	F	1133
Calare	85+	0	M	558
Calare	85+	<5	F	193
Calare	85+	<5	M	154
Calare	85+	5-14	F	261
Calare	85+	5-14	M	177
Calare	85+	15-29	F	157
Calare	85+	15-29	M	81
Calare	85+	30+	F	139
Calare	85+	30+	M	71
Chifley	15-19		F	542
Chifley	15-19		M	617
Chifley	15-19	0	F	2366
Chifley	15-19	0	M	2987
Chifley	15-19	<5	F	2024
Chifley	15-19	<5	M	2119
Chifley	15-19	5-14	F	911
Chifley	15-19	5-14	M	646
Chifley	15-19	15-29	F	147
Chifley	15-19	15-29	M	87
Chifley	15-19	30+	F	80
Chifley	15-19	30+	M	29
Chifley	20-24		F	422
Chifley	20-24		M	513
Chifley	20-24	0	F	1977
Chifley	20-24	0	M	2852
Chifley	20-24	<5	F	1710
Chifley	20-24	<5	M	1985
Chifley	20-24	5-14	F	1366
Chifley	20-24	5-14	M	819
Chifley	20-24	15-29	F	396
Chifley	20-24	15-29	M	145
Chifley	20-24	30+	F	323
Chifley	20-24	30+	M	66
Chifley	25-34		F	936
Chifley	25-34		M	869
Chifley	25-34	0	F	3065
Chifley	25-34	0	M	4511
Chifley	25-34	<5	F	2169
Chifley	25-34	<5	M	3706
Chifley	25-34	5-14	F	3157
Chifley	25-34	5-14	M	2607
Chifley	25-34	15-29	F	1741
Chifley	25-34	15-29	M	555
Chifley	25-34	30+	F	2526
Chifley	25-34	30+	M	236
Chifley	35-44		F	792
Chifley	35-44		M	819
Chifley	35-44	0	F	2433
Chifley	35-44	0	M	3474
Chifley	35-44	<5	F	1144
Chifley	35-44	<5	M	3023
Chifley	35-44	5-14	F	2880
Chifley	35-44	5-14	M	3114
Chifley	35-44	15-29	F	1980
Chifley	35-44	15-29	M	763
Chifley	35-44	30+	F	2677
Chifley	35-44	30+	M	406
Chifley	45-54		F	712
Chifley	45-54		M	800
Chifley	45-54	0	F	2398
Chifley	45-54	0	M	3436
Chifley	45-54	<5	F	1091
Chifley	45-54	<5	M	2466
Chifley	45-54	5-14	F	2877
Chifley	45-54	5-14	M	2677
Chifley	45-54	15-29	F	1781
Chifley	45-54	15-29	M	672
Chifley	45-54	30+	F	1840
Chifley	45-54	30+	M	370
Chifley	55-64		F	686
Chifley	55-64		M	644
Chifley	55-64	0	F	2317
Chifley	55-64	0	M	2955
Chifley	55-64	<5	F	952
Chifley	55-64	<5	M	1872
Chifley	55-64	5-14	F	2168
Chifley	55-64	5-14	M	2012
Chifley	55-64	15-29	F	1450
Chifley	55-64	15-29	M	618
Chifley	55-64	30+	F	1466
Chifley	55-64	30+	M	372
Chifley	65-74		F	687
Chifley	65-74		M	574
Chifley	65-74	0	F	1942
Chifley	65-74	0	M	2131
Chifley	65-74	<5	F	473
Chifley	65-74	<5	M	857
Chifley	65-74	5-14	F	1086
Chifley	65-74	5-14	M	1084
Chifley	65-74	15-29	F	821
Chifley	65-74	15-29	M	488
Chifley	65-74	30+	F	949
Chifley	65-74	30+	M	357
Chifley	75-84		F	427
Chifley	75-84		M	310
Chifley	75-84	0	F	1141
Chifley	75-84	0	M	965
Chifley	75-84	<5	F	289
Chifley	75-84	<5	M	301
Chifley	75-84	5-14	F	445
Chifley	75-84	5-14	M	342
Chifley	75-84	15-29	F	327
Chifley	75-84	15-29	M	200
Chifley	75-84	30+	F	306
Chifley	75-84	30+	M	168
Chifley	85+		F	153
Chifley	85+		M	94
Chifley	85+	0	F	863
Chifley	85+	0	M	362
Chifley	85+	<5	F	108
Chifley	85+	<5	M	70
Chifley	85+	5-14	F	112
Chifley	85+	5-14	M	57
Chifley	85+	15-29	F	54
Chifley	85+	15-29	M	42
Chifley	85+	30+	F	43
Chifley	85+	30+	M	23
Cook	15-19		F	241
Cook	15-19		M	271
Cook	15-19	0	F	1410
Cook	15-19	0	M	1846
Cook	15-19	<5	F	1859
Cook	15-19	<5	M	1684
Cook	15-19	5-14	F	340
