CED_NAME16	Age	UsualResidence	persons
Barton	85+	Home	3793
Barton	85+	Visitor from NSW	227
Barton	85+	Visitor from QLD	3
Barton	85+	Visitor from VIC	3
Barton	85+	Visitor same SA2	7
Bennelong	0-14	Home	28000
Bennelong	0-14	Visitor from ACT	6
Bennelong	0-14	Visitor from NSW	265
Bennelong	0-14	Visitor from QLD	7
Bennelong	0-14	Visitor from SA	4
Bennelong	0-14	Visitor from VIC	18
Bennelong	0-14	Visitor from WA	4
Bennelong	0-14	Visitor same SA2	13
Bennelong	15-24	Home	22473
Bennelong	15-24	Visitor from ACT	13
Bennelong	15-24	Visitor from NSW	538
Bennelong	15-24	Visitor from NT	8
Bennelong	15-24	Visitor from QLD	24
Bennelong	15-24	Visitor from SA	10
Bennelong	15-24	Visitor from TAS	3
Bennelong	15-24	Visitor from VIC	33
Bennelong	15-24	Visitor from WA	3
Bennelong	15-24	Visitor same SA2	26
Bennelong	25-34	Home	27604
Bennelong	25-34	Visitor from ACT	18
Bennelong	25-34	Visitor from NSW	768
Bennelong	25-34	Visitor from QLD	69
Bennelong	25-34	Visitor from SA	7
Bennelong	25-34	Visitor from TAS	4
Bennelong	25-34	Visitor from VIC	72
Bennelong	25-34	Visitor from WA	25
Bennelong	25-34	Visitor same SA2	18
Bennelong	35-44	Home	23747
Bennelong	35-44	Visitor from ACT	17
Bennelong	35-44	Visitor from NSW	417
Bennelong	35-44	Visitor from NT	3
Bennelong	35-44	Visitor from QLD	52
Bennelong	35-44	Visitor from SA	21
Bennelong	35-44	Visitor from TAS	4
Bennelong	35-44	Visitor from VIC	112
Bennelong	35-44	Visitor from WA	11
Bennelong	35-44	Visitor same SA2	19
Bennelong	45-54	Home	20954
Bennelong	45-54	Visitor from ACT	8
Bennelong	45-54	Visitor from NSW	390
Bennelong	45-54	Visitor from QLD	88
Bennelong	45-54	Visitor from SA	19
Bennelong	45-54	Visitor from TAS	7
Bennelong	45-54	Visitor from VIC	111
Bennelong	45-54	Visitor from WA	29
Bennelong	45-54	Visitor same SA2	20
Bennelong	55-64	Home	17954
Bennelong	55-64	Visitor from ACT	28
Bennelong	55-64	Visitor from NSW	408
Bennelong	55-64	Visitor from OT	3
Bennelong	55-64	Visitor from QLD	49
Bennelong	55-64	Visitor from SA	11
Bennelong	55-64	Visitor from TAS	6
Bennelong	55-64	Visitor from VIC	61
Bennelong	55-64	Visitor from WA	21
Bennelong	55-64	Visitor same SA2	16
Bennelong	65-74	Home	11717
Bennelong	65-74	Visitor from ACT	11
Bennelong	65-74	Visitor from NSW	334
Bennelong	65-74	Visitor from QLD	27
Bennelong	65-74	Visitor from SA	18
Bennelong	65-74	Visitor from TAS	3
Bennelong	65-74	Visitor from VIC	21
Bennelong	65-74	Visitor same SA2	13
Bennelong	75-84	Home	7455
Bennelong	75-84	Visitor from NSW	201
Bennelong	75-84	Visitor from QLD	3
Bennelong	75-84	Visitor from SA	4
Bennelong	75-84	Visitor from TAS	3
Bennelong	75-84	Visitor from VIC	10
Bennelong	75-84	Visitor same SA2	14
Bennelong	85+	Home	3996
Bennelong	85+	Visitor from ACT	5
Bennelong	85+	Visitor from NSW	135
Bennelong	85+	Visitor same SA2	15
Berowra	0-14	Home	27605
Berowra	0-14	Visitor from ACT	3
Berowra	0-14	Visitor from NSW	258
Berowra	0-14	Visitor from QLD	6
Berowra	0-14	Visitor from VIC	6
Berowra	0-14	Visitor from WA	3
Berowra	0-14	Visitor same SA2	6
Berowra	15-24	Home	18865
Berowra	15-24	Visitor from ACT	7
Berowra	15-24	Visitor from NSW	405
Berowra	15-24	Visitor from QLD	15
Berowra	15-24	Visitor from VIC	5
Berowra	15-24	Visitor from WA	3
Berowra	15-24	Visitor same SA2	15
Berowra	25-34	Home	12137
Berowra	25-34	Visitor from ACT	8
Berowra	25-34	Visitor from NSW	405
Berowra	25-34	Visitor from QLD	13
Berowra	25-34	Visitor from SA	4
Berowra	25-34	Visitor from VIC	8
Berowra	25-34	Visitor from WA	4
Berowra	25-34	Visitor same SA2	12
Berowra	35-44	Home	18609
Berowra	35-44	Visitor from ACT	5
Berowra	35-44	Visitor from NSW	278
Berowra	35-44	Visitor from NT	3
Berowra	35-44	Visitor from QLD	23
Berowra	35-44	Visitor from VIC	22
Berowra	35-44	Visitor from WA	4
Berowra	35-44	Visitor same SA2	5
Berowra	45-54	Home	21506
Berowra	45-54	Visitor from ACT	7
Berowra	45-54	Visitor from NSW	274
Berowra	45-54	Visitor from NT	3
Berowra	45-54	Visitor from QLD	14
Berowra	45-54	Visitor from SA	5
Berowra	45-54	Visitor from TAS	6
Berowra	45-54	Visitor from VIC	15
Berowra	45-54	Visitor from WA	6
Berowra	45-54	Visitor same SA2	10
Berowra	55-64	Home	18277
Berowra	55-64	Visitor from NSW	261
Berowra	55-64	Visitor from QLD	28
Berowra	55-64	Visitor from SA	5
Berowra	55-64	Visitor from TAS	5
Berowra	55-64	Visitor from VIC	13
Berowra	55-64	Visitor from WA	4
Berowra	55-64	Visitor same SA2	7
Berowra	65-74	Home	13114
Berowra	65-74	Visitor from ACT	6
Berowra	65-74	Visitor from NSW	231
Berowra	65-74	Visitor from QLD	20
Berowra	65-74	Visitor from TAS	7
Berowra	65-74	Visitor from VIC	21
Berowra	65-74	Visitor from WA	8
Berowra	65-74	Visitor same SA2	20
Berowra	75-84	Home	6870
Berowra	75-84	Visitor from NSW	154
Berowra	75-84	Visitor from QLD	11
Berowra	75-84	Visitor from SA	3
Berowra	75-84	Visitor from TAS	8
Berowra	75-84	Visitor from VIC	11
Berowra	75-84	Visitor from WA	3
Berowra	75-84	Visitor same SA2	7
Berowra	85+	Home	3466
Berowra	85+	Visitor from NSW	101
Berowra	85+	Visitor from QLD	5
Berowra	85+	Visitor same SA2	9
Blaxland	0-14	Home	36264
Blaxland	0-14	Visitor from ACT	4
Blaxland	0-14	Visitor from NSW	516
Blaxland	0-14	Visitor from NT	3
Blaxland	0-14	Visitor from QLD	8
Blaxland	0-14	Visitor from SA	7
Blaxland	0-14	Visitor from VIC	8
Blaxland	0-14	Visitor from WA	3
Blaxland	0-14	Visitor same SA2	50
Blaxland	15-24	Home	24769
Blaxland	15-24	Visitor from ACT	9
Blaxland	15-24	Visitor from NSW	553
Blaxland	15-24	Visitor from QLD	17
Blaxland	15-24	Visitor from VIC	23
Blaxland	15-24	Visitor from WA	6
Blaxland	15-24	Visitor same SA2	35
Blaxland	25-34	Home	29408
Blaxland	25-34	Visitor from ACT	8
Blaxland	25-34	Visitor from NSW	914
Blaxland	25-34	Visitor from NT	4
Blaxland	25-34	Visitor from QLD	24
Blaxland	25-34	Visitor from SA	10
Blaxland	25-34	Visitor from TAS	7
Blaxland	25-34	Visitor from VIC	29
Blaxland	25-34	Visitor from WA	13
Blaxland	25-34	Visitor same SA2	62
Blaxland	35-44	Home	21812
Blaxland	35-44	Visitor from ACT	8
Blaxland	35-44	Visitor from NSW	546
Blaxland	35-44	Visitor from NT	4
Blaxland	35-44	Visitor from QLD	29
Blaxland	35-44	Visitor from VIC	16
Blaxland	35-44	Visitor from WA	4
Blaxland	35-44	Visitor same SA2	39
Blaxland	45-54	Home	20067
Blaxland	45-54	Visitor from NSW	401
Blaxland	45-54	Visitor from QLD	45
Blaxland	45-54	Visitor from SA	10
Blaxland	45-54	Visitor from TAS	4
Blaxland	45-54	Visitor from VIC	24
Blaxland	45-54	Visitor from WA	13
Blaxland	45-54	Visitor same SA2	36
Blaxland	55-64	Home	17160
Blaxland	55-64	Visitor from ACT	9
Blaxland	55-64	Visitor from NSW	394
Blaxland	55-64	Visitor from QLD	14
Blaxland	55-64	Visitor from SA	8
Blaxland	55-64	Visitor from VIC	27
Blaxland	55-64	Visitor same SA2	22
Blaxland	65-74	Home	10938
Blaxland	65-74	Visitor from ACT	9
Blaxland	65-74	Visitor from NSW	309
Blaxland	65-74	Visitor from QLD	13
Blaxland	65-74	Visitor from SA	6
Blaxland	65-74	Visitor from TAS	3
Blaxland	65-74	Visitor from VIC	9
Blaxland	65-74	Visitor same SA2	26
Blaxland	75-84	Home	6253
Blaxland	75-84	Visitor from NSW	173
Blaxland	75-84	Visitor from QLD	3
Blaxland	75-84	Visitor from VIC	8
Blaxland	75-84	Visitor from WA	3
Blaxland	75-84	Visitor same SA2	10
Blaxland	85+	Home	3096
Blaxland	85+	Visitor from NSW	164
Blaxland	85+	Visitor same SA2	10
Bradfield	0-14	Home	31399
Bradfield	0-14	Visitor from ACT	4
Bradfield	0-14	Visitor from NSW	367
Bradfield	0-14	Visitor from NT	3
Bradfield	0-14	Visitor from QLD	4
Bradfield	0-14	Visitor from SA	3
Bradfield	0-14	Visitor from VIC	14
Bradfield	0-14	Visitor same SA2	16
Bradfield	15-24	Home	19818
Bradfield	15-24	Visitor from ACT	10
Bradfield	15-24	Visitor from NSW	559
Bradfield	15-24	Visitor from NT	8
Bradfield	15-24	Visitor from QLD	28
Bradfield	15-24	Visitor from TAS	3
Bradfield	15-24	Visitor from VIC	21
Bradfield	15-24	Visitor from WA	6
Bradfield	15-24	Visitor same SA2	15
Bradfield	25-34	Home	16241
Bradfield	25-34	Visitor from ACT	14
Bradfield	25-34	Visitor from NSW	543
Bradfield	25-34	Visitor from QLD	17
Bradfield	25-34	Visitor from VIC	13
Bradfield	25-34	Visitor from WA	7
Bradfield	25-34	Visitor same SA2	10
Bradfield	35-44	Home	21721
Bradfield	35-44	Visitor from ACT	3
Bradfield	35-44	Visitor from NSW	311
Bradfield	35-44	Visitor from QLD	21
Bradfield	35-44	Visitor from SA	7
Bradfield	35-44	Visitor from VIC	32
Bradfield	35-44	Visitor from WA	5
Bradfield	35-44	Visitor same SA2	9
Bradfield	45-54	Home	22947
Bradfield	45-54	Visitor from ACT	8
Bradfield	45-54	Visitor from NSW	312
Bradfield	45-54	Visitor from NT	5
Bradfield	45-54	Visitor from QLD	30
Bradfield	45-54	Visitor from SA	6
Bradfield	45-54	Visitor from TAS	3
Bradfield	45-54	Visitor from VIC	24
Bradfield	45-54	Visitor from WA	3
Bradfield	45-54	Visitor same SA2	10
Bradfield	55-64	Home	16887
Bradfield	55-64	Visitor from ACT	3
Bradfield	55-64	Visitor from NSW	357
Bradfield	55-64	Visitor from QLD	26
Bradfield	55-64	Visitor from SA	12
Bradfield	55-64	Visitor from TAS	8
Bradfield	55-64	Visitor from VIC	10
Bradfield	55-64	Visitor from WA	10
Bradfield	55-64	Visitor same SA2	11
Bradfield	65-74	Home	12694
Bradfield	65-74	Visitor from ACT	6
Bradfield	65-74	Visitor from NSW	358
Bradfield	65-74	Visitor from QLD	38
Bradfield	65-74	Visitor from SA	13
Bradfield	65-74	Visitor from TAS	3
Bradfield	65-74	Visitor from VIC	17
Bradfield	65-74	Visitor from WA	4
Bradfield	65-74	Visitor same SA2	8
Bradfield	75-84	Home	8349
Bradfield	75-84	Visitor from NSW	333
Bradfield	75-84	Visitor from QLD	15
Bradfield	75-84	Visitor from TAS	3
Bradfield	75-84	Visitor from VIC	14
Bradfield	75-84	Visitor from WA	4
Bradfield	75-84	Visitor same SA2	4
Bradfield	85+	Home	4823
Bradfield	85+	Visitor from ACT	3
Bradfield	85+	Visitor from NSW	365
Bradfield	85+	Visitor from QLD	4
Bradfield	85+	Visitor from VIC	8
Bradfield	85+	Visitor from WA	3
Bradfield	85+	Visitor same SA2	13
Calare	0-14	Home	31181
Calare	0-14	Visitor from ACT	4
Calare	0-14	Visitor from NSW	665
Calare	0-14	Visitor from NT	3
Calare	0-14	Visitor from QLD	19
Calare	0-14	Visitor from TAS	3
Calare	0-14	Visitor from VIC	16
Calare	0-14	Visitor from WA	3
Calare	0-14	Visitor same SA2	50
Calare	15-24	Home	18170
Calare	15-24	Visitor from ACT	43
Calare	15-24	Visitor from NSW	1677
Calare	15-24	Visitor from NT	11
Calare	15-24	Visitor from QLD	48
Calare	15-24	Visitor from VIC	36
Calare	15-24	Visitor from WA	5
Calare	15-24	Visitor same SA2	46
Calare	25-34	Home	17691
Calare	25-34	Visitor from ACT	21
Calare	25-34	Visitor from NSW	1024
Calare	25-34	Visitor from NT	3
Calare	25-34	Visitor from QLD	48
Calare	25-34	Visitor from SA	8
Calare	25-34	Visitor from TAS	8
Calare	25-34	Visitor from VIC	32
Calare	25-34	Visitor from WA	16
Calare	25-34	Visitor same SA2	39
Calare	35-44	Home	18014
Calare	35-44	Visitor from ACT	11
Calare	35-44	Visitor from NSW	765
Calare	35-44	Visitor from QLD	42
Calare	35-44	Visitor from SA	9
Calare	35-44	Visitor from TAS	3
Calare	35-44	Visitor from VIC	26
Calare	35-44	Visitor from WA	20
Calare	35-44	Visitor same SA2	31
Calare	45-54	Home	20146
Calare	45-54	Visitor from ACT	10
Calare	45-54	Visitor from NSW	875
Calare	45-54	Visitor from NT	3
Calare	45-54	Visitor from QLD	53
Calare	45-54	Visitor from SA	4
Calare	45-54	Visitor from TAS	6
Calare	45-54	Visitor from VIC	28
Calare	45-54	Visitor from WA	3
Calare	45-54	Visitor same SA2	41
Calare	55-64	Home	19225
Calare	55-64	Visitor from ACT	12
Calare	55-64	Visitor from NSW	844
Calare	55-64	Visitor from NT	3
Calare	55-64	Visitor from QLD	66
Calare	55-64	Visitor from SA	7
Calare	55-64	Visitor from TAS	11
Calare	55-64	Visitor from VIC	49
Calare	55-64	Visitor from WA	12
Calare	55-64	Visitor same SA2	40
Calare	65-74	Home	15749
Calare	65-74	Visitor from ACT	16
Calare	65-74	Visitor from NSW	597
Calare	65-74	Visitor from QLD	54
Calare	65-74	Visitor from SA	15
Calare	65-74	Visitor from TAS	17
Calare	65-74	Visitor from VIC	32
Calare	65-74	Visitor from WA	18
Calare	65-74	Visitor same SA2	18
Calare	75-84	Home	8545
Calare	75-84	Visitor from NSW	325
Calare	75-84	Visitor from QLD	9
Calare	75-84	Visitor from VIC	9
Calare	75-84	Visitor from WA	3
Calare	75-84	Visitor same SA2	24
Calare	85+	Home	3434
Calare	85+	Visitor from NSW	144
Calare	85+	Visitor from QLD	3
Calare	85+	Visitor from VIC	5
Calare	85+	Visitor same SA2	4
Chifley	0-14	Home	38498
Chifley	0-14	Visitor from ACT	3
Chifley	0-14	Visitor from NSW	603
Chifley	0-14	Visitor from QLD	16
Chifley	0-14	Visitor from SA	4
Chifley	0-14	Visitor from VIC	3
Chifley	0-14	Visitor from WA	7
Chifley	0-14	Visitor same SA2	73
Chifley	15-24	Home	24284
Chifley	15-24	Visitor from ACT	7
Chifley	15-24	Visitor from NSW	670
Chifley	15-24	Visitor from QLD	19
Chifley	15-24	Visitor from SA	3
Chifley	15-24	Visitor from VIC	9
Chifley	15-24	Visitor from WA	10
Chifley	15-24	Visitor same SA2	54
Chifley	25-34	Home	25217
Chifley	25-34	Visitor from ACT	9
Chifley	25-34	Visitor from NSW	741
Chifley	25-34	Visitor from QLD	40
Chifley	25-34	Visitor from SA	3
Chifley	25-34	Visitor from TAS	4
Chifley	25-34	Visitor from VIC	19
Chifley	25-34	Visitor from WA	14
Chifley	25-34	Visitor same SA2	40
Chifley	35-44	Home	22904
Chifley	35-44	Visitor from ACT	10
Chifley	35-44	Visitor from NSW	451
Chifley	35-44	Visitor from QLD	45
Chifley	35-44	Visitor from SA	7
Chifley	35-44	Visitor from VIC	22
Chifley	35-44	Visitor from WA	8
Chifley	35-44	Visitor same SA2	45
Chifley	45-54	Home	20614
Chifley	45-54	Visitor from ACT	3
Chifley	45-54	Visitor from NSW	390
Chifley	45-54	Visitor from QLD	19
Chifley	45-54	Visitor from SA	14
Chifley	45-54	Visitor from TAS	5
Chifley	45-54	Visitor from VIC	50
Chifley	45-54	Visitor from WA	6
Chifley	45-54	Visitor same SA2	32
Chifley	55-64	Home	17057
Chifley	55-64	Visitor from ACT	3
Chifley	55-64	Visitor from NSW	281
Chifley	55-64	Visitor from QLD	22
Chifley	55-64	Visitor from SA	7
Chifley	55-64	Visitor from VIC	22
Chifley	55-64	Visitor from WA	4
Chifley	55-64	Visitor same SA2	25
Chifley	65-74	Home	11075
Chifley	65-74	Visitor from NSW	209
Chifley	65-74	Visitor from QLD	9
Chifley	65-74	Visitor from SA	3
Chifley	65-74	Visitor from TAS	4
Chifley	65-74	Visitor from VIC	13
Chifley	65-74	Visitor from WA	5
Chifley	65-74	Visitor same SA2	26
Chifley	75-84	Home	5029
Chifley	75-84	Visitor from NSW	113
Chifley	75-84	Visitor from QLD	3
Chifley	75-84	Visitor same SA2	11
Chifley	85+	Home	1900
Chifley	85+	Visitor from NSW	47
Chifley	85+	Visitor same SA2	3
Cook	0-14	Home	24348
Cook	0-14	Visitor from NSW	377
Cook	0-14	Visitor from QLD	17
Cook	0-14	Visitor from VIC	5
Cook	0-14	Visitor same SA2	15
Cook	15-24	Home	15005
Cook	15-24	Visitor from ACT	4
Cook	15-24	Visitor from NSW	408
Cook	15-24	Visitor from QLD	5
Cook	15-24	Visitor from TAS	3
Cook	15-24	Visitor from VIC	3
Cook	15-24	Visitor from WA	4
Cook	15-24	Visitor same SA2	14
Cook	25-34	Home	16243
Cook	25-34	Visitor from ACT	3
Cook	25-34	Visitor from NSW	551
Cook	25-34	Visitor from NT	3
Cook	25-34	Visitor from QLD	13
Cook	25-34	Visitor from SA	4
Cook	25-34	Visitor from VIC	20
Cook	25-34	Visitor from WA	11
Cook	25-34	Visitor same SA2	16
Cook	35-44	Home	18210
Cook	35-44	Visitor from NSW	371
Cook	35-44	Visitor from QLD	33
Cook	35-44	Visitor from SA	4
Cook	35-44	Visitor from VIC	13
Cook	35-44	Visitor from WA	8
Cook	35-44	Visitor same SA2	21
Cook	45-54	Home	18603
Cook	45-54	Visitor from ACT	7
Cook	45-54	Visitor from NSW	378
Cook	45-54	Visitor from NT	4
Cook	45-54	Visitor from QLD	28
Cook	45-54	Visitor from SA	3
Cook	45-54	Visitor from TAS	4
Cook	45-54	Visitor from VIC	20
Cook	45-54	Visitor from WA	8
Cook	45-54	Visitor same SA2	23
Cook	55-64	Home	16306
Cook	55-64	Visitor from ACT	3
Cook	55-64	Visitor from NSW	330
Cook	55-64	Visitor from QLD	29
Cook	55-64	Visitor from SA	4
Cook	55-64	Visitor from TAS	3
Cook	55-64	Visitor from VIC	24
Cook	55-64	Visitor from WA	5
Cook	55-64	Visitor same SA2	13
Cook	65-74	Home	12563
Cook	65-74	Visitor from ACT	3
Cook	65-74	Visitor from NSW	327
Cook	65-74	Visitor from QLD	23
Cook	65-74	Visitor from SA	4
Cook	65-74	Visitor from TAS	6
Cook	65-74	Visitor from VIC	9
Cook	65-74	Visitor from WA	12
Cook	65-74	Visitor same SA2	22
Cook	75-84	Home	8003
Cook	75-84	Visitor from NSW	302
Cook	75-84	Visitor from QLD	8
Cook	75-84	Visitor from SA	3
Cook	75-84	Visitor from TAS	3
Cook	75-84	Visitor from VIC	7
Cook	75-84	Visitor from WA	3
Cook	75-84	Visitor same SA2	17
Cook	85+	Home	4375
Cook	85+	Visitor from NSW	220
Cook	85+	Visitor from QLD	4
Cook	85+	Visitor from VIC	3
Cook	85+	Visitor same SA2	10
Cowper	0-14	Home	26668
Cowper	0-14	Visitor from ACT	12
Cowper	0-14	Visitor from NSW	658
Cowper	0-14	Visitor from QLD	93
Cowper	0-14	Visitor from SA	4
Cowper	0-14	Visitor from TAS	8
Cowper	0-14	Visitor from VIC	52
Cowper	0-14	Visitor from WA	3
Cowper	0-14	Visitor same SA2	53
Cowper	15-24	Home	15190
Cowper	15-24	Visitor from ACT	3
Cowper	15-24	Visitor from NSW	937
Cowper	15-24	Visitor from NT	12
Cowper	15-24	Visitor from QLD	128
Cowper	15-24	Visitor from SA	3
Cowper	15-24	Visitor from TAS	6
Cowper	15-24	Visitor from VIC	44
Cowper	15-24	Visitor from WA	4
Cowper	15-24	Visitor same SA2	41
Cowper	25-34	Home	13883
Cowper	25-34	Visitor from ACT	17
Cowper	25-34	Visitor from NSW	953
Cowper	25-34	Visitor from NT	9
Cowper	25-34	Visitor from QLD	149
Cowper	25-34	Visitor from SA	7
Cowper	25-34	Visitor from TAS	9
Cowper	25-34	Visitor from VIC	74
Cowper	25-34	Visitor from WA	24
Cowper	25-34	Visitor same SA2	34
Cowper	35-44	Home	15895
Cowper	35-44	Visitor from ACT	11
Cowper	35-44	Visitor from NSW	722
Cowper	35-44	Visitor from NT	6
Cowper	35-44	Visitor from QLD	123
Cowper	35-44	Visitor from SA	8
Cowper	35-44	Visitor from TAS	8
Cowper	35-44	Visitor from VIC	62
Cowper	35-44	Visitor from WA	18
Cowper	35-44	Visitor same SA2	28
Cowper	45-54	Home	19457
Cowper	45-54	Visitor from ACT	18
Cowper	45-54	Visitor from NSW	949
Cowper	45-54	Visitor from NT	5
Cowper	45-54	Visitor from QLD	162
Cowper	45-54	Visitor from SA	12
Cowper	45-54	Visitor from TAS	19
Cowper	45-54	Visitor from VIC	84
Cowper	45-54	Visitor from WA	21
Cowper	45-54	Visitor same SA2	34
Cowper	55-64	Home	22251
Cowper	55-64	Visitor from ACT	41
Cowper	55-64	Visitor from NSW	1293
Cowper	55-64	Visitor from NT	8
Cowper	55-64	Visitor from QLD	249
Cowper	55-64	Visitor from SA	27
Cowper	55-64	Visitor from TAS	26
Cowper	55-64	Visitor from VIC	281
Cowper	55-64	Visitor from WA	34
Cowper	55-64	Visitor same SA2	40
Cowper	65-74	Home	19857
Cowper	65-74	Visitor from ACT	84
Cowper	65-74	Visitor from NSW	1391
Cowper	65-74	Visitor from NT	3
Cowper	65-74	Visitor from QLD	201
Cowper	65-74	Visitor from SA	103
Cowper	65-74	Visitor from TAS	91
Cowper	65-74	Visitor from VIC	588
Cowper	65-74	Visitor from WA	11
Cowper	65-74	Visitor same SA2	25
Cowper	75-84	Home	11765
Cowper	75-84	Visitor from ACT	28
Cowper	75-84	Visitor from NSW	627
Cowper	75-84	Visitor from QLD	50
Cowper	75-84	Visitor from SA	33
Cowper	75-84	Visitor from TAS	10
Cowper	75-84	Visitor from VIC	232
Cowper	75-84	Visitor from WA	10
Cowper	75-84	Visitor same SA2	30
Cowper	85+	Home	5365
Cowper	85+	Visitor from ACT	3
Cowper	85+	Visitor from NSW	238
Cowper	85+	Visitor from QLD	18
Cowper	85+	Visitor from TAS	3
Cowper	85+	Visitor from VIC	36
Cowper	85+	Visitor same SA2	13
Cunningham	0-14	Home	26462
Cunningham	0-14	Visitor from ACT	3
Cunningham	0-14	Visitor from NSW	489
Cunningham	0-14	Visitor from QLD	6
Cunningham	0-14	Visitor from VIC	11
Cunningham	0-14	Visitor from WA	3
Cunningham	0-14	Visitor same SA2	19
Cunningham	15-24	Home	21452
Cunningham	15-24	Visitor from ACT	29
Cunningham	15-24	Visitor from NSW	1101
Cunningham	15-24	Visitor from NT	7
Cunningham	15-24	Visitor from QLD	28
Cunningham	15-24	Visitor from SA	3
Cunningham	15-24	Visitor from VIC	22
Cunningham	15-24	Visitor from WA	4
Cunningham	15-24	Visitor same SA2	28
Cunningham	25-34	Home	19070
Cunningham	25-34	Visitor from ACT	29
Cunningham	25-34	Visitor from NSW	939
Cunningham	25-34	Visitor from NT	3
Cunningham	25-34	Visitor from QLD	42
Cunningham	25-34	Visitor from SA	5
Cunningham	25-34	Visitor from TAS	5
Cunningham	25-34	Visitor from VIC	56
