CED_NAME16	Age	persons
Hume	35-44	19762
Hume	45-54	20761
Hume	55-64	18488
Hume	65-74	14126
Hume	75-84	6738
Hume	85+	2705
Hunter	0-4	10244
Hunter	5-14	20415
Hunter	15-19	9821
Hunter	20-24	9194
Hunter	25-34	19012
Hunter	35-44	19146
Hunter	45-54	20372
Hunter	55-64	20001
Hunter	65-74	16168
Hunter	75-84	8549
Hunter	85+	3882
Kingsford Smith	0-4	9752
Kingsford Smith	5-14	16917
Kingsford Smith	15-19	10316
Kingsford Smith	20-24	18261
Kingsford Smith	25-34	33643
Kingsford Smith	35-44	26232
Kingsford Smith	45-54	21337
Kingsford Smith	55-64	16421
Kingsford Smith	65-74	12274
Kingsford Smith	75-84	7566
Kingsford Smith	85+	3521
Lindsay	0-4	12555
Lindsay	5-14	22777
Lindsay	15-19	10850
Lindsay	20-24	11809
Lindsay	25-34	26094
Lindsay	35-44	23635
Lindsay	45-54	20599
Lindsay	55-64	18094
Lindsay	65-74	12518
Lindsay	75-84	5505
Lindsay	85+	2105
Lyne	0-4	6885
Lyne	5-14	17047
Lyne	15-19	8215
Lyne	20-24	5700
Lyne	25-34	11111
Lyne	35-44	14176
Lyne	45-54	19225
Lyne	55-64	22976
Lyne	65-74	23034
Lyne	75-84	12290
Lyne	85+	4814
Macarthur	0-4	12449
Macarthur	5-14	23455
Macarthur	15-19	11084
Macarthur	20-24	11615
Macarthur	25-34	24833
Macarthur	35-44	22262
Macarthur	45-54	19928
Macarthur	55-64	18450
Macarthur	65-74	11839
Macarthur	75-84	4663
Macarthur	85+	1445
Mackellar	0-4	8869
Mackellar	5-14	19941
Mackellar	15-19	8871
Mackellar	20-24	7513
Mackellar	25-34	14813
Mackellar	35-44	20754
Mackellar	45-54	21976
Mackellar	55-64	17794
Mackellar	65-74	14760
Mackellar	75-84	8722
Mackellar	85+	4599
Macquarie	0-4	8333
Macquarie	5-14	18598
Macquarie	15-19	9351
Macquarie	20-24	8018
Macquarie	25-34	15014
Macquarie	35-44	17789
Macquarie	45-54	20530
Macquarie	55-64	19585
Macquarie	65-74	14838
Macquarie	75-84	6747
Macquarie	85+	2641
McMahon	0-4	12029
McMahon	5-14	22374
McMahon	15-19	10787
McMahon	20-24	12107
McMahon	25-34	24954
McMahon	35-44	22459
McMahon	45-54	21122
McMahon	55-64	18494
McMahon	65-74	12374
McMahon	75-84	6462
McMahon	85+	2522
Mitchell	0-4	10156
Mitchell	5-14	23289
Mitchell	15-19	10379
Mitchell	20-24	8954
Mitchell	25-34	16898
Mitchell	35-44	24184
Mitchell	45-54	21531
Mitchell	55-64	17049
Mitchell	65-74	12973
Mitchell	75-84	5830
Mitchell	85+	2203
New England	0-4	9304
New England	5-14	20428
New England	15-19	10006
New England	20-24	8919
New England	25-34	16951
New England	35-44	17156
New England	45-54	19694
New England	55-64	20899
New England	65-74	17303
New England	75-84	9745
New England	85+	3784
Newcastle	0-4	8996
Newcastle	5-14	16949
Newcastle	15-19	8805
Newcastle	20-24	13563
Newcastle	25-34	23451
Newcastle	35-44	19916
Newcastle	45-54	19552
Newcastle	55-64	18016
Newcastle	65-74	12538
Newcastle	75-84	7197
Newcastle	85+	3958
North Sydney	0-4	9986
North Sydney	5-14	17412
North Sydney	15-19	7635
North Sydney	20-24	8855
North Sydney	25-34	29260
North Sydney	35-44	27089
North Sydney	45-54	21153
North Sydney	55-64	16834
North Sydney	65-74	12884
North Sydney	75-84	6673
North Sydney	85+	3750
Page	0-4	8378
Page	5-14	19747
Page	15-19	9777
Page	20-24	7277
Page	25-34	14375
Page	35-44	17437
Page	45-54	21741
Page	55-64	25385
Page	65-74	19895
Page	75-84	10599
Page	85+	4499
Parkes	0-4	10761
Parkes	5-14	20634
Parkes	15-19	8727
Parkes	20-24	8586
Parkes	25-34	18720
Parkes	35-44	17344
Parkes	45-54	20224
Parkes	55-64	20434
Parkes	65-74	15701
Parkes	75-84	9117
Parkes	85+	3535
Parramatta	0-4	14782
Parramatta	5-14	21210
Parramatta	15-19	9264
Parramatta	20-24	12775
Parramatta	25-34	41038
Parramatta	35-44	29341
Parramatta	45-54	20671
Parramatta	55-64	17198
Parramatta	65-74	10944
Parramatta	75-84	6357
Parramatta	85+	2743
Paterson	0-4	10344
Paterson	5-14	20625
Paterson	15-19	9483
Paterson	20-24	9056
Paterson	25-34	18921
Paterson	35-44	18972
Paterson	45-54	19874
Paterson	55-64	19513
Paterson	65-74	17015
Paterson	75-84	8638
Paterson	85+	3193
Reid	0-4	10677
Reid	5-14	16614
Reid	15-19	8898
Reid	20-24	15934
Reid	25-34	40163
Reid	35-44	26475
Reid	45-54	21809
Reid	55-64	18076
Reid	65-74	11880
Reid	75-84	7162
Reid	85+	3644
Richmond	0-4	7804
Richmond	5-14	17634
Richmond	15-19	8212
Richmond	20-24	6301
Richmond	25-34	14273
Richmond	35-44	18028
Richmond	45-54	20930
Richmond	55-64	23705
Richmond	65-74	19363
Richmond	75-84	11113
Richmond	85+	5565
Riverina	0-4	9696
Riverina	5-14	21002
Riverina	15-19	10014
Riverina	20-24	9515
Riverina	25-34	17599
Riverina	35-44	17561
Riverina	45-54	19692
Riverina	55-64	20150
Riverina	65-74	16545
Riverina	75-84	9775
Riverina	85+	4237
Robertson	0-4	8064
Robertson	5-14	17036
Robertson	15-19	8376
Robertson	20-24	7499
Robertson	25-34	15008
Robertson	35-44	17459
Robertson	45-54	19553
Robertson	55-64	19177
Robertson	65-74	16549
Robertson	75-84	9626
Robertson	85+	4747
Shortland	0-4	8431
Shortland	5-14	17837
Shortland	15-19	8882
Shortland	20-24	8006
Shortland	25-34	15533
Shortland	35-44	17000
Shortland	45-54	19421
Shortland	55-64	19055
Shortland	65-74	16678
Shortland	75-84	9814
Shortland	85+	3838
Sydney	0-4	6807
Sydney	5-14	6904
Sydney	15-19	8310
Sydney	20-24	28283
Sydney	25-34	66424
Sydney	35-44	32353
Sydney	45-54	20469
Sydney	55-64	15144
Sydney	65-74	9616
Sydney	75-84	4433
Sydney	85+	1456
Warringah	0-4	9147
Warringah	5-14	18859
Warringah	15-19	7518
Warringah	20-24	6981
Warringah	25-34	21365
Warringah	35-44	24241
Warringah	45-54	21450
Warringah	55-64	15582
Warringah	65-74	12107
Warringah	75-84	6545
Warringah	85+	3536
Watson	0-4	12542
Watson	5-14	22666
Watson	15-19	10896
Watson	20-24	13064
Watson	25-34	29494
Watson	35-44	24001
Watson	45-54	21946
Watson	55-64	17647
Watson	65-74	11626
Watson	75-84	7494
Watson	85+	3434
Wentworth	0-4	8142
Wentworth	5-14	14239
Wentworth	15-19	5772
Wentworth	20-24	7972
Wentworth	25-34	30859
Wentworth	35-44	24204
Wentworth	45-54	18477
Wentworth	55-64	14023
Wentworth	65-74	11753
Wentworth	75-84	6598
Wentworth	85+	3919
Werriwa	0-4	12414
Werriwa	5-14	26676
Werriwa	15-19	13198
Werriwa	20-24	12370
Werriwa	25-34	23480
Werriwa	35-44	24179
Werriwa	45-54	23207
Werriwa	55-64	18094
Werriwa	65-74	10341
Werriwa	75-84	5151
Werriwa	85+	1801
Whitlam	0-4	9155
Whitlam	5-14	19914
Whitlam	15-19	10102
Whitlam	20-24	8474
Whitlam	25-34	16638
Whitlam	35-44	18323
Whitlam	45-54	20148
Whitlam	55-64	19278
Whitlam	65-74	16766
Whitlam	75-84	9841
Whitlam	85+	3641
No usual address (NSW)	0-4	338
No usual address (NSW)	5-14	402
No usual address (NSW)	15-19	517
No usual address (NSW)	20-24	1358
No usual address (NSW)	25-34	2703
No usual address (NSW)	35-44	1900
No usual address (NSW)	45-54	1798
No usual address (NSW)	55-64	1722
No usual address (NSW)	65-74	1196
No usual address (NSW)	75-84	282
No usual address (NSW)	85+	78
Migratory - Offshore - Shipping (NSW)	0-4	14
Migratory - Offshore - Shipping (NSW)	5-14	22
Migratory - Offshore - Shipping (NSW)	15-19	12
Migratory - Offshore - Shipping (NSW)	20-24	9
Migratory - Offshore - Shipping (NSW)	25-34	32
Migratory - Offshore - Shipping (NSW)	35-44	34
Migratory - Offshore - Shipping (NSW)	45-54	50
Migratory - Offshore - Shipping (NSW)	55-64	74
Migratory - Offshore - Shipping (NSW)	65-74	108
Migratory - Offshore - Shipping (NSW)	75-84	42
Migratory - Offshore - Shipping (NSW)	85+	10
Aston	0-4	7866
Aston	5-14	15960
Aston	15-19	8953
Aston	20-24	9257
Aston	25-34	17992
Aston	35-44	18208
Aston	45-54	19554
Aston	55-64	17628
Aston	65-74	11857
Aston	75-84	6138
Aston	85+	2603
Ballarat	0-4	9644
Ballarat	5-14	19880
Ballarat	15-19	9818
Ballarat	20-24	10086
Ballarat	25-34	18191
Ballarat	35-44	19151
Ballarat	45-54	20892
Ballarat	55-64	19794
Ballarat	65-74	15729
Ballarat	75-84	7893
Ballarat	85+	3412
Batman	0-4	9670
Batman	5-14	15946
Batman	15-19	7604
Batman	20-24	12524
Batman	25-34	31381
Batman	35-44	25189
Batman	45-54	21025
Batman	55-64	15403
Batman	65-74	10818
Batman	75-84	8437
Batman	85+	3953
Bendigo	0-4	9136
Bendigo	5-14	18903
Bendigo	15-19	9240
Bendigo	20-24	9155
Bendigo	25-34	16921
Bendigo	35-44	18082
Bendigo	45-54	20184
Bendigo	55-64	20411
Bendigo	65-74	16144
Bendigo	75-84	8506
Bendigo	85+	3757
Bruce	0-4	9076
Bruce	5-14	17412
Bruce	15-19	9642
Bruce	20-24	12019
Bruce	25-34	24185
Bruce	35-44	20751
Bruce	45-54	19564
Bruce	55-64	17092
Bruce	65-74	14233
Bruce	75-84	9220
Bruce	85+	3812
Calwell	0-4	10858
Calwell	5-14	22592
Calwell	15-19	12292
Calwell	20-24	12877
Calwell	25-34	23598
Calwell	35-44	21246
Calwell	45-54	23501
Calwell	55-64	18597
Calwell	65-74	12150
Calwell	75-84	5806
Calwell	85+	1893
Casey	0-4	9089
Casey	5-14	18290
Casey	15-19	9196
Casey	20-24	8569
Casey	25-34	18127
Casey	35-44	18660
Casey	45-54	20147
Casey	55-64	18057
Casey	65-74	13756
Casey	75-84	6326
Casey	85+	2548
Chisholm	0-4	8409
Chisholm	5-14	16681
Chisholm	15-19	11393
Chisholm	20-24	18523
Chisholm	25-34	26469
Chisholm	35-44	20452
Chisholm	45-54	20204
Chisholm	55-64	15963
Chisholm	65-74	11994
Chisholm	75-84	9552
Chisholm	85+	4788
Corangamite	0-4	9632
Corangamite	5-14	20141
Corangamite	15-19	9214
Corangamite	20-24	8919
Corangamite	25-34	17281
Corangamite	35-44	19771
Corangamite	45-54	19893
Corangamite	55-64	19665
Corangamite	65-74	16039
Corangamite	75-84	8209
Corangamite	85+	3978
Corio	0-4	8921
Corio	5-14	17318
Corio	15-19	9253
Corio	20-24	9727
Corio	25-34	19286
Corio	35-44	18372
Corio	45-54	19774
Corio	55-64	19062
Corio	65-74	15404
Corio	75-84	8824
Corio	85+	3961
Deakin	0-4	9235
Deakin	5-14	17516
Deakin	15-19	8412
Deakin	20-24	8448
Deakin	25-34	20153
Deakin	35-44	21451
Deakin	45-54	19401
Deakin	55-64	15861
Deakin	65-74	13342
Deakin	75-84	8576
Deakin	85+	4369
Dunkley	0-4	8874
Dunkley	5-14	17506
Dunkley	15-19	8675
Dunkley	20-24	8419
Dunkley	25-34	17284
Dunkley	35-44	19126
Dunkley	45-54	20458
Dunkley	55-64	18222
Dunkley	65-74	15381
Dunkley	75-84	8734
Dunkley	85+	3702
Flinders	0-4	8286
Flinders	5-14	18414
Flinders	15-19	8643
Flinders	20-24	7498
Flinders	25-34	14605
Flinders	35-44	17685
Flinders	45-54	20969
Flinders	55-64	21612
Flinders	65-74	20310
Flinders	75-84	10923
Flinders	85+	4541
Gellibrand	0-4	11557
Gellibrand	5-14	17214
Gellibrand	15-19	7953
Gellibrand	20-24	11400
Gellibrand	25-34	30389
Gellibrand	35-44	26545
Gellibrand	45-54	21606
Gellibrand	55-64	16824
Gellibrand	65-74	11333
Gellibrand	75-84	7489
Gellibrand	85+	3558
Gippsland	0-4	8048
Gippsland	5-14	16991
Gippsland	15-19	8105
Gippsland	20-24	7512
Gippsland	25-34	15661
Gippsland	35-44	15605
Gippsland	45-54	18811
Gippsland	55-64	21189
Gippsland	65-74	18142
Gippsland	75-84	9345
Gippsland	85+	3623
Goldstein	0-4	7877
Goldstein	5-14	19886
Goldstein	15-19	9201
Goldstein	20-24	8093
Goldstein	25-34	15026
Goldstein	35-44	19527
Goldstein	45-54	23363
Goldstein	55-64	18340
Goldstein	65-74	13616
Goldstein	75-84	7583
Goldstein	85+	5121
Gorton	0-4	16177
Gorton	5-14	29937
Gorton	15-19	12732
Gorton	20-24	12841
Gorton	25-34	30439
Gorton	35-44	31806
Gorton	45-54	24335
Gorton	55-64	18932
Gorton	65-74	11840
Gorton	75-84	4329
Gorton	85+	1332
Higgins	0-4	7318
Higgins	5-14	14539
Higgins	15-19	7492
Higgins	20-24	13562
Higgins	25-34	32810
Higgins	35-44	21348
Higgins	45-54	19024
Higgins	55-64	15318
Higgins	65-74	11729
Higgins	75-84	7216
Higgins	85+	3576
Holt	0-4	16895
Holt	5-14	28907
Holt	15-19	13280
Holt	20-24	14217
Holt	25-34	32657
Holt	35-44	29957
Holt	45-54	24879
Holt	55-64	19661
Holt	65-74	11702
Holt	75-84	5595
Holt	85+	2108
Hotham	0-4	9348
Hotham	5-14	17609
Hotham	15-19	8662
Hotham	20-24	10492
Hotham	25-34	21917
Hotham	35-44	21443
Hotham	45-54	20246
Hotham	55-64	16631
Hotham	65-74	12479
Hotham	75-84	8294
Hotham	85+	4156
Indi	0-4	7758
Indi	5-14	17428
Indi	15-19	8349
Indi	20-24	6854
Indi	25-34	14024
Indi	35-44	16112
Indi	45-54	19338
Indi	55-64	20960
Indi	65-74	17106
Indi	75-84	8505
Indi	85+	3755
Isaacs	0-4	10646
Isaacs	5-14	19725
Isaacs	15-19	9346
Isaacs	20-24	9815
Isaacs	25-34	22099
Isaacs	35-44	23895
Isaacs	45-54	22302
Isaacs	55-64	17648
Isaacs	65-74	12693
Isaacs	75-84	7023
Isaacs	85+	3458
Jagajaga	0-4	8799
Jagajaga	5-14	17336
Jagajaga	15-19	8365
Jagajaga	20-24	8520
Jagajaga	25-34	17438
Jagajaga	35-44	19883
Jagajaga	45-54	19791
Jagajaga	55-64	17847
Jagajaga	65-74	13056
Jagajaga	75-84	6897
Jagajaga	85+	3368
Kooyong	0-4	6495
Kooyong	5-14	17717
Kooyong	15-19	10388
Kooyong	20-24	11947
Kooyong	25-34	20340
Kooyong	35-44	17749
Kooyong	45-54	20576
Kooyong	55-64	16356
Kooyong	65-74	12264
Kooyong	75-84	7178
Kooyong	85+	4377
La Trobe	0-4	10448
La Trobe	5-14	22811
La Trobe	15-19	11570
La Trobe	20-24	9819
La Trobe	25-34	18379
La Trobe	35-44	23326
La Trobe	45-54	23807
La Trobe	55-64	18023
La Trobe	65-74	11413
La Trobe	75-84	5285
La Trobe	85+	2077
Lalor	0-4	22412
Lalor	5-14	34136
Lalor	15-19	13511
Lalor	20-24	14491
Lalor	25-34	43711
Lalor	35-44	38714
Lalor	45-54	27320
Lalor	55-64	19623
Lalor	65-74	11563
Lalor	75-84	4894
Lalor	85+	1608
Mallee	0-4	7955
Mallee	5-14	16934
Mallee	15-19	8501
Mallee	20-24	7289
Mallee	25-34	15144
Mallee	35-44	14831
Mallee	45-54	18522
Mallee	55-64	19671
Mallee	65-74	15751
Mallee	75-84	9536
Mallee	85+	4469
Maribyrnong	0-4	9761
Maribyrnong	5-14	17991
Maribyrnong	15-19	9577
Maribyrnong	20-24	12891
Maribyrnong	25-34	27629
Maribyrnong	35-44	22591
Maribyrnong	45-54	21595
Maribyrnong	55-64	18337
Maribyrnong	65-74	13440
Maribyrnong	75-84	8770
Maribyrnong	85+	3842
McEwen	0-4	17852
McEwen	5-14	31264
McEwen	15-19	13648
McEwen	20-24	12647
McEwen	25-34	31546
McEwen	35-44	31630
McEwen	45-54	28001
McEwen	55-64	21491
McEwen	65-74	14390
McEwen	75-84	5905
McEwen	85+	2156
McMillan	0-4	11601
McMillan	5-14	22144
McMillan	15-19	9998
McMillan	20-24	9076
McMillan	25-34	20488
McMillan	35-44	19819
McMillan	45-54	21524
McMillan	55-64	21214
McMillan	65-74	18180
McMillan	75-84	9420
McMillan	85+	3861
Melbourne	0-4	8563
Melbourne	5-14	10730
Melbourne	15-19	12773
Melbourne	20-24	34386
Melbourne	25-34	64351
Melbourne	35-44	28030
Melbourne	45-54	18666
Melbourne	55-64	14544
Melbourne	65-74	9518
Melbourne	75-84	4799
Melbourne	85+	2233
Melbourne Ports	0-4	7801
Melbourne Ports	5-14	11441
Melbourne Ports	15-19	5865
Melbourne Ports	20-24	12933
Melbourne Ports	25-34	41667
Melbourne Ports	35-44	26182
Melbourne Ports	45-54	19543
Melbourne Ports	55-64	15806
Melbourne Ports	65-74	11193
Melbourne Ports	75-84	5306
Melbourne Ports	85+	2973
Menzies	0-4	6720
Menzies	5-14	16085
Menzies	15-19	9223
Menzies	20-24	8724
Menzies	25-34	15025
Menzies	35-44	16642
Menzies	45-54	20220
Menzies	55-64	17404
Menzies	65-74	13982
Menzies	75-84	9488
Menzies	85+	4018
Murray	0-4	8567
Murray	5-14	18253
Murray	15-19	9131
Murray	20-24	7201
Murray	25-34	15214
Murray	35-44	16114
Murray	45-54	19400
Murray	55-64	20266
Murray	65-74	17067
Murray	75-84	9977
Murray	85+	4181
Scullin	0-4	11773
Scullin	5-14	20819
Scullin	15-19	10405
Scullin	20-24	12079
Scullin	25-34	26474
Scullin	35-44	23192
Scullin	45-54	22079
Scullin	55-64	18644
Scullin	65-74	12975
Scullin	75-84	7093
Scullin	85+	2430
Wannon	0-4	7126
Wannon	5-14	16199
Wannon	15-19	8064
Wannon	20-24	6740
Wannon	25-34	12915
Wannon	35-44	14738
Wannon	45-54	18724
Wannon	55-64	19914
Wannon	65-74	16426
Wannon	75-84	8995
Wannon	85+	3930
Wills	0-4	10637
Wills	5-14	16691
Wills	15-19	7513
Wills	20-24	13330
Wills	25-34	36524
Wills	35-44	26793
Wills	45-54	20195
Wills	55-64	14610
Wills	65-74	10101
Wills	75-84	8822
Wills	85+	4431
No usual address (Vic.)	0-4	379
No usual address (Vic.)	5-14	367
No usual address (Vic.)	15-19	357
No usual address (Vic.)	20-24	898
No usual address (Vic.)	25-34	1848
No usual address (Vic.)	35-44	1295
No usual address (Vic.)	45-54	975
No usual address (Vic.)	55-64	816
No usual address (Vic.)	65-74	482
No usual address (Vic.)	75-84	121
No usual address (Vic.)	85+	38
Migratory - Offshore - Shipping (Vic.)	25-34	4
Migratory - Offshore - Shipping (Vic.)	35-44	3
Migratory - Offshore - Shipping (Vic.)	45-54	11
Migratory - Offshore - Shipping (Vic.)	55-64	5
Blair	0-4	12097
Blair	5-14	23048
Blair	15-19	10434
Blair	20-24	10661
Blair	25-34	22439
Blair	35-44	19849
Blair	45-54	19875
Blair	55-64	17310
Blair	65-74	12218
Blair	75-84	6151
Blair	85+	2239
Bonner	0-4	9355
Bonner	5-14	19534
Bonner	15-19	9864
Bonner	20-24	9962
Bonner	25-34	19549
Bonner	35-44	21767
Bonner	45-54	21077
Bonner	55-64	16517
Bonner	65-74	11963
Bonner	75-84	6878
Bonner	85+	3167
Bowman	0-4	8102
Bowman	5-14	19502
Bowman	15-19	9730
Bowman	20-24	8191
Bowman	25-34	15769
Bowman	35-44	18459
Bowman	45-54	21188
Bowman	55-64	19872
Bowman	65-74	15357
Bowman	75-84	7557
Bowman	85+	3279
Brisbane	0-4	7904
Brisbane	5-14	14311
Brisbane	15-19	8568
Brisbane	20-24	18116
Brisbane	25-34	38713
Brisbane	35-44	24684
Brisbane	45-54	20828
Brisbane	55-64	14991
Brisbane	65-74	9191
Brisbane	75-84	4302
Brisbane	85+	2279
Capricornia	0-4	10257
Capricornia	5-14	20937
Capricornia	15-19	9800
Capricornia	20-24	9118
Capricornia	25-34	20354
Capricornia	35-44	19560
Capricornia	45-54	20830
Capricornia	55-64	18605
Capricornia	65-74	12287
Capricornia	75-84	6477
Capricornia	85+	2493
Dawson	0-4	9725
Dawson	5-14	20736
Dawson	15-19	9584
Dawson	20-24	9815
Dawson	25-34	21178
Dawson	35-44	20655
Dawson	45-54	22477
Dawson	55-64	19806
Dawson	65-74	13202
Dawson	75-84	6632
Dawson	85+	2513
Dickson	0-4	9868
Dickson	5-14	21862
Dickson	15-19	9883
Dickson	20-24	8855
Dickson	25-34	17725
Dickson	35-44	21443
Dickson	45-54	21263
Dickson	55-64	16765
Dickson	65-74	12159
Dickson	75-84	4597
Dickson	85+	1794
Fadden	0-4	10792
Fadden	5-14	21530
Fadden	15-19	10763
Fadden	20-24	11281
Fadden	25-34	21858
Fadden	35-44	22965
Fadden	45-54	23305
Fadden	55-64	19473
Fadden	65-74	16578
Fadden	75-84	7998
Fadden	85+	3054
Fairfax	0-4	8458
Fairfax	5-14	20008
Fairfax	15-19	8929
Fairfax	20-24	7929
Fairfax	25-34	16616
Fairfax	35-44	19713
Fairfax	45-54	21913
Fairfax	55-64	20369
Fairfax	65-74	16878
Fairfax	75-84	8907
Fairfax	85+	3752
Fisher	0-4	7176
Fisher	5-14	17590
Fisher	15-19	8712
Fisher	20-24	7353
Fisher	25-34	14541
Fisher	35-44	17285
Fisher	45-54	19052
Fisher	55-64	18198
Fisher	65-74	16916
Fisher	75-84	9394
Fisher	85+	3950
Flynn	0-4	11281
Flynn	5-14	23017
Flynn	15-19	9218
Flynn	20-24	8658
Flynn	25-34	20596
Flynn	35-44	20521
Flynn	45-54	22504
Flynn	55-64	19406
Flynn	65-74	12948
Flynn	75-84	5635
Flynn	85+	1694
Forde	0-4	12647
Forde	5-14	24532
Forde	15-19	11356
Forde	20-24	11142
Forde	25-34	23329
Forde	35-44	23013
Forde	45-54	20977
Forde	55-64	17483
Forde	65-74	13122
Forde	75-84	5803
Forde	85+	2134
Griffith	0-4	8816
Griffith	5-14	16377
Griffith	15-19	8445
Griffith	20-24	14775
Griffith	25-34	33691
Griffith	35-44	25085
Griffith	45-54	20177
Griffith	55-64	14482
Griffith	65-74	8614
Griffith	75-84	4624
Griffith	85+	2517
Groom	0-4	9703
Groom	5-14	20777
Groom	15-19	10072
Groom	20-24	9698
Groom	25-34	18813
Groom	35-44	17803
Groom	45-54	18849
Groom	55-64	17644
Groom	65-74	13957
Groom	75-84	8035
Groom	85+	3511
Herbert	0-4	11336
Herbert	5-14	21520
Herbert	15-19	11409
Herbert	20-24	13875
Herbert	25-34	24511
