CED_NAME16	MaxSchoolingCompleted	adults
Kooyong	Year 12	90608
La Trobe	Did not go to school	622
La Trobe	Year 8	4642
La Trobe	Year 9	7567
La Trobe	Year 10	19267
La Trobe	Year 11	17754
La Trobe	Year 12	66591
Lalor	Did not go to school	2054
Lalor	Year 8	8062
Lalor	Year 9	9426
Lalor	Year 10	23134
Lalor	Year 11	18505
Lalor	Year 12	101399
Mallee	Did not go to school	978
Mallee	Year 8	9722
Mallee	Year 9	10901
Mallee	Year 10	22930
Mallee	Year 11	18996
Mallee	Year 12	36969
Maribyrnong	Did not go to school	3477
Maribyrnong	Year 8	11335
Maribyrnong	Year 9	6633
Maribyrnong	Year 10	14016
Maribyrnong	Year 11	12304
Maribyrnong	Year 12	79064
McEwen	Did not go to school	1048
McEwen	Year 8	7418
McEwen	Year 9	10693
McEwen	Year 10	26362
McEwen	Year 11	23289
McEwen	Year 12	80738
McMillan	Did not go to school	555
McMillan	Year 8	8489
McMillan	Year 9	11705
McMillan	Year 10	27246
McMillan	Year 11	21972
McMillan	Year 12	51060
Melbourne	Did not go to school	2022
Melbourne	Year 8	4606
Melbourne	Year 9	3288
Melbourne	Year 10	7359
Melbourne	Year 11	8915
Melbourne	Year 12	141894
Melbourne Ports	Did not go to school	662
Melbourne Ports	Year 8	3096
Melbourne Ports	Year 9	2786
Melbourne Ports	Year 10	7774
Melbourne Ports	Year 11	8706
Melbourne Ports	Year 12	102762
Menzies	Did not go to school	1214
Menzies	Year 8	6200
Menzies	Year 9	5298
Menzies	Year 10	11803
Menzies	Year 11	11939
Menzies	Year 12	71993
Murray	Did not go to school	1023
Murray	Year 8	9623
Murray	Year 9	11410
Murray	Year 10	24279
Murray	Year 11	19231
Murray	Year 12	39240
Scullin	Did not go to school	2725
Scullin	Year 8	11171
Scullin	Year 9	7812
Scullin	Year 10	16857
Scullin	Year 11	14598
Scullin	Year 12	73259
Wannon	Did not go to school	381
Wannon	Year 8	8483
Wannon	Year 9	10258
Wannon	Year 10	21241
Wannon	Year 11	19094
Wannon	Year 12	38541
Wills	Did not go to school	2590
Wills	Year 8	10752
Wills	Year 9	5223
Wills	Year 10	11484
Wills	Year 11	10528
Wills	Year 12	90565
No usual address (Vic.)	Did not go to school	85
No usual address (Vic.)	Year 8	238
No usual address (Vic.)	Year 9	404
No usual address (Vic.)	Year 10	776
No usual address (Vic.)	Year 11	627
No usual address (Vic.)	Year 12	2698
Migratory - Offshore - Shipping (Vic.)	Year 10	10
Migratory - Offshore - Shipping (Vic.)	Year 11	4
Migratory - Offshore - Shipping (Vic.)	Year 12	13
Blair	Did not go to school	615
Blair	Year 8	8002
Blair	Year 9	7370
Blair	Year 10	32430
Blair	Year 11	10073
Blair	Year 12	51710
Bonner	Did not go to school	493
Bonner	Year 8	5201
Bonner	Year 9	4241
Bonner	Year 10	22360
Bonner	Year 11	7797
Bonner	Year 12	73084
Bowman	Did not go to school	275
Bowman	Year 8	5173
Bowman	Year 9	5824
Bowman	Year 10	31646
Bowman	Year 11	9944
Bowman	Year 12	59331
Brisbane	Did not go to school	465
Brisbane	Year 8	2701
Brisbane	Year 9	2438
Brisbane	Year 10	12979
Brisbane	Year 11	6276
Brisbane	Year 12	103465
Capricornia	Did not go to school	408
Capricornia	Year 8	7589
Capricornia	Year 9	6528
Capricornia	Year 10	32822
Capricornia	Year 11	9736
Capricornia	Year 12	47834
Dawson	Did not go to school	405
Dawson	Year 8	7235
Dawson	Year 9	6843
Dawson	Year 10	33939
Dawson	Year 11	10994
Dawson	Year 12	52113
Dickson	Did not go to school	280
Dickson	Year 8	4094
Dickson	Year 9	4577
Dickson	Year 10	25931
Dickson	Year 11	9042
Dickson	Year 12	64254
Fadden	Did not go to school	511
Fadden	Year 8	4428
Fadden	Year 9	7028
Fadden	Year 10	31724
Fadden	Year 11	12498
Fadden	Year 12	68698
Fairfax	Did not go to school	258
Fairfax	Year 8	4475
Fairfax	Year 9	6064
Fairfax	Year 10	30822
Fairfax	Year 11	11278
Fairfax	Year 12	62271
Fisher	Did not go to school	245
Fisher	Year 8	5218
Fisher	Year 9	6193
Fisher	Year 10	30440
Fisher	Year 11	9985
Fisher	Year 12	54317
Flynn	Did not go to school	406
Flynn	Year 8	7820
Flynn	Year 9	7307
Flynn	Year 10	34777
Flynn	Year 11	10823
Flynn	Year 12	46449
Forde	Did not go to school	791
Forde	Year 8	5690
Forde	Year 9	7497
Forde	Year 10	32298
Forde	Year 11	11893
Forde	Year 12	60346
Griffith	Did not go to school	560
Griffith	Year 8	3535
Griffith	Year 9	2762
Griffith	Year 10	14643
Griffith	Year 11	6513
Griffith	Year 12	93995
Groom	Did not go to school	556
Groom	Year 8	7614
Groom	Year 9	6157
Groom	Year 10	30654
Groom	Year 11	8549
Groom	Year 12	54229
Herbert	Did not go to school	506
Herbert	Year 8	5629
Herbert	Year 9	6067
Herbert	Year 10	29485
Herbert	Year 11	11143
Herbert	Year 12	62421
Hinkler	Did not go to school	467
Hinkler	Year 8	9459
Hinkler	Year 9	8931
Hinkler	Year 10	36288
Hinkler	Year 11	9853
Hinkler	Year 12	40645
Kennedy	Did not go to school	779
Kennedy	Year 8	9524
Kennedy	Year 9	7542
Kennedy	Year 10	33928
Kennedy	Year 11	10604
Kennedy	Year 12	45574
Leichhardt	Did not go to school	958
Leichhardt	Year 8	5847
Leichhardt	Year 9	6201
Leichhardt	Year 10	29233
Leichhardt	Year 11	12924
Leichhardt	Year 12	67013
Lilley	Did not go to school	657
Lilley	Year 8	5813
Lilley	Year 9	4204
Lilley	Year 10	23149
Lilley	Year 11	7944
Lilley	Year 12	77131
Longman	Did not go to school	465
Longman	Year 8	7029
Longman	Year 9	8283
Longman	Year 10	36454
Longman	Year 11	11531
Longman	Year 12	52280
Maranoa	Did not go to school	530
Maranoa	Year 8	10344
Maranoa	Year 9	7734
Maranoa	Year 10	35068
Maranoa	Year 11	8789
Maranoa	Year 12	42916
McPherson	Did not go to school	317
McPherson	Year 8	3742
McPherson	Year 9	5901
McPherson	Year 10	28342
McPherson	Year 11	10482
McPherson	Year 12	64953
Moncrieff	Did not go to school	526
Moncrieff	Year 8	4280
Moncrieff	Year 9	5957
Moncrieff	Year 10	26927
Moncrieff	Year 11	10927
Moncrieff	Year 12	74082
Moreton	Did not go to school	1503
Moreton	Year 8	5206
Moreton	Year 9	3642
Moreton	Year 10	16421
Moreton	Year 11	6222
Moreton	Year 12	88739
Oxley	Did not go to school	1779
Oxley	Year 8	5305
Oxley	Year 9	5024
Oxley	Year 10	22608
Oxley	Year 11	9463
Oxley	Year 12	69445
Petrie	Did not go to school	502
Petrie	Year 8	6426
Petrie	Year 9	6657
Petrie	Year 10	30989
Petrie	Year 11	10509
Petrie	Year 12	64909
Rankin	Did not go to school	2022
Rankin	Year 8	6579
Rankin	Year 9	6521
Rankin	Year 10	27905
Rankin	Year 11	10796
Rankin	Year 12	73431
Ryan	Did not go to school	265
Ryan	Year 8	2101
Ryan	Year 9	2760
Ryan	Year 10	14119
Ryan	Year 11	6278
Ryan	Year 12	94608
Wide Bay	Did not go to school	376
Wide Bay	Year 8	7804
Wide Bay	Year 9	7895
Wide Bay	Year 10	34889
Wide Bay	Year 11	10191
Wide Bay	Year 12	45782
Wright	Did not go to school	446
Wright	Year 8	6657
Wright	Year 9	7315
Wright	Year 10	33379
Wright	Year 11	10503
Wright	Year 12	53637
No usual address (Qld)	Did not go to school	70
No usual address (Qld)	Year 8	510
No usual address (Qld)	Year 9	729
No usual address (Qld)	Year 10	2664
No usual address (Qld)	Year 11	867
No usual address (Qld)	Year 12	4206
Migratory - Offshore - Shipping (Qld)	Year 8	17
Migratory - Offshore - Shipping (Qld)	Year 9	11
Migratory - Offshore - Shipping (Qld)	Year 10	39
Migratory - Offshore - Shipping (Qld)	Year 11	15
Migratory - Offshore - Shipping (Qld)	Year 12	50
Adelaide	Did not go to school	1983
Adelaide	Year 8	6077
Adelaide	Year 9	4363
Adelaide	Year 10	12031
Adelaide	Year 11	14941
Adelaide	Year 12	89589
Barker	Did not go to school	788
Barker	Year 8	9887
Barker	Year 9	9205
Barker	Year 10	24736
Barker	Year 11	25595
Barker	Year 12	40390
Boothby	Did not go to school	600
Boothby	Year 8	4203
Boothby	Year 9	4994
Boothby	Year 10	15575
Boothby	Year 11	18614
Boothby	Year 12	70633
Grey	Did not go to school	432
Grey	Year 8	8725
Grey	Year 9	8578
Grey	Year 10	23806
Grey	Year 11	25608
Grey	Year 12	36934
Hindmarsh	Did not go to school	1052
Hindmarsh	Year 8	7222
Hindmarsh	Year 9	5406
Hindmarsh	Year 10	16898
Hindmarsh	Year 11	19224
Hindmarsh	Year 12	70582
Kingston	Did not go to school	301
Kingston	Year 8	4540
Kingston	Year 9	6872
Kingston	Year 10	22941
Kingston	Year 11	24645
Kingston	Year 12	52018
Makin	Did not go to school	1008
Makin	Year 8	5620
Makin	Year 9	6392
Makin	Year 10	20717
Makin	Year 11	23088
Makin	Year 12	58336
Mayo	Did not go to school	194
Mayo	Year 8	4450
Mayo	Year 9	6153
Mayo	Year 10	19912
Mayo	Year 11	22008
Mayo	Year 12	54429
Port Adelaide	Did not go to school	3093
Port Adelaide	Year 8	9746
Port Adelaide	Year 9	7996
Port Adelaide	Year 10	21430
Port Adelaide	Year 11	22645
Port Adelaide	Year 12	60271
Sturt	Did not go to school	1090
Sturt	Year 8	6882
Sturt	Year 9	4763
Sturt	Year 10	14039
Sturt	Year 11	16739
Sturt	Year 12	74041
Wakefield	Did not go to school	1545
Wakefield	Year 8	7856
Wakefield	Year 9	9456
Wakefield	Year 10	26448
Wakefield	Year 11	27562
Wakefield	Year 12	48354
No usual address (SA)	Did not go to school	30
No usual address (SA)	Year 8	143
No usual address (SA)	Year 9	178
No usual address (SA)	Year 10	475
No usual address (SA)	Year 11	352
No usual address (SA)	Year 12	845
Migratory - Offshore - Shipping (SA)	Year 12	5
Brand	Did not go to school	350
Brand	Year 8	3411
Brand	Year 9	6448
Brand	Year 10	32265
Brand	Year 11	16009
Brand	Year 12	55973
Burt	Did not go to school	1231
Burt	Year 8	4128
Burt	Year 9	6314
Burt	Year 10	28952
Burt	Year 11	13914
Burt	Year 12	67188
Canning	Did not go to school	302
Canning	Year 8	4329
Canning	Year 9	7419
Canning	Year 10	33575
Canning	Year 11	14487
Canning	Year 12	46987
Cowan	Did not go to school	1650
Cowan	Year 8	4609
Cowan	Year 9	5487
Cowan	Year 10	25116
Cowan	Year 11	12408
Cowan	Year 12	59449
Curtin	Did not go to school	238
Curtin	Year 8	1817
Curtin	Year 9	3240
Curtin	Year 10	11987
Curtin	Year 11	6876
Curtin	Year 12	84629
Durack	Did not go to school	884
Durack	Year 8	5418
Durack	Year 9	7406
Durack	Year 10	35063
Durack	Year 11	17510
Durack	Year 12	55556
Forrest	Did not go to school	356
Forrest	Year 8	3943
Forrest	Year 9	6542
Forrest	Year 10	32618
Forrest	Year 11	14094
Forrest	Year 12	48286
Fremantle	Did not go to school	735
Fremantle	Year 8	4605
Fremantle	Year 9	5037
Fremantle	Year 10	22117
Fremantle	Year 11	10719
Fremantle	Year 12	67444
Hasluck	Did not go to school	826
Hasluck	Year 8	3930
Hasluck	Year 9	5794
Hasluck	Year 10	26916
Hasluck	Year 11	12358
Hasluck	Year 12	55735
Moore	Did not go to school	208
Moore	Year 8	2016
Moore	Year 9	4156
Moore	Year 10	22200
Moore	Year 11	11698
Moore	Year 12	67201
O'Connor	Did not go to school	566
O'Connor	Year 8	5389
O'Connor	Year 9	7642
O'Connor	Year 10	33569
O'Connor	Year 11	14757
O'Connor	Year 12	47445
Pearce	Did not go to school	605
Pearce	Year 8	3270
Pearce	Year 9	6390
Pearce	Year 10	31982
Pearce	Year 11	16312
Pearce	Year 12	67790
Perth	Did not go to school	1022
Perth	Year 8	4395
Perth	Year 9	3902
Perth	Year 10	17522
Perth	Year 11	8805
Perth	Year 12	80784
Stirling	Did not go to school	1652
Stirling	Year 8	5786
Stirling	Year 9	4572
Stirling	Year 10	19599
Stirling	Year 11	9715
Stirling	Year 12	71418
Swan	Did not go to school	1126
Swan	Year 8	4179
Swan	Year 9	4690
Swan	Year 10	19631
Swan	Year 11	10131
Swan	Year 12	84038
Tangney	Did not go to school	511
Tangney	Year 8	2865
Tangney	Year 9	4298
Tangney	Year 10	17608
Tangney	Year 11	8529
Tangney	Year 12	71607
No usual address (WA)	Did not go to school	33
No usual address (WA)	Year 8	142
No usual address (WA)	Year 9	262
No usual address (WA)	Year 10	1144
No usual address (WA)	Year 11	488
No usual address (WA)	Year 12	1909
Migratory - Offshore - Shipping (WA)	Year 8	8
Migratory - Offshore - Shipping (WA)	Year 9	13
Migratory - Offshore - Shipping (WA)	Year 10	84
Migratory - Offshore - Shipping (WA)	Year 11	44
Migratory - Offshore - Shipping (WA)	Year 12	215
Bass	Did not go to school	572
Bass	Year 8	4271
Bass	Year 9	6677
Bass	Year 10	26069
Bass	Year 11	7208
Bass	Year 12	30907
Braddon	Did not go to school	247
Braddon	Year 8	4814
Braddon	Year 9	8397
Braddon	Year 10	29569
Braddon	Year 11	7557
Braddon	Year 12	21598
Denison	Did not go to school	580
Denison	Year 8	3547
Denison	Year 9	4966
Denison	Year 10	18233
Denison	Year 11	6261
Denison	Year 12	45221
Franklin	Did not go to school	192
Franklin	Year 8	3242
Franklin	Year 9	5723
Franklin	Year 10	23818
Franklin	Year 11	7797
Franklin	Year 12	37773
Lyons	Did not go to school	258
Lyons	Year 8	4556
Lyons	Year 9	8783
Lyons	Year 10	29997
Lyons	Year 11	7758
Lyons	Year 12	24943
No usual address (Tas.)	Did not go to school	3
No usual address (Tas.)	Year 8	34
No usual address (Tas.)	Year 9	51
No usual address (Tas.)	Year 10	209
No usual address (Tas.)	Year 11	62
No usual address (Tas.)	Year 12	296
Migratory - Offshore - Shipping (Tas.)	Year 10	22
Migratory - Offshore - Shipping (Tas.)	Year 11	10
Migratory - Offshore - Shipping (Tas.)	Year 12	25
Lingiari	Did not go to school	1738
Lingiari	Year 8	7777
Lingiari	Year 9	6123
Lingiari	Year 10	16897
Lingiari	Year 11	10318
Lingiari	Year 12	28258
Solomon	Did not go to school	599
Solomon	Year 8	2867
Solomon	Year 9	3392
Solomon	Year 10	14013
Solomon	Year 11	10240
Solomon	Year 12	48685
No usual address (NT)	Did not go to school	19
No usual address (NT)	Year 8	124
No usual address (NT)	Year 9	144
No usual address (NT)	Year 10	434
No usual address (NT)	Year 11	170
No usual address (NT)	Year 12	654
Migratory - Offshore - Shipping (NT)	Year 9	8
Migratory - Offshore - Shipping (NT)	Year 10	8
Migratory - Offshore - Shipping (NT)	Year 11	6
Migratory - Offshore - Shipping (NT)	Year 12	42
Canberra	Did not go to school	575
Canberra	Year 8	3838
Canberra	Year 9	5712
Canberra	Year 10	22385
Canberra	Year 11	8097
Canberra	Year 12	109376
Fenner	Did not go to school	828
Fenner	Year 8	3954
Fenner	Year 9	5250
Fenner	Year 10	19549
Fenner	Year 11	7569
Fenner	Year 12	115141
No usual address (ACT)	Did not go to school	3
No usual address (ACT)	Year 8	12
No usual address (ACT)	Year 9	23
No usual address (ACT)	Year 10	86
No usual address (ACT)	Year 11	20
No usual address (ACT)	Year 12	257
No usual address (OT)	Year 9	3
No usual address (OT)	Year 10	11
No usual address (OT)	Year 11	3
No usual address (OT)	Year 12	25
Migratory - Offshore - Shipping (OT)	Year 9	3
Migratory - Offshore - Shipping (OT)	Year 10	3
