CED_NAME16	FamilyComposition	families_with_children
Grayndler	Step family with no other children present	784
Grayndler	Step family with other children present	8
Greenway	Blended family with no other children present	693
Greenway	Blended family with other children present	21
Greenway	Intact family with no other children present	24166
Greenway	Intact family with other children present	415
Greenway	Other couple family with other children only	82
Greenway	Step family with no other children present	1284
Greenway	Step family with other children present	33
Hughes	Blended family with no other children present	623
Hughes	Blended family with other children present	5
Hughes	Intact family with no other children present	20243
Hughes	Intact family with other children present	170
Hughes	Other couple family with other children only	51
Hughes	Step family with no other children present	1094
Hughes	Step family with other children present	11
Hume	Blended family with no other children present	1027
Hume	Blended family with other children present	22
Hume	Intact family with no other children present	16831
Hume	Intact family with other children present	227
Hume	Other couple family with other children only	126
Hume	Step family with no other children present	1338
Hume	Step family with other children present	26
Hunter	Blended family with no other children present	966
Hunter	Blended family with other children present	22
Hunter	Intact family with no other children present	14637
Hunter	Intact family with other children present	208
Hunter	Other couple family with other children only	158
Hunter	Step family with no other children present	1447
Hunter	Step family with other children present	42
Kingsford Smith	Blended family with no other children present	416
Kingsford Smith	Blended family with other children present	6
Kingsford Smith	Intact family with no other children present	17285
Kingsford Smith	Intact family with other children present	178
Kingsford Smith	Other couple family with other children only	66
Kingsford Smith	Step family with no other children present	839
Kingsford Smith	Step family with other children present	8
Lindsay	Blended family with no other children present	1045
Lindsay	Blended family with other children present	30
Lindsay	Intact family with no other children present	17913
Lindsay	Intact family with other children present	286
Lindsay	Other couple family with other children only	130
Lindsay	Step family with no other children present	1531
Lindsay	Step family with other children present	46
Lyne	Blended family with no other children present	662
Lyne	Blended family with other children present	16
Lyne	Intact family with no other children present	11216
Lyne	Intact family with other children present	192
Lyne	Other couple family with other children only	178
Lyne	Step family with no other children present	1011
Lyne	Step family with other children present	23
Macarthur	Blended family with no other children present	1002
Macarthur	Blended family with other children present	30
Macarthur	Intact family with no other children present	18637
Macarthur	Intact family with other children present	404
Macarthur	Other couple family with other children only	134
Macarthur	Step family with no other children present	1387
Macarthur	Step family with other children present	48
Mackellar	Blended family with no other children present	508
Mackellar	Blended family with other children present	3
Mackellar	Intact family with no other children present	18862
Mackellar	Intact family with other children present	156
Mackellar	Other couple family with other children only	51
Mackellar	Step family with no other children present	1121
Mackellar	Step family with other children present	14
Macquarie	Blended family with no other children present	814
Macquarie	Blended family with other children present	5
Macquarie	Intact family with no other children present	15078
Macquarie	Intact family with other children present	190
Macquarie	Other couple family with other children only	98
Macquarie	Step family with no other children present	1321
Macquarie	Step family with other children present	29
McMahon	Blended family with no other children present	620
McMahon	Blended family with other children present	21
McMahon	Intact family with no other children present	20772
McMahon	Intact family with other children present	393
McMahon	Other couple family with other children only	80
McMahon	Step family with no other children present	971
McMahon	Step family with other children present	33
Mitchell	Blended family with no other children present	579
Mitchell	Blended family with other children present	16
Mitchell	Intact family with no other children present	23557
Mitchell	Intact family with other children present	256
Mitchell	Other couple family with other children only	33
Mitchell	Step family with no other children present	1077
Mitchell	Step family with other children present	29
New England	Blended family with no other children present	707
New England	Blended family with other children present	25
New England	Intact family with no other children present	12585
New England	Intact family with other children present	167
New England	Other couple family with other children only	140
New England	Step family with no other children present	1044
New England	Step family with other children present	25
Newcastle	Blended family with no other children present	591
Newcastle	Blended family with other children present	6
Newcastle	Intact family with no other children present	14084
Newcastle	Intact family with other children present	131
Newcastle	Other couple family with other children only	73
Newcastle	Step family with no other children present	1074
Newcastle	Step family with other children present	23
North Sydney	Blended family with no other children present	279
North Sydney	Intact family with no other children present	18042
North Sydney	Intact family with other children present	107
North Sydney	Other couple family with other children only	30
North Sydney	Step family with no other children present	812
North Sydney	Step family with other children present	6
Page	Blended family with no other children present	777
Page	Blended family with other children present	14
Page	Intact family with no other children present	12472
Page	Intact family with other children present	242
Page	Other couple family with other children only	148
Page	Step family with no other children present	1140
Page	Step family with other children present	34
Parkes	Blended family with no other children present	752
Parkes	Blended family with other children present	27
Parkes	Intact family with no other children present	12461
Parkes	Intact family with other children present	218
Parkes	Other couple family with other children only	202
Parkes	Step family with no other children present	896
Parkes	Step family with other children present	34
Parramatta	Blended family with no other children present	387
Parramatta	Blended family with other children present	10
Parramatta	Intact family with no other children present	23463
Parramatta	Intact family with other children present	334
Parramatta	Other couple family with other children only	56
Parramatta	Step family with no other children present	869
Parramatta	Step family with other children present	15
Paterson	Blended family with no other children present	1022
Paterson	Blended family with other children present	18
Paterson	Intact family with no other children present	14396
Paterson	Intact family with other children present	228
Paterson	Other couple family with other children only	160
Paterson	Step family with no other children present	1426
Paterson	Step family with other children present	43
Reid	Blended family with no other children present	295
Reid	Blended family with other children present	9
Reid	Intact family with no other children present	20010
Reid	Intact family with other children present	216
Reid	Other couple family with other children only	54
Reid	Step family with no other children present	831
Reid	Step family with other children present	7
Richmond	Blended family with no other children present	607
Richmond	Blended family with other children present	5
Richmond	Intact family with no other children present	12557
Richmond	Intact family with other children present	129
Richmond	Other couple family with other children only	110
Richmond	Step family with no other children present	1048
Richmond	Step family with other children present	9
Riverina	Blended family with no other children present	795
Riverina	Blended family with other children present	12
Riverina	Intact family with no other children present	13486
Riverina	Intact family with other children present	147
Riverina	Other couple family with other children only	136
Riverina	Step family with no other children present	965
Riverina	Step family with other children present	30
Robertson	Blended family with no other children present	655
Robertson	Blended family with other children present	13
Robertson	Intact family with no other children present	14043
Robertson	Intact family with other children present	130
Robertson	Other couple family with other children only	105
Robertson	Step family with no other children present	1162
Robertson	Step family with other children present	20
Shortland	Blended family with no other children present	743
Shortland	Blended family with other children present	10
Shortland	Intact family with no other children present	14183
Shortland	Intact family with other children present	187
Shortland	Other couple family with other children only	117
Shortland	Step family with no other children present	1291
Shortland	Step family with other children present	32
Sydney	Blended family with no other children present	128
Sydney	Intact family with no other children present	8358
Sydney	Intact family with other children present	68
Sydney	Other couple family with other children only	34
Sydney	Step family with no other children present	574
Sydney	Step family with other children present	7
Warringah	Blended family with no other children present	323
Warringah	Blended family with other children present	4
Warringah	Intact family with no other children present	17588
Warringah	Intact family with other children present	87
Warringah	Other couple family with other children only	32
Warringah	Step family with no other children present	839
Warringah	Step family with other children present	12
Watson	Blended family with no other children present	472
Watson	Blended family with other children present	6
Watson	Intact family with no other children present	21527
Watson	Intact family with other children present	349
Watson	Other couple family with other children only	58
Watson	Step family with no other children present	891
Watson	Step family with other children present	26
Wentworth	Blended family with no other children present	219
Wentworth	Blended family with other children present	3
Wentworth	Intact family with no other children present	13416
Wentworth	Intact family with other children present	58
Wentworth	Other couple family with other children only	15
Wentworth	Step family with no other children present	684
Werriwa	Blended family with no other children present	774
Werriwa	Blended family with other children present	30
Werriwa	Intact family with no other children present	22618
Werriwa	Intact family with other children present	486
Werriwa	Other couple family with other children only	105
Werriwa	Step family with no other children present	1020
Werriwa	Step family with other children present	35
Whitlam	Blended family with no other children present	910
Whitlam	Blended family with other children present	18
Whitlam	Intact family with no other children present	15231
Whitlam	Intact family with other children present	211
Whitlam	Other couple family with other children only	139
Whitlam	Step family with no other children present	1396
Whitlam	Step family with other children present	34
Aston	Blended family with no other children present	526
Aston	Blended family with other children present	7
Aston	Intact family with no other children present	17534
Aston	Intact family with other children present	187
Aston	Other couple family with other children only	56
Aston	Step family with no other children present	1109
Aston	Step family with other children present	18
Ballarat	Blended family with no other children present	761
Ballarat	Blended family with other children present	7
Ballarat	Intact family with no other children present	14475
Ballarat	Intact family with other children present	130
Ballarat	Other couple family with other children only	78
Ballarat	Step family with no other children present	1173
Ballarat	Step family with other children present	21
Batman	Blended family with no other children present	302
Batman	Blended family with other children present	5
Batman	Intact family with no other children present	16262
Batman	Intact family with other children present	177
Batman	Other couple family with other children only	42
Batman	Step family with no other children present	761
Batman	Step family with other children present	8
Bendigo	Blended family with no other children present	703
Bendigo	Blended family with other children present	6
Bendigo	Intact family with no other children present	13693
Bendigo	Intact family with other children present	98
Bendigo	Other couple family with other children only	83
Bendigo	Step family with no other children present	1116
Bendigo	Step family with other children present	21
Bruce	Blended family with no other children present	357
Bruce	Blended family with other children present	12
Bruce	Intact family with no other children present	18782
Bruce	Intact family with other children present	308
Bruce	Other couple family with other children only	58
Bruce	Step family with no other children present	834
Bruce	Step family with other children present	23
Calwell	Blended family with no other children present	510
Calwell	Blended family with other children present	8
Calwell	Intact family with no other children present	21526
Calwell	Intact family with other children present	320
Calwell	Other couple family with other children only	60
Calwell	Step family with no other children present	954
Calwell	Step family with other children present	15
Casey	Blended family with no other children present	793
Casey	Blended family with other children present	12
Casey	Intact family with no other children present	15969
Casey	Intact family with other children present	175
Casey	Other couple family with other children only	70
Casey	Step family with no other children present	1403
Casey	Step family with other children present	30
Chisholm	Blended family with no other children present	278
Chisholm	Blended family with other children present	4
Chisholm	Intact family with no other children present	18236
Chisholm	Intact family with other children present	166
Chisholm	Other couple family with other children only	46
Chisholm	Step family with no other children present	759
Chisholm	Step family with other children present	7
Corangamite	Blended family with no other children present	595
Corangamite	Blended family with other children present	5
Corangamite	Intact family with no other children present	16288
Corangamite	Intact family with other children present	94
Corangamite	Other couple family with other children only	50
Corangamite	Step family with no other children present	1089
Corangamite	Step family with other children present	16
Corio	Blended family with no other children present	616
Corio	Blended family with other children present	9
Corio	Intact family with no other children present	13561
Corio	Intact family with other children present	106
Corio	Other couple family with other children only	90
Corio	Step family with no other children present	1160
Corio	Step family with other children present	20
Deakin	Blended family with no other children present	382
Deakin	Blended family with other children present	4
Deakin	Intact family with no other children present	17586
Deakin	Intact family with other children present	158
Deakin	Other couple family with other children only	27
Deakin	Step family with no other children present	934
Deakin	Step family with other children present	14
Dunkley	Blended family with no other children present	683
Dunkley	Blended family with other children present	11
Dunkley	Intact family with no other children present	14396
Dunkley	Intact family with other children present	146
Dunkley	Other couple family with other children only	61
Dunkley	Step family with no other children present	1363
Dunkley	Step family with other children present	26
Flinders	Blended family with no other children present	797
Flinders	Blended family with other children present	10
Flinders	Intact family with no other children present	14311
Flinders	Intact family with other children present	121
Flinders	Other couple family with other children only	76
Flinders	Step family with no other children present	1336
Flinders	Step family with other children present	15
Gellibrand	Blended family with no other children present	401
Gellibrand	Blended family with other children present	13
Gellibrand	Intact family with no other children present	17590
Gellibrand	Intact family with other children present	189
Gellibrand	Other couple family with other children only	56
Gellibrand	Step family with no other children present	884
Gellibrand	Step family with other children present	13
Gippsland	Blended family with no other children present	668
Gippsland	Blended family with other children present	15
Gippsland	Intact family with no other children present	11706
Gippsland	Intact family with other children present	114
Gippsland	Other couple family with other children only	121
Gippsland	Step family with no other children present	1082
Gippsland	Step family with other children present	23
Goldstein	Blended family with no other children present	322
Goldstein	Blended family with other children present	3
Goldstein	Intact family with no other children present	18946
Goldstein	Intact family with other children present	101
Goldstein	Other couple family with other children only	35
Goldstein	Step family with no other children present	929
Goldstein	Step family with other children present	7
Gorton	Blended family with no other children present	954
Gorton	Blended family with other children present	34
Gorton	Intact family with no other children present	24563
Gorton	Intact family with other children present	420
Gorton	Other couple family with other children only	112
Gorton	Step family with no other children present	1480
Gorton	Step family with other children present	37
Higgins	Blended family with no other children present	215
Higgins	Intact family with no other children present	14971
Higgins	Intact family with other children present	88
Higgins	Other couple family with other children only	26
Higgins	Step family with no other children present	682
Higgins	Step family with other children present	5
Holt	Blended family with no other children present	1029
Holt	Blended family with other children present	23
Holt	Intact family with no other children present	25637
Holt	Intact family with other children present	460
Holt	Other couple family with other children only	86
Holt	Step family with no other children present	1642
Holt	Step family with other children present	45
Hotham	Blended family with no other children present	437
Hotham	Blended family with other children present	6
Hotham	Intact family with no other children present	18385
Hotham	Intact family with other children present	277
Hotham	Other couple family with other children only	62
Hotham	Step family with no other children present	966
Hotham	Step family with other children present	34
Indi	Blended family with no other children present	677
Indi	Blended family with other children present	4
Indi	Intact family with no other children present	12000
Indi	Intact family with other children present	115
Indi	Other couple family with other children only	92
Indi	Step family with no other children present	1035
Indi	Step family with other children present	12
Isaacs	Blended family with no other children present	633
Isaacs	Blended family with other children present	6
Isaacs	Intact family with no other children present	18653
Isaacs	Intact family with other children present	245
Isaacs	Other couple family with other children only	55
Isaacs	Step family with no other children present	1250
Isaacs	Step family with other children present	28
Jagajaga	Blended family with no other children present	364
Jagajaga	Intact family with no other children present	17718
Jagajaga	Intact family with other children present	119
Jagajaga	Other couple family with other children only	46
Jagajaga	Step family with no other children present	907
Jagajaga	Step family with other children present	15
Kooyong	Blended family with no other children present	265
Kooyong	Blended family with other children present	6
Kooyong	Intact family with no other children present	17519
Kooyong	Intact family with other children present	136
Kooyong	Other couple family with other children only	19
Kooyong	Step family with no other children present	739
Kooyong	Step family with other children present	11
La Trobe	Blended family with no other children present	786
La Trobe	Blended family with other children present	13
La Trobe	Intact family with no other children present	20675
La Trobe	Intact family with other children present	218
La Trobe	Other couple family with other children only	56
La Trobe	Step family with no other children present	1417
La Trobe	Step family with other children present	22
Lalor	Blended family with no other children present	1086
Lalor	Blended family with other children present	28
Lalor	Intact family with no other children present	30941
Lalor	Intact family with other children present	461
Lalor	Other couple family with other children only	99
Lalor	Step family with no other children present	1719
Lalor	Step family with other children present	56
Mallee	Blended family with no other children present	648
Mallee	Blended family with other children present	12
Mallee	Intact family with no other children present	11760
Mallee	Intact family with other children present	120
Mallee	Other couple family with other children only	118
Mallee	Step family with no other children present	916
Mallee	Step family with other children present	26
Maribyrnong	Blended family with no other children present	440
Maribyrnong	Blended family with other children present	10
Maribyrnong	Intact family with no other children present	18392
Maribyrnong	Intact family with other children present	267
Maribyrnong	Other couple family with other children only	71
Maribyrnong	Step family with no other children present	937
Maribyrnong	Step family with other children present	24
McEwen	Blended family with no other children present	1156
McEwen	Blended family with other children present	20
McEwen	Intact family with no other children present	26743
McEwen	Intact family with other children present	260
McEwen	Other couple family with other children only	91
McEwen	Step family with no other children present	1780
McEwen	Step family with other children present	38
McMillan	Blended family with no other children present	982
McMillan	Blended family with other children present	13
McMillan	Intact family with no other children present	15809
McMillan	Intact family with other children present	164
McMillan	Other couple family with other children only	118
McMillan	Step family with no other children present	1369
McMillan	Step family with other children present	26
Melbourne	Blended family with no other children present	173
Melbourne	Blended family with other children present	3
Melbourne	Intact family with no other children present	10684
Melbourne	Intact family with other children present	60
Melbourne	Other couple family with other children only	32
Melbourne	Step family with no other children present	634
Melbourne	Step family with other children present	4
Melbourne Ports	Blended family with no other children present	163
Melbourne Ports	Intact family with no other children present	11374
Melbourne Ports	Intact family with other children present	49
Melbourne Ports	Other couple family with other children only	21
Melbourne Ports	Step family with no other children present	635
Melbourne Ports	Step family with other children present	6
Menzies	Blended family with no other children present	342
Menzies	Blended family with other children present	10
Menzies	Intact family with no other children present	18488
Menzies	Intact family with other children present	181
Menzies	Other couple family with other children only	39
Menzies	Step family with no other children present	868
Menzies	Step family with other children present	9
Murray	Blended family with no other children present	648
Murray	Blended family with other children present	9
Murray	Intact family with no other children present	12746
Murray	Intact family with other children present	128
Murray	Other couple family with other children only	92
Murray	Step family with no other children present	974
Murray	Step family with other children present	19
Scullin	Blended family with no other children present	562
Scullin	Blended family with other children present	11
Scullin	Intact family with no other children present	22273
Scullin	Intact family with other children present	322
Scullin	Other couple family with other children only	60
Scullin	Step family with no other children present	1005
Scullin	Step family with other children present	16
Wannon	Blended family with no other children present	639
Wannon	Blended family with other children present	8
Wannon	Intact family with no other children present	11432
Wannon	Intact family with other children present	91
Wannon	Other couple family with other children only	102
Wannon	Step family with no other children present	870
Wannon	Step family with other children present	15
Wills	Blended family with no other children present	341
Wills	Blended family with other children present	3
Wills	Intact family with no other children present	17277
Wills	Intact family with other children present	143
Wills	Other couple family with other children only	28
Wills	Step family with no other children present	744
Wills	Step family with other children present	15
Blair	Blended family with no other children present	1205
Blair	Blended family with other children present	23
Blair	Intact family with no other children present	14094
Blair	Intact family with other children present	251
Blair	Other couple family with other children only	130
Blair	Step family with no other children present	1525
Blair	Step family with other children present	30
Bonner	Blended family with no other children present	640
Bonner	Blended family with other children present	13
Bonner	Intact family with no other children present	17200
Bonner	Intact family with other children present	180
Bonner	Other couple family with other children only	55
Bonner	Step family with no other children present	1275
Bonner	Step family with other children present	17
Bowman	Blended family with no other children present	895
Bowman	Blended family with other children present	11
Bowman	Intact family with no other children present	15546
Bowman	Intact family with other children present	155
Bowman	Other couple family with other children only	73
Bowman	Step family with no other children present	1532
Bowman	Step family with other children present	35
Brisbane	Blended family with no other children present	286
Brisbane	Intact family with no other children present	12975
Brisbane	Intact family with other children present	70
Brisbane	Other couple family with other children only	24
Brisbane	Step family with no other children present	868
Brisbane	Step family with other children present	8
Capricornia	Blended family with no other children present	853
Capricornia	Blended family with other children present	14
Capricornia	Intact family with no other children present	14088
Capricornia	Intact family with other children present	167
Capricornia	Other couple family with other children only	95
Capricornia	Step family with no other children present	1156
Capricornia	Step family with other children present	36
Dawson	Blended family with no other children present	772
Dawson	Blended family with other children present	18
Dawson	Intact family with no other children present	14566
Dawson	Intact family with other children present	162
Dawson	Other couple family with other children only	100
Dawson	Step family with no other children present	1286
Dawson	Step family with other children present	30
Dickson	Blended family with no other children present	899
Dickson	Blended family with other children present	14
Dickson	Intact family with no other children present	17570
Dickson	Intact family with other children present	196
Dickson	Other couple family with other children only	86
Dickson	Step family with no other children present	1430
Dickson	Step family with other children present	21
Fadden	Blended family with no other children present	988
Fadden	Blended family with other children present	13
Fadden	Intact family with no other children present	16274
Fadden	Intact family with other children present	205
Fadden	Other couple family with other children only	75
Fadden	Step family with no other children present	1650
Fadden	Step family with other children present	36
Fairfax	Blended family with no other children present	678
Fairfax	Blended family with other children present	3
Fairfax	Intact family with no other children present	14622
Fairfax	Intact family with other children present	130
Fairfax	Other couple family with other children only	57
Fairfax	Step family with no other children present	1347
Fairfax	Step family with other children present	18
Fisher	Blended family with no other children present	700
Fisher	Blended family with other children present	15
Fisher	Intact family with no other children present	12533
Fisher	Intact family with other children present	145
Fisher	Other couple family with other children only	68
Fisher	Step family with no other children present	1216
Fisher	Step family with other children present	22
Flynn	Blended family with no other children present	989
Flynn	Blended family with other children present	7
Flynn	Intact family with no other children present	14913
Flynn	Intact family with other children present	172
Flynn	Other couple family with other children only	153
Flynn	Step family with no other children present	1168
Flynn	Step family with other children present	22
Forde	Blended family with no other children present	1280
Forde	Blended family with other children present	34
Forde	Intact family with no other children present	16854
Forde	Intact family with other children present	323
Forde	Other couple family with other children only	129
Forde	Step family with no other children present	1759
Forde	Step family with other children present	52
Griffith	Blended family with no other children present	374
Griffith	Blended family with other children present	3
Griffith	Intact family with no other children present	14401
Griffith	Intact family with other children present	109
Griffith	Other couple family with other children only	28
Griffith	Step family with no other children present	956
Griffith	Step family with other children present	18
Groom	Blended family with no other children present	811
Groom	Blended family with other children present	18
Groom	Intact family with no other children present	13686
Groom	Intact family with other children present	174
Groom	Other couple family with other children only	104
Groom	Step family with no other children present	1070
Groom	Step family with other children present	19
Herbert	Blended family with no other children present	1004
Herbert	Blended family with other children present	27
Herbert	Intact family with no other children present	13814
Herbert	Intact family with other children present	206
Herbert	Other couple family with other children only	116
Herbert	Step family with no other children present	1401
Herbert	Step family with other children present	38
Hinkler	Blended family with no other children present	767
Hinkler	Blended family with other children present	18
Hinkler	Intact family with no other children present	10162
Hinkler	Intact family with other children present	127
Hinkler	Other couple family with other children only	102
Hinkler	Step family with no other children present	1171
Hinkler	Step family with other children present	30
Kennedy	Blended family with no other children present	727
Kennedy	Blended family with other children present	22
Kennedy	Intact family with no other children present	12869
Kennedy	Intact family with other children present	280
Kennedy	Other couple family with other children only	162
Kennedy	Step family with no other children present	1034
Kennedy	Step family with other children present	39
Leichhardt	Blended family with no other children present	761
Leichhardt	Blended family with other children present	32
Leichhardt	Intact family with no other children present	14375
Leichhardt	Intact family with other children present	357
Leichhardt	Other couple family with other children only	191
Leichhardt	Step family with no other children present	1323
Leichhardt	Step family with other children present	61
Lilley	Blended family with no other children present	562
Lilley	Blended family with other children present	13
Lilley	Intact family with no other children present	15900
Lilley	Intact family with other children present	183
Lilley	Other couple family with other children only	43
Lilley	Step family with no other children present	1233
Lilley	Step family with other children present	19
Longman	Blended family with no other children present	1314
Longman	Blended family with other children present	25
Longman	Intact family with no other children present	14330
Longman	Intact family with other children present	214
Longman	Other couple family with other children only	113
Longman	Step family with no other children present	1763
Longman	Step family with other children present	62
Maranoa	Blended family with no other children present	779
Maranoa	Blended family with other children present	13
Maranoa	Intact family with no other children present	12680
Maranoa	Intact family with other children present	140
Maranoa	Other couple family with other children only	122
Maranoa	Step family with no other children present	950
Maranoa	Step family with other children present	22
McPherson	Blended family with no other children present	647
McPherson	Blended family with other children present	7
McPherson	Intact family with no other children present	14682
McPherson	Intact family with other children present	158
McPherson	Other couple family with other children only	76
McPherson	Step family with no other children present	1319
McPherson	Step family with other children present	36
Moncrieff	Blended family with no other children present	532
Moncrieff	Blended family with other children present	13
Moncrieff	Intact family with no other children present	12083
Moncrieff	Intact family with other children present	134
Moncrieff	Other couple family with other children only	55
Moncrieff	Step family with no other children present	1227
Moncrieff	Step family with other children present	23
Moreton	Blended family with no other children present	412
Moreton	Blended family with other children present	7
Moreton	Intact family with no other children present	16884
Moreton	Intact family with other children present	257
Moreton	Other couple family with other children only	74
Moreton	Step family with no other children present	951
Moreton	Step family with other children present	27
Oxley	Blended family with no other children present	947
Oxley	Blended family with other children present	26
Oxley	Intact family with no other children present	18001
Oxley	Intact family with other children present	377
Oxley	Other couple family with other children only	117
Oxley	Step family with no other children present	1498
Oxley	Step family with other children present	45
Petrie	Blended family with no other children present	1027
Petrie	Blended family with other children present	12
Petrie	Intact family with no other children present	15819
Petrie	Intact family with other children present	220
Petrie	Other couple family with other children only	104
Petrie	Step family with no other children present	1674
Petrie	Step family with other children present	38
Rankin	Blended family with no other children present	1139
Rankin	Blended family with other children present	29
Rankin	Intact family with no other children present	19046
Rankin	Intact family with other children present	439
Rankin	Other couple family with other children only	124
Rankin	Step family with no other children present	1557
Rankin	Step family with other children present	43
Ryan	Blended family with no other children present	485
Ryan	Intact family with no other children present	17485
Ryan	Intact family with other children present	124
Ryan	Other couple family with other children only	39
Ryan	Step family with no other children present	1004
Ryan	Step family with other children present	10
Wide Bay	Blended family with no other children present	714
Wide Bay	Blended family with other children present	11
Wide Bay	Intact family with no other children present	11118
Wide Bay	Intact family with other children present	153
Wide Bay	Other couple family with other children only	86
Wide Bay	Step family with no other children present	1111
Wide Bay	Step family with other children present	44
Wright	Blended family with no other children present	1105
Wright	Blended family with other children present	21
Wright	Intact family with no other children present	16310
Wright	Intact family with other children present	248
Wright	Other couple family with other children only	159
Wright	Step family with no other children present	1561
Wright	Step family with other children present	54
Adelaide	Blended family with no other children present	347
Adelaide	Blended family with other children present	4
Adelaide	Intact family with no other children present	15001
Adelaide	Intact family with other children present	125
Adelaide	Other couple family with other children only	43
Adelaide	Step family with no other children present	904
Adelaide	Step family with other children present	15
Barker	Blended family with no other children present	778
Barker	Blended family with other children present	4
Barker	Intact family with no other children present	12715
Barker	Intact family with other children present	119
Barker	Other couple family with other children only	129
Barker	Step family with no other children present	1132
Barker	Step family with other children present	25
Boothby	Blended family with no other children present	482
Boothby	Blended family with other children present	3
Boothby	Intact family with no other children present	16060
Boothby	Intact family with other children present	124
Boothby	Other couple family with other children only	48
Boothby	Step family with no other children present	1133
Boothby	Step family with other children present	10
Grey	Blended family with no other children present	707
Grey	Blended family with other children present	19
Grey	Intact family with no other children present	11161
Grey	Intact family with other children present	165
Grey	Other couple family with other children only	138
Grey	Step family with no other children present	950
Grey	Step family with other children present	26
Hindmarsh	Blended family with no other children present	401
Hindmarsh	Blended family with other children present	7
Hindmarsh	Intact family with no other children present	14578
Hindmarsh	Intact family with other children present	137
Hindmarsh	Other couple family with other children only	45
Hindmarsh	Step family with no other children present	1032
Hindmarsh	Step family with other children present	13
Kingston	Blended family with no other children present	942
Kingston	Blended family with other children present	9
Kingston	Intact family with no other children present	14308
