CED_NAME16	Sex	persons
Fremantle	F	75880
Fremantle	M	72863
Hasluck	F	70743
Hasluck	M	72879
Moore	F	70718
Moore	M	69543
O'Connor	F	76555
O'Connor	M	79764
Pearce	F	91795
Pearce	M	89974
Perth	F	75634
Perth	M	75460
Stirling	F	75389
Stirling	M	72601
Swan	F	81047
Swan	M	82159
Tangney	F	69914
Tangney	M	66123
No usual address (WA)	F	2415
No usual address (WA)	M	3532
Migratory - Offshore - Shipping (WA)	F	26
Migratory - Offshore - Shipping (WA)	M	408
Bass	F	52099
Bass	M	49289
Braddon	F	49808
Braddon	M	47253
Denison	F	52758
Denison	M	49817
Franklin	F	53619
Franklin	M	50828
Lyons	F	51790
Lyons	M	51723
No usual address (Tas.)	F	393
No usual address (Tas.)	M	524
Migratory - Offshore - Shipping (Tas.)	F	21
Migratory - Offshore - Shipping (Tas.)	M	49
Lingiari	F	54495
Lingiari	M	60055
Solomon	F	55594
Solomon	M	58527
No usual address (NT)	F	1157
No usual address (NT)	M	1332
Migratory - Offshore - Shipping (NT)	F	14
Migratory - Offshore - Shipping (NT)	M	61
Canberra	F	99615
Canberra	M	96420
Fenner	F	102909
Fenner	M	100046
No usual address (ACT)	F	228
No usual address (ACT)	M	312
No usual address (OT)	F	28
No usual address (OT)	M	21
Migratory - Offshore - Shipping (OT)	M	3
