CED_NAME16	OnlyEnglishSpokenHome	Sex	persons
Wannon	1	M	58813
Wills	0	F	32492
Wills	0	M	31033
Wills	1	F	49260
Wills	1	M	46971
No usual address (Vic.)	0	F	692
No usual address (Vic.)	0	M	698
No usual address (Vic.)	1	F	1835
No usual address (Vic.)	1	M	2372
Migratory - Offshore - Shipping (Vic.)	0	F	4
Migratory - Offshore - Shipping (Vic.)	0	M	7
Migratory - Offshore - Shipping (Vic.)	1	M	18
Blair	0	F	5719
Blair	0	M	5214
Blair	1	F	68000
Blair	1	M	66612
Bonner	0	F	14671
Bonner	0	M	12733
Bonner	1	F	58820
Bonner	1	M	56588
Bowman	0	F	5357
Bowman	0	M	4418
Bowman	1	F	66374
Bowman	1	M	64379
Brisbane	0	F	15227
Brisbane	0	M	14171
Brisbane	1	F	60352
Brisbane	1	M	60694
Capricornia	0	F	3545
Capricornia	0	M	3451
Capricornia	1	F	64652
Capricornia	1	M	65412
Dawson	0	F	5534
Dawson	0	M	4768
Dawson	1	F	65673
Dawson	1	M	66676
Dickson	0	F	5437
Dickson	0	M	4643
Dickson	1	F	65557
Dickson	1	M	64448
Fadden	0	F	10868
Fadden	0	M	9391
Fadden	1	F	70325
Fadden	1	M	66932
Fairfax	0	F	4493
Fairfax	0	M	3521
Fairfax	1	F	70780
Fairfax	1	M	65844
Fisher	0	F	3768
Fisher	0	M	3019
Fisher	1	F	64536
Fisher	1	M	60721
Flynn	0	F	3757
Flynn	0	M	3704
Flynn	1	F	65599
Flynn	1	M	68806
Forde	0	F	9494
Forde	0	M	8506
Forde	1	F	69828
Forde	1	M	67861
Griffith	0	F	15230
Griffith	0	M	13789
Griffith	1	F	59720
Griffith	1	M	58628
Groom	0	F	5082
Groom	0	M	4998
Groom	1	F	66698
Groom	1	M	62327
Herbert	0	F	6142
Herbert	0	M	5444
Herbert	1	F	68844
Herbert	1	M	67820
Hinkler	0	F	3429
Hinkler	0	M	2755
Hinkler	1	F	64663
Hinkler	1	M	61041
Kennedy	0	F	5735
Kennedy	0	M	5222
Kennedy	1	F	63569
Kennedy	1	M	65810
Leichhardt	0	F	17181
Leichhardt	0	M	14906
Leichhardt	1	F	62936
Leichhardt	1	M	63367
Lilley	0	F	12289
Lilley	0	M	10790
Lilley	1	F	63459
Lilley	1	M	60940
Longman	0	F	4714
Longman	0	M	3780
Longman	1	F	71605
Longman	1	M	69347
Maranoa	0	F	2625
Maranoa	0	M	2464
Maranoa	1	F	65681
Maranoa	1	M	66105
McPherson	0	F	8483
McPherson	0	M	6949
McPherson	1	F	65318
McPherson	1	M	61151
Moncrieff	0	F	14365
Moncrieff	0	M	12416
Moncrieff	1	F	60724
Moncrieff	1	M	58828
Moreton	0	F	29535
Moreton	0	M	28367
Moreton	1	F	46123
Moreton	1	M	45952
Oxley	0	F	23650
Oxley	0	M	21663
Oxley	1	F	53052
Oxley	1	M	52341
Petrie	0	F	10004
Petrie	0	M	8787
Petrie	1	F	69848
Petrie	1	M	65249
Rankin	0	F	26684
Rankin	0	M	25267
Rankin	1	F	58602
Rankin	1	M	57998
Ryan	0	F	13443
Ryan	0	M	11513
Ryan	1	F	62539
Ryan	1	M	60997
Wide Bay	0	F	2772
Wide Bay	0	M	2091
Wide Bay	1	F	64917
Wide Bay	1	M	63313
Wright	0	F	4493
Wright	0	M	3910
Wright	1	F	68617
Wright	1	M	68214
No usual address (Qld)	0	F	657
No usual address (Qld)	0	M	636
No usual address (Qld)	1	F	3934
No usual address (Qld)	1	M	4759
Migratory - Offshore - Shipping (Qld)	0	F	10
Migratory - Offshore - Shipping (Qld)	0	M	7
Migratory - Offshore - Shipping (Qld)	1	F	56
Migratory - Offshore - Shipping (Qld)	1	M	56
Adelaide	0	F	24739
Adelaide	0	M	23976
Adelaide	1	F	53133
Adelaide	1	M	52019
Barker	0	F	4469
Barker	0	M	4605
Barker	1	F	65005
Barker	1	M	65243
Boothby	0	F	11516
Boothby	0	M	10035
Boothby	1	F	61158
Boothby	1	M	57323
Grey	0	F	3708
Grey	0	M	3592
Grey	1	F	61624
Grey	1	M	62971
Hindmarsh	0	F	18055
Hindmarsh	0	M	16771
Hindmarsh	1	F	56131
Hindmarsh	1	M	52897
Kingston	0	F	5713
Kingston	0	M	4985
Kingston	1	F	66092
Kingston	1	M	63672
Makin	0	F	13704
Makin	0	M	13127
Makin	1	F	58782
Makin	1	M	57172
Mayo	0	F	2978
Mayo	0	M	2620
Mayo	1	F	64922
Mayo	1	M	62428
Port Adelaide	0	F	25171
Port Adelaide	0	M	23473
Port Adelaide	1	F	54583
Port Adelaide	1	M	53643
Sturt	0	F	23177
Sturt	0	M	20752
Sturt	1	F	51664
Sturt	1	M	47937
Wakefield	0	F	8397
Wakefield	0	M	8209
Wakefield	1	F	71036
Wakefield	1	M	70175
No usual address (SA)	0	F	150
No usual address (SA)	0	M	196
No usual address (SA)	1	F	769
No usual address (SA)	1	M	1167
Migratory - Offshore - Shipping (SA)	0	M	4
Migratory - Offshore - Shipping (SA)	1	M	4
Brand	0	F	9005
Brand	0	M	8086
Brand	1	F	67605
Brand	1	M	66754
Burt	0	F	23311
Burt	0	M	22376
Burt	1	F	56594
Burt	1	M	56528
Canning	0	F	5314
Canning	0	M	4609
Canning	1	F	64006
Canning	1	M	62112
Cowan	0	F	20201
Cowan	0	M	19382
Cowan	1	F	50732
Cowan	1	M	50378
Curtin	0	F	12776
Curtin	0	M	11135
Curtin	1	F	56285
Curtin	1	M	53903
Durack	0	F	9951
Durack	0	M	10691
Durack	1	F	64113
Durack	1	M	74624
Forrest	0	F	5182
Forrest	0	M	4612
Forrest	1	F	64623
Forrest	1	M	62501
Fremantle	0	F	14797
Fremantle	0	M	13555
Fremantle	1	F	56174
Fremantle	1	M	54329
Hasluck	0	F	11441
Hasluck	0	M	11093
Hasluck	1	F	55281
Hasluck	1	M	55614
Moore	0	F	8156
Moore	0	M	7080
Moore	1	F	60041
Moore	1	M	59591
O'Connor	0	F	5878
O'Connor	0	M	5577
O'Connor	1	F	63931
O'Connor	1	M	65953
Pearce	0	F	12279
Pearce	0	M	11216
Pearce	1	F	72720
Pearce	1	M	71679
Perth	0	F	19888
Perth	0	M	18267
Perth	1	F	49778
Perth	1	M	50920
Stirling	0	F	23637
