CED_NAME16	BornAust	persons
No usual address (Qld)	1	7348
Migratory - Offshore - Shipping (Qld)	0	40
Migratory - Offshore - Shipping (Qld)	1	89
Adelaide	0	53338
Adelaide	1	100129
Barker	0	16118
Barker	1	122395
Boothby	0	35196
Boothby	1	104244
Grey	0	13880
Grey	1	117537
Hindmarsh	0	39964
Hindmarsh	1	103134
Kingston	0	32443
Kingston	1	106925
Makin	0	40538
Makin	1	102347
Mayo	0	23244
Mayo	1	108372
Port Adelaide	0	48480
Port Adelaide	1	106901
Sturt	0	48120
Sturt	1	94674
Wakefield	0	32168
Wakefield	1	124000
No usual address (SA)	0	605
No usual address (SA)	1	1886
Migratory - Offshore - Shipping (SA)	0	3
Migratory - Offshore - Shipping (SA)	1	3
Brand	0	53041
Brand	1	98331
Burt	0	67978
Burt	1	91005
Canning	0	37516
Canning	1	97788
Cowan	0	56109
Cowan	1	83779
Curtin	0	47536
Curtin	1	86329
Durack	0	29657
Durack	1	129381
Forrest	0	28723
Forrest	1	107330
Fremantle	0	48346
Fremantle	1	89852
Hasluck	0	44243
Hasluck	1	90338
Moore	0	54190
Moore	1	80145
O'Connor	0	27487
O'Connor	1	112757
Pearce	0	64746
Pearce	1	102540
Perth	0	57130
Perth	1	81088
Stirling	0	58694
Stirling	1	79407
Swan	0	67079
Swan	1	82434
Tangney	0	53559
Tangney	1	76660
No usual address (WA)	0	1484
No usual address (WA)	1	3512
Migratory - Offshore - Shipping (WA)	0	168
Migratory - Offshore - Shipping (WA)	1	193
Bass	0	12057
Bass	1	81632
Braddon	0	8319
Braddon	1	81525
Denison	0	18425
Denison	1	77206
Franklin	0	13056
Franklin	1	85357
Lyons	0	9227
Lyons	1	85059
No usual address (Tas.)	0	139
No usual address (Tas.)	1	659
Migratory - Offshore - Shipping (Tas.)	0	18
Migratory - Offshore - Shipping (Tas.)	1	49
Lingiari	0	13760
Lingiari	1	87400
Solomon	0	32079
Solomon	1	69876
No usual address (NT)	0	402
No usual address (NT)	1	1379
Migratory - Offshore - Shipping (NT)	0	53
Migratory - Offshore - Shipping (NT)	1	16
Canberra	0	47404
Canberra	1	136871
Fenner	0	58200
Fenner	1	134184
No usual address (ACT)	0	130
No usual address (ACT)	1	351
No usual address (OT)	0	22
No usual address (OT)	1	24
Migratory - Offshore - Shipping (OT)	1	4
