CED_NAME16	PrivateDwelling	Sex	persons
Goldstein	1	F	71085
Goldstein	1	M	65344
Gorton	0	F	5193
Gorton	0	M	5435
Gorton	1	F	92617
Gorton	1	M	90177
Higgins	0	F	6248
Higgins	0	M	5525
Higgins	1	F	73153
Higgins	1	M	67202
Holt	0	F	4913
Holt	0	M	4790
Holt	1	F	94289
Holt	1	M	94303
Hotham	0	F	3699
Hotham	0	M	3409
Hotham	1	F	72443
Hotham	1	M	70311
Indi	0	F	10544
Indi	0	M	11435
Indi	1	F	63320
Indi	1	M	60702
Isaacs	0	F	4360
Isaacs	0	M	3878
Isaacs	1	F	75332
Isaacs	1	M	72664
Jagajaga	0	F	3918
Jagajaga	0	M	3696
Jagajaga	1	F	67887
Jagajaga	1	M	64022
Kooyong	0	F	5123
Kooyong	0	M	4441
Kooyong	1	F	69616
Kooyong	1	M	63740
La Trobe	0	F	3516
La Trobe	0	M	3181
La Trobe	1	F	74561
La Trobe	1	M	73356
Lalor	0	F	5573
Lalor	0	M	6553
Lalor	1	F	109291
Lalor	1	M	108848
Mallee	0	F	6774
Mallee	0	M	6861
Mallee	1	F	62166
Mallee	1	M	61052
Maribyrnong	0	F	5279
Maribyrnong	0	M	4952
Maribyrnong	1	F	78856
Maribyrnong	1	M	76414
McEwen	0	F	5644
McEwen	0	M	5774
McEwen	1	F	99316
McEwen	1	M	97117
McMillan	0	F	6070
McMillan	0	M	5297
McMillan	1	F	78026
McMillan	1	M	74062
Melbourne	0	F	22927
Melbourne	0	M	22606
Melbourne	1	F	92933
Melbourne	1	M	86661
Melbourne Ports	0	F	12183
Melbourne Ports	0	M	12411
Melbourne Ports	1	F	71956
Melbourne Ports	1	M	67992
Menzies	0	F	3308
Menzies	0	M	2417
Menzies	1	F	66393
Menzies	1	M	63057
Murray	0	F	6582
Murray	0	M	6656
Murray	1	F	65048
Murray	1	M	64067
Scullin	0	F	4132
Scullin	0	M	3686
Scullin	1	F	80120
Scullin	1	M	79008
Wannon	0	F	5605
Wannon	0	M	6576
Wannon	1	F	59999
Wannon	1	M	58416
Wills	0	F	5500
Wills	0	M	5053
Wills	1	F	80322
Wills	1	M	76892
Migratory - Offshore - Shipping (Vic.)	0	F	38
Migratory - Offshore - Shipping (Vic.)	0	M	310
Blair	0	F	5720
Blair	0	M	6192
Blair	1	F	72679
Blair	1	M	70286
Bonner	0	F	3953
Bonner	0	M	3527
Bonner	1	F	72102
Bonner	1	M	67848
Bowman	0	F	3567
Bowman	0	M	2967
Bowman	1	F	70622
Bowman	1	M	67504
Brisbane	0	F	11573
Brisbane	0	M	12653
Brisbane	1	F	72751
Brisbane	1	M	71497
Capricornia	0	F	9507
Capricornia	0	M	18300
Capricornia	1	F	66245
Capricornia	1	M	64952
Dawson	0	F	11074
Dawson	0	M	12406
Dawson	1	F	69345
Dawson	1	M	67587
Dickson	0	F	2649
Dickson	0	M	2353
Dickson	1	F	70566
Dickson	1	M	68124
Fadden	0	F	7268
Fadden	0	M	6684
Fadden	1	F	80270
Fadden	1	M	75021
Fairfax	0	F	7297
Fairfax	0	M	6544
Fairfax	1	F	73695
Fairfax	1	M	67587
Fisher	0	F	7861
Fisher	0	M	6818
Fisher	1	F	66661
Fisher	1	M	61940
Flynn	0	F	9297
Flynn	0	M	15271
Flynn	1	F	67983
Flynn	1	M	69600
Forde	0	F	4949
Forde	0	M	4369
Forde	1	F	78490
Forde	1	M	75628
Griffith	0	F	7713
Griffith	0	M	7305
Griffith	1	F	72540
Griffith	1	M	70001
Groom	0	F	6599
Groom	0	M	6460
Groom	1	F	69871
Groom	1	M	64885
Herbert	0	F	9103
Herbert	0	M	10486
Herbert	1	F	73324
Herbert	1	M	69867
Hinkler	0	F	8278
Hinkler	0	M	7978
Hinkler	1	F	66924
Hinkler	1	M	62185
Kennedy	0	F	12771
Kennedy	0	M	16412
Kennedy	1	F	68326
Kennedy	1	M	68930
Leichhardt	0	F	19333
Leichhardt	0	M	20490
Leichhardt	1	F	78519
Leichhardt	1	M	75775
Lilley	0	F	4378
Lilley	0	M	3896
Lilley	1	F	74948
Lilley	1	M	70561
Longman	0	F	5136
Longman	0	M	5581
Longman	1	F	76047
Longman	1	M	72409
Maranoa	0	F	9683
Maranoa	0	M	13552
Maranoa	1	F	66104
Maranoa	1	M	65855
McPherson	0	F	8775
McPherson	0	M	7556
McPherson	1	F	72178
McPherson	1	M	66406
Moncrieff	0	F	16612
Moncrieff	0	M	15925
Moncrieff	1	F	73021
Moncrieff	1	M	69199
Moreton	0	F	4542
Moreton	0	M	4323
Moreton	1	F	74233
Moreton	1	M	72937
Oxley	0	F	4838
Oxley	0	M	6727
Oxley	1	F	76385
Oxley	1	M	73579
Petrie	0	F	5025
Petrie	0	M	4160
Petrie	1	F	78934
Petrie	1	M	73184
Rankin	0	F	4991
Rankin	0	M	4665
Rankin	1	F	84920
Rankin	1	M	82963
Ryan	0	F	5707
Ryan	0	M	5539
Ryan	1	F	72969
Ryan	1	M	69076
Wide Bay	0	F	9311
Wide Bay	0	M	9812
Wide Bay	1	F	66655
Wide Bay	1	M	63828
Wright	0	F	5931
Wright	0	M	6150
Wright	1	F	72366
Wright	1	M	71180
Migratory - Offshore - Shipping (Qld)	0	F	1037
Migratory - Offshore - Shipping (Qld)	0	M	940
Adelaide	0	F	10067
Adelaide	0	M	10828
Adelaide	1	F	74230
Adelaide	1	M	72246
Barker	0	F	5591
Barker	0	M	6834
Barker	1	F	67161
Barker	1	M	67523
Boothby	0	F	4567
Boothby	0	M	3548
Boothby	1	F	70133
Boothby	1	M	65147
Grey	0	F	8161
Grey	0	M	12938
Grey	1	F	63069
Grey	1	M	63464
Hindmarsh	0	F	4680
Hindmarsh	0	M	4107
Hindmarsh	1	F	72259
Hindmarsh	1	M	67974
Kingston	0	F	3866
Kingston	0	M	3240
Kingston	1	F	70473
Kingston	1	M	67302
Makin	0	F	3509
Makin	0	M	3563
Makin	1	F	70990
Makin	1	M	68914
Mayo	0	F	4507
Mayo	0	M	4157
Mayo	1	F	65647
Mayo	1	M	62447
Port Adelaide	0	F	4395
Port Adelaide	0	M	3987
Port Adelaide	1	F	78863
Port Adelaide	1	M	76218
Sturt	0	F	4283
Sturt	0	M	3170
Sturt	1	F	72471
Sturt	1	M	67059
Wakefield	0	F	5754
Wakefield	0	M	5541
Wakefield	1	F	78250
Wakefield	1	M	77075
Migratory - Offshore - Shipping (SA)	0	F	107
Migratory - Offshore - Shipping (SA)	0	M	113
Brand	0	F	5430
Brand	0	M	7071
Brand	1	F	75533
Brand	1	M	71712
Burt	0	F	3797
Burt	0	M	4747
Burt	1	F	79709
Burt	1	M	77779
Canning	0	F	4816
Canning	0	M	5268
Canning	1	F	67695
Canning	1	M	63788
Cowan	0	F	3107
Cowan	0	M	2778
Cowan	1	F	70291
Cowan	1	M	68660
Curtin	0	F	7359
Curtin	0	M	6437
Curtin	1	F	66064
Curtin	1	M	61820
Durack	0	F	26364
Durack	0	M	59983
Durack	1	F	71156
Durack	1	M	72499
Forrest	0	F	6581
Forrest	0	M	6568
Forrest	1	F	67216
Forrest	1	M	63388
Fremantle	0	F	5236
Fremantle	0	M	5150
Fremantle	1	F	70061
Fremantle	1	M	65805
Hasluck	0	F	4106
Hasluck	0	M	5950
Hasluck	1	F	65894
Hasluck	1	M	64761
Moore	0	F	2876
Moore	0	M	2467
Moore	1	F	67318
Moore	1	M	64906
O'Connor	0	F	9432
O'Connor	0	M	16063
O'Connor	1	F	66917
O'Connor	1	M	67039
Pearce	0	F	6539
Pearce	0	M	6345
Pearce	1	F	84135
Pearce	1	M	80520
Perth	0	F	9022
Perth	0	M	9918
Perth	1	F	67445
Perth	1	M	66557
Stirling	0	F	4711
Stirling	0	M	4127
Stirling	1	F	69771
Stirling	1	M	66837
Swan	0	F	8023
Swan	0	M	8493
Swan	1	F	72320
Swan	1	M	72378
Tangney	0	F	3951
Tangney	0	M	2933
Tangney	1	F	65518
Tangney	1	M	61804
Migratory - Offshore - Shipping (WA)	0	F	668
Migratory - Offshore - Shipping (WA)	0	M	3004
Bass	0	F	4543
Bass	0	M	4372
Bass	1	F	46775
Bass	1	M	44223
Braddon	0	F	3318
Braddon	0	M	3567
Braddon	1	F	45280
Braddon	1	M	42736
Denison	0	F	5144
Denison	0	M	4991
Denison	1	F	47500
Denison	1	M	44967
Franklin	0	F	2909
Franklin	0	M	3074
Franklin	1	F	49527
Franklin	1	M	46430
Lyons	0	F	3963
Lyons	0	M	3911
Lyons	1	F	46782
Lyons	1	M	46479
Migratory - Offshore - Shipping (Tas.)	0	F	218
Migratory - Offshore - Shipping (Tas.)	0	M	471
Lingiari	0	F	14357
Lingiari	0	M	22332
Lingiari	1	F	46854
Lingiari	1	M	47274
Solomon	0	F	9602
Solomon	0	M	12464
Solomon	1	F	49427
Solomon	1	M	50164
Migratory - Offshore - Shipping (NT)	0	F	68
Migratory - Offshore - Shipping (NT)	0	M	185
Canberra	0	F	10750
Canberra	0	M	12473
Canberra	1	F	89098
Canberra	1	M	85235
Fenner	0	F	6554
Fenner	0	M	6641
Fenner	1	F	95227
Fenner	1	M	92355
Migratory - Offshore - Shipping (ACT)	0	F	8
Migratory - Offshore - Shipping (ACT)	0	M	3
Migratory - Offshore - Shipping (OT)	0	F	3
Migratory - Offshore - Shipping (OT)	0	M	17
