SA2_MAINCODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
101041017,0,3,3,0,4,10,19,0,7,3,4,0,0,11,3,59,9,6,3,4,83,23,41,21,12,9,0,105,33,11,41,4,8,0,90,104,17,47,4,5,0,181,161,25,58,0,6,0,247,137,0,28,0,3,0,166,14,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,3,3,4,0,33,484,171,223,30,39,15,959
101041018,0,0,16,0,0,12,28,0,0,0,0,0,0,7,3,13,11,3,3,0,28,31,18,28,11,4,0,83,47,5,17,0,4,3,78,127,3,28,3,0,3,172,166,10,51,6,4,0,236,163,3,45,0,0,0,218,11,0,7,0,0,0,18,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,0,0,21,557,62,218,20,18,18,892
101041019,0,3,16,0,3,13,33,0,14,0,3,0,0,17,3,41,13,16,3,4,82,26,32,22,3,0,0,88,44,7,26,3,3,0,84,90,14,35,3,3,0,149,196,12,47,3,0,0,267,108,0,16,3,0,0,129,9,0,0,0,0,0,11,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,0,3,0,27,479,146,183,41,17,21,886
101041020,0,0,47,0,19,33,97,0,0,4,0,0,0,3,3,3,36,4,0,0,55,6,0,34,0,6,0,51,15,0,37,0,10,3,61,34,0,31,0,3,0,71,32,0,32,0,4,0,65,14,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,16,0,0,3,23,116,8,245,9,41,39,455
101041021,0,0,8,0,4,12,18,0,0,0,0,0,0,7,0,0,3,0,0,0,8,3,0,10,3,8,0,32,8,0,9,0,0,0,15,33,0,24,0,0,0,55,39,0,25,0,0,0,61,38,0,9,0,3,0,50,9,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,136,0,102,6,19,12,278
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,3,3,3,0,3,5,19,0,0,0,0,3,0,3,0,41,11,4,5,0,61,27,23,9,3,3,0,60,25,9,9,0,0,0,49,57,7,18,4,0,0,82,71,14,21,0,0,0,104,29,0,6,0,7,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,209,105,79,10,22,11,431
101041024,0,0,25,0,8,12,47,0,0,0,0,0,0,0,3,3,14,0,0,0,25,3,7,20,6,3,0,39,3,0,15,0,3,0,21,5,0,7,0,3,0,18,16,0,16,0,0,0,25,10,0,11,0,0,0,21,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,10,35,12,115,5,19,17,209
101041025,3,3,10,0,6,20,38,0,0,0,0,6,0,11,3,11,21,13,3,0,51,64,9,31,10,3,0,124,62,4,44,3,3,0,115,114,3,41,0,3,0,167,131,0,60,0,5,0,198,178,0,41,0,0,3,224,21,0,5,0,0,0,28,3,0,3,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,10,4,17,0,4,0,34,595,41,283,26,37,24,1007
101041026,3,4,18,0,3,17,45,0,5,0,3,0,0,4,7,30,20,0,0,0,58,36,19,32,5,3,0,100,27,10,30,3,3,0,67,89,16,46,4,6,0,153,120,13,58,0,0,0,193,57,0,28,0,0,0,82,9,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,0,0,25,338,112,245,16,18,22,755
101041027,0,0,26,0,5,23,56,0,0,0,0,6,0,10,20,39,19,5,4,3,83,54,10,37,18,9,5,129,59,12,36,0,3,3,113,99,10,52,0,4,0,162,131,7,41,0,4,4,191,31,0,14,0,0,0,49,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6,9,0,9,3,3,0,29,394,87,252,31,42,34,836
101051539,6,42,26,3,5,19,99,3,34,3,6,0,0,48,32,193,28,20,17,3,294,151,105,66,39,16,11,383,110,36,69,0,5,0,225,304,49,87,3,7,3,449,573,26,120,3,22,4,746,331,8,56,0,7,3,400,36,0,4,0,0,0,48,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,24,17,10,11,0,87,1579,513,475,92,87,40,2790
101051540,0,0,69,5,35,53,163,0,0,10,0,0,0,17,17,3,31,10,10,0,68,21,7,41,0,3,0,82,32,4,43,0,4,0,87,61,4,37,0,3,0,107,66,0,46,0,0,0,113,38,0,14,0,4,0,55,11,0,3,0,0,0,16,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,0,12,0,42,262,21,320,19,69,57,743
101061541,0,0,17,0,6,6,30,0,0,0,16,3,0,17,3,0,7,4,0,0,25,9,21,12,6,0,0,45,9,3,3,0,3,0,24,20,16,18,0,0,0,64,116,19,51,0,5,0,187,99,0,29,0,4,0,132,16,0,3,0,0,0,21,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,3,13,279,70,153,31,17,13,561
101061542,0,0,55,0,27,43,134,0,0,0,0,3,0,7,0,0,17,0,5,0,23,12,0,21,0,5,0,37,4,0,26,0,6,0,38,19,0,35,0,5,0,58,25,0,43,0,3,0,64,27,0,38,0,6,0,68,19,0,26,0,3,0,57,18,0,6,0,0,0,27,4,0,5,0,0,0,7,0,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,6,0,0,0,6,3,0,16,4,18,0,37,134,0,291,9,81,55,568
101061543,3,5,20,0,12,21,56,3,8,0,0,0,0,13,31,26,24,7,3,3,91,126,30,40,9,8,7,217,102,30,48,3,7,3,191,257,13,44,3,5,0,328,166,0,24,0,3,0,190,45,0,6,0,0,0,49,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,8,10,6,3,0,33,749,116,223,29,41,32,1190
101061544,0,0,54,0,48,57,167,0,0,3,0,0,0,3,17,4,41,9,8,0,79,41,18,54,0,5,0,129,26,0,45,0,7,0,81,37,0,30,0,7,0,68,25,0,16,0,0,0,37,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,22,0,37,143,25,267,18,98,61,616
102011028,0,0,12,0,0,14,23,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,7,5,0,7,0,0,0,13,19,0,10,0,4,0,32,34,0,16,0,0,0,48,107,0,28,0,0,0,131,98,0,24,0,0,0,121,48,0,11,0,0,0,58,18,0,3,0,0,0,19,17,0,0,0,0,0,18,10,0,0,0,0,0,10,3,0,0,0,0,0,3,0,0,4,0,0,0,7,354,0,115,0,9,12,497
102011029,0,0,13,3,3,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,11,0,14,0,31,6,0,12,0,10,0,25,13,0,10,0,10,0,34,39,0,32,0,0,0,66,100,0,25,0,3,0,131,75,0,11,0,0,0,90,43,0,7,0,0,0,48,12,0,0,0,0,0,17,7,0,0,0,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,3,5,0,13,0,0,0,19,311,4,136,6,36,16,518
102011030,0,0,25,0,12,28,71,0,0,0,0,3,0,3,0,0,8,0,3,0,12,7,0,17,0,5,0,26,19,0,29,0,0,0,41,20,0,18,0,4,0,40,21,0,14,0,8,0,47,33,0,25,0,3,0,57,24,0,11,0,4,0,38,4,0,3,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,3,0,4,0,0,0,6,7,0,14,0,8,0,33,140,0,171,0,42,35,392
102011031,0,8,17,0,3,9,33,0,4,0,0,0,0,3,0,45,6,4,3,0,64,0,20,8,8,25,3,66,0,13,12,3,0,0,31,18,13,12,10,17,0,67,68,18,33,3,11,0,129,144,7,38,0,3,0,191,115,0,21,0,0,0,139,69,0,4,0,0,0,73,21,0,5,0,0,0,31,11,0,4,0,0,0,11,4,0,0,0,0,0,4,0,0,0,0,3,0,4,5,8,4,0,7,0,28,461,130,171,29,68,19,869
102011032,0,33,18,4,4,17,83,0,28,3,6,0,0,38,4,250,11,25,4,5,302,44,123,15,61,3,5,254,41,36,32,12,0,0,118,136,39,62,12,6,0,249,683,57,95,5,4,3,845,1078,15,112,7,5,0,1220,225,0,32,0,0,0,257,59,0,4,0,0,0,64,9,0,0,0,0,0,9,0,0,4,0,0,0,7,4,0,0,0,0,0,3,0,0,0,0,0,0,7,25,41,18,13,8,3,103,2306,620,414,140,37,33,3554
102011033,0,0,8,0,0,3,14,0,0,0,0,0,0,3,0,18,3,0,0,0,23,3,10,3,0,0,0,11,3,7,10,0,0,0,19,7,5,5,0,0,0,13,13,8,16,0,0,0,35,128,14,31,0,0,0,177,88,0,16,0,0,0,104,19,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,260,62,87,0,3,6,418
102011034,0,8,7,0,0,3,26,0,4,0,0,0,0,8,0,58,3,9,8,0,79,0,23,8,3,0,0,30,3,10,7,0,0,0,20,8,9,3,3,0,0,19,33,18,16,0,0,0,71,115,0,31,0,3,0,147,60,0,13,0,0,0,74,15,0,4,0,0,0,17,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,17,237,140,92,18,17,9,509
102011035,0,3,6,0,0,3,14,0,0,0,0,0,0,0,0,21,0,4,0,0,27,0,9,3,0,0,0,16,0,10,0,0,0,0,16,3,5,13,0,0,0,19,41,13,30,0,0,0,88,113,4,30,3,3,0,159,52,0,5,0,0,0,62,20,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,10,238,79,90,11,6,3,438
102011036,0,3,7,0,0,3,16,0,0,0,0,0,0,0,0,51,8,0,0,0,58,3,6,4,0,0,0,16,0,9,5,0,0,0,15,4,3,4,0,0,0,16,36,11,15,0,0,0,60,168,10,38,0,0,0,216,42,0,14,0,0,0,54,13,0,3,0,0,0,21,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,9,5,0,0,0,22,277,96,106,3,3,3,493
102011037,3,3,5,0,0,5,18,0,3,0,0,0,0,3,0,20,5,0,0,0,25,9,3,13,11,4,0,43,3,0,11,0,0,0,15,19,0,11,0,0,0,26,63,0,7,3,0,0,72,142,0,23,0,0,0,163,80,0,9,0,0,0,91,31,0,0,0,0,0,36,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,0,0,0,11,363,30,92,16,5,13,525
102011038,0,0,9,0,0,3,8,0,3,0,0,0,0,3,0,12,5,3,0,0,15,3,0,9,0,5,0,14,5,0,5,0,0,0,16,8,0,18,0,0,0,25,37,0,24,0,0,0,59,100,0,29,0,0,0,130,50,0,18,0,0,0,67,22,0,4,0,0,0,26,13,0,0,0,0,0,13,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,243,9,113,3,7,8,382
102011039,0,3,9,0,0,16,36,0,0,3,0,0,0,3,3,9,3,0,3,0,20,3,3,3,0,6,0,23,7,4,10,0,4,0,23,23,0,15,0,0,0,36,88,0,28,0,3,0,126,218,0,55,0,4,0,274,245,0,41,0,0,0,290,158,0,18,0,0,3,183,90,0,6,0,0,0,91,35,0,3,0,0,0,36,4,0,3,0,0,0,6,11,0,0,0,0,0,11,12,3,6,0,0,0,21,901,25,202,0,27,20,1178
102011040,6,3,38,3,3,26,75,0,0,4,3,0,0,12,10,30,16,0,3,0,58,51,15,38,3,0,0,105,95,8,54,0,0,3,159,227,7,54,3,6,5,304,465,11,124,4,13,7,617,1011,5,150,0,5,8,1183,327,0,31,0,0,3,367,81,0,12,0,0,0,89,15,0,4,0,0,0,16,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,6,28,4,18,0,0,4,59,2319,84,532,21,41,56,3048
102011041,0,0,8,3,0,11,22,0,0,0,0,0,0,0,0,0,7,5,0,0,10,3,0,10,0,0,0,13,7,0,6,0,0,0,12,24,0,7,0,0,0,31,37,0,20,0,0,0,59,129,0,36,0,0,0,165,100,0,17,0,0,3,121,43,0,16,0,0,0,58,31,0,4,0,0,0,33,6,0,3,0,0,0,9,3,0,3,0,0,0,3,9,0,3,0,0,0,8,4,0,3,3,0,0,12,391,0,129,10,9,11,555
102011042,3,23,17,0,0,16,57,0,19,3,0,0,3,24,6,220,12,0,0,3,236,21,67,17,16,0,3,118,13,30,29,4,0,0,74,66,25,32,3,0,0,124,228,13,55,0,3,0,301,505,15,86,0,6,0,609,175,0,19,0,0,0,192,44,3,5,0,0,0,53,9,0,0,0,0,0,15,5,0,0,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,0,3,3,10,22,22,3,3,0,60,1086,425,287,31,15,27,1884
