SA2_MAINCODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
203031049,140,7,0,0,7,0,148,5,7,0,0,7,0,10,0,3,0,0,3,0,3,0,0,0,0,0,0,0,5,9,0,0,9,0,12,0,0,0,0,0,0,0,148,11,0,0,11,0,160,173,0,0,0,0,0,174,0,4,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,0,0,0,0,0,174,6,0,0,6,0,183,105,3,0,0,3,0,112,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,109,4,0,0,4,0,113,75,3,0,0,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,3,0,0,3,0,77,91,0,0,0
203031050,1261,18,0,0,18,0,1281,25,42,0,0,42,0,66,0,3,0,0,3,0,3,0,0,0,0,0,0,0,25,51,0,0,51,0,72,5,0,0,0,0,3,8,1287,65,0,0,65,3,1358,1303,17,0,3,22,0,1320,38,29,0,0,29,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,29,0,0,29,0,70,4,0,0,0,0,0,4,1346,50,0,3,48,0,1393,668,17,0,0,17,0,680,11,14,0,0,18,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,18,0,31,0,0,0,0,0,0,0,678,29,0,0,31,0,710,386,12,0,0,12,0,400,11,13,0,0,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,12,0,22,0,0,0,0,0,0,0,398,24,0,0,24,0,421,474,10,0,0
203031051,173,9,0,0,9,0,175,5,10,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,10,0,9,0,0,0,0,0,0,0,177,12,0,0,12,0,190,214,7,0,0,7,0,224,3,4,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,6,0,0,0,0,0,0,0,220,11,0,0,11,0,230,108,0,0,0,0,0,108,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,110,4,0,0,4,0,117,68,0,0,0,0,0,71,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,3,0,0,0,0,0,3,70,5,0,0,5,0,80,76,0,0,0
203031052,95,4,0,0,4,0,101,4,4,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,12,0,0,0,0,0,0,0,104,5,0,0,6,0,112,117,0,0,0,0,0,118,4,3,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0,10,0,0,0,0,0,0,0,123,4,0,0,9,0,128,72,0,0,0,0,0,72,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,72,0,0,0,0,0,72,55,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,56,74,0,0,0
203031053,1038,23,0,0,23,3,1059,41,41,0,0,41,0,87,0,4,0,0,4,0,4,0,0,0,0,0,0,0,41,49,0,0,49,0,87,3,0,0,0,0,0,3,1081,68,0,0,67,3,1150,1114,14,0,3,17,0,1135,34,28,0,0,29,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,0,0,29,0,60,3,0,0,0,0,0,3,1158,44,0,4,43,0,1201,581,3,0,0,3,0,590,13,11,0,0,13,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,13,0,25,0,0,0,0,0,0,0,597,20,0,0,17,0,617,375,3,0,0,3,0,384,10,6,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,9,0,17,0,0,0,0,0,0,0,390,8,0,0,8,0,400,435,12,0,3
204011054,187,0,0,0,0,0,187,3,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,11,0,0,0,0,0,0,0,192,5,0,0,5,0,197,203,0,0,0,0,0,206,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,208,8,0,0,8,0,212,131,0,0,0,0,0,133,3,3,0,0,3,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,3,0,0,3,0,5,0,0,0,0,0,0,0,136,3,0,0,3,0,141,66,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,71,69,0,0,0
204011055,160,0,0,0,0,0,160,5,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,9,0,8,0,0,0,0,0,0,0,167,10,0,0,10,0,173,216,3,0,0,3,0,215,3,6,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,9,0,0,0,0,0,0,0,218,4,0,0,4,0,222,118,0,0,0,0,0,123,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,124,3,0,0,3,0,128,77,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,78,116,0,0,0
204011056,588,3,0,0,3,4,596,23,33,0,0,33,0,56,0,0,0,0,3,0,3,0,0,0,0,0,0,0,23,34,0,0,32,0,58,0,0,0,0,0,0,3,607,36,0,0,40,8,649,632,4,0,0,4,9,647,28,30,0,0,37,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,0,0,37,0,60,0,0,0,0,0,0,0,662,41,0,0,43,9,708,366,3,0,0,3,0,373,16,3,0,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,6,0,21,0,0,0,0,0,0,0,380,9,0,0,9,0,391,254,0,0,0,0,0,258,3,4,0,0,11,0,11,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,4,0,0,11,0,14,0,0,0,0,0,0,0,256,10,0,0,14,0,274,314,4,0,0
204011057,326,0,0,0,0,0,332,0,4,0,0,4,0,7,0,0,3,3,7,0,7,0,0,0,0,0,0,0,0,4,3,3,8,0,15,3,0,0,0,0,0,3,331,5,3,3,10,0,343,371,6,0,0,6,0,375,4,8,0,0,8,0,16,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,9,0,0,9,0,17,4,0,0,0,0,0,4,380,14,0,0,14,0,396,184,0,0,0,0,0,184,3,3,0,0,3,0,10,0,6,0,0,6,0,6,0,0,0,0,0,0,0,3,7,0,0,7,0,13,0,0,0,0,0,0,0,189,8,0,0,8,0,196,105,0,0,0,0,0,108,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,106,3,0,0,3,0,110,134,0,0,0
204011058,132,0,0,0,0,0,132,3,5,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,10,0,13,0,0,0,0,0,0,0,139,10,0,0,10,0,151,145,0,0,0,0,0,145,6,9,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,9,0,10,0,0,0,0,0,0,0,150,9,0,0,9,0,156,70,0,0,0,0,0,67,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,72,0,0,0,0,0,76,49,0,0,0,0,0,49,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,54,0,0,0,0,0,52,63,0,0,0
204011059,153,0,0,0,0,0,153,3,15,3,0,18,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,0,18,0,29,0,0,0,0,0,3,3,156,15,3,0,18,3,181,150,0,0,0,0,0,150,5,10,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,14,0,22,0,0,0,0,0,3,3,156,11,0,0,14,3,176,99,0,0,0,0,0,100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,102,3,0,0,3,3,100,77,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,74,0,0,0,0,3,77,90,0,0,0
204011060,247,3,0,0,3,0,252,5,10,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,10,0,17,0,0,0,0,0,0,0,257,13,0,0,13,0,265,192,8,0,0,8,0,192,6,6,0,0,6,0,10,0,0,3,0,3,0,3,0,0,0,0,0,0,0,6,6,3,0,9,0,13,0,0,0,0,0,0,0,199,14,3,0,12,0,212,105,3,0,0,3,0,106,3,3,0,0,3,0,3,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,3,3,0,9,0,10,0,0,0,0,0,0,0,108,8,3,0,13,0,120,65,3,0,0,3,0,74,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,72,5,0,0,5,0,79,95,3,0,0
204011061,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,0,0,0
204011062,107,3,0,0,3,0,110,3,7,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,7,0,7,0,0,0,0,0,0,0,106,9,0,0,9,0,120,130,0,0,0,0,0,135,5,5,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,12,0,0,0,0,0,0,0,135,9,0,0,9,0,141,98,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,95,43,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,56,4,0,0
204021063,272,3,0,0,3,0,278,4,17,0,0,17,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,21,0,25,0,0,0,0,0,0,0,276,22,0,0,21,6,304,280,3,0,0,3,3,284,3,14,0,0,16,0,21,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,20,0,0,18,0,26,0,0,0,0,0,0,0,285,18,0,0,23,3,309,182,0,0,0,0,0,180,0,12,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,12,0,0,0,0,0,0,0,182,15,0,0,16,0,195,125,0,0,0,0,0,125,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,0,0,0,0,0,0,125,3,0,0,4,0,131,180,0,0,0
204021064,125,0,0,0,0,3,127,3,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,6,0,0,0,0,0,0,0,126,3,0,0,3,4,134,146,0,0,0,0,0,146,3,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,4,0,0,0,0,0,0,0,152,3,0,0,3,0,156,87,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,89,49,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,51,92,0,0,0
204021065,134,0,0,0,0,0,134,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,3,138,7,0,0,7,3,142,160,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,160,3,0,0,3,0,160,98,0,0,0,0,0,98,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,98,7,0,0,7,0,100,66,0,0,0,0,0,66,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,65,0,0,0,0,0,65,87,0,0,0
204021066,687,13,0,0,13,0,697,17,32,0,0,32,0,46,0,0,3,0,4,0,4,0,0,0,0,0,0,0,17,30,3,0,32,0,49,0,0,0,0,0,8,9,704,44,3,0,43,8,751,715,12,0,0,12,0,734,24,29,0,0,29,0,47,0,0,3,0,3,0,3,0,0,0,0,0,0,0,24,29,3,0,31,0,49,3,0,0,0,0,3,8,742,38,3,0,43,5,787,425,7,0,0,7,0,428,3,15,0,0,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,15,0,17,3,0,0,0,0,0,3,424,25,0,0,25,3,456,262,5,0,0,5,0,272,5,10,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,10,0,16,0,0,0,0,0,0,0,269,15,0,0,15,0,287,326,6,0,0
204021067,369,7,0,0,7,3,376,7,3,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,4,0,17,0,0,0,0,0,0,0,382,8,0,0,7,3,391,486,3,0,0,3,0,488,4,8,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,0,10,0,0,0,0,0,0,0,494,11,0,0,11,0,504,261,4,0,0,4,0,264,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,0,0,261,9,0,0,9,0,274,196,3,0,0,3,3,201,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,191,5,0,0,7,3,204,251,0,0,0
204031068,122,7,0,0,3,0,131,5,8,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,8,0,12,0,0,0,0,0,0,0,130,11,0,0,9,0,146,191,3,0,0,3,0,195,9,6,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,6,0,13,3,0,0,0,0,0,3,203,11,0,0,11,0,209,101,0,0,0,0,0,104,4,9,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,9,0,11,0,0,0,0,0,0,0,108,10,0,0,10,0,117,66,0,0,0,0,0,66,4,6,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,6,0,4,0,0,0,0,0,0,0,72,6,0,0,6,0,77,67,0,0,0
204031069,224,7,0,0,7,3,231,4,10,5,0,16,0,20,0,0,6,0,6,0,6,0,0,0,0,0,0,0,4,14,11,0,20,0,28,0,0,0,0,0,0,0,225,16,11,0,29,3,257,290,0,0,0,0,0,296,11,11,0,0,9,0,21,0,0,0,0,3,0,3,0,0,0,0,0,0,0,11,9,5,0,14,0,25,0,0,0,0,0,0,0,301,10,5,0,15,0,320,168,4,0,0,4,0,173,7,4,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,4,0,12,0,0,0,0,0,0,0,172,12,0,0,12,0,183,89,3,0,0,3,0,93,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,93,3,0,0,3,0,97,137,5,0,0
204031070,115,0,0,0,0,0,122,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,3,120,4,0,0,4,3,126,141,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,148,0,0,0,0,0,146,80,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,87,0,0,0,0,0,84,68,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,65,60,0,0,0
204031071,129,6,0,0,6,0,136,0,11,0,0,11,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,10,0,0,10,0,16,0,0,0,0,0,0,0,128,12,0,0,12,0,145,144,13,0,0,13,0,156,6,7,0,0,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,15,0,0,0,0,0,5,5,155,20,0,0,20,3,176,95,7,0,0,7,0,105,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,103,7,0,0,7,0,108,68,0,0,0,0,0,65,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,69,107,0,0,0
204031072,196,0,0,0,0,0,197,4,9,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,9,0,11,3,0,0,0,0,0,3,203,9,0,0,9,0,208,226,0,0,0,0,0,228,6,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,6,3,0,0,0,0,0,3,227,3,0,0,3,0,236,142,0,0,0,0,0,140,3,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,5,3,0,0,0,0,0,3,141,5,0,0,5,0,152,97,0,0,0,0,0,99,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,100,3,0,0,3,0,100,139,0,0,0
204031073,702,6,0,0,6,0,712,12,32,0,0,33,0,49,0,3,0,0,3,0,3,0,0,0,0,0,0,0,12,37,0,0,36,0,52,0,0,0,0,0,0,0,717,42,0,0,45,0,767,681,9,0,0,9,0,689,12,30,0,0,30,0,41,0,7,0,0,7,0,7,0,0,0,0,0,0,0,12,30,0,0,30,0,48,0,0,0,0,0,3,3,700,40,0,0,40,4,741,394,3,0,0,3,0,399,4,11,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,13,0,18,0,0,0,0,0,3,3,401,15,0,0,15,3,423,235,0,0,0,0,0,234,5,6,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,9,0,10,0,0,0,0,0,0,0,236,6,3,0,9,0,247,329,8,0,0
