SA4_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
211,4519,4187,8709,15623,14541,30162,3326,3286,6613,2254,2041,4298,21205,19871,41071,10066,9765,19831,3780,3554,7332,3518,3563,7077,17367,16882,34246,994,1049,2041,532,785,1319,1908,732,2644,1360,1754,3113,42,31,75,4834,4353,9186,5573,6366,11937,1346,1890,3243,653,853,1510,1587,2936,4523,26,55,84,9190,12107,21296,552,700,1256,988,2064,3047,24,31,52,1563,2796,4363,11612,12627,24236,70283,72818,143099
212,6416,5874,12294,22878,21329,44210,6243,6128,12366,3678,3719,7394,32797,31176,63970,16125,14731,30852,5123,5456,10574,4645,4697,9338,25888,24879,50772,2469,2215,4684,1388,1932,3323,2004,990,2997,1996,2756,4754,82,52,139,7940,7955,15889,13887,14710,28595,4111,4321,8434,1008,1280,2292,2151,3303,5457,89,100,191,21260,23708,44971,1664,1915,3576,1884,3516,5401,49,73,126,3597,5502,9101,22657,22603,45257,120549,121699,242248
213,6518,6150,12670,21630,20007,41640,7744,7892,15641,3272,3367,6639,32649,31271,63916,13919,13101,27017,5648,6544,12190,3030,3016,6047,22600,22660,45256,1766,1550,3321,1185,1808,3000,1575,764,2338,1708,2270,3977,68,59,131,6304,6454,12759,9575,10130,19702,3684,4115,7792,907,1169,2081,2549,3852,6400,79,109,190,16791,19374,36167,1882,2341,4223,1966,3873,5835,56,89,145,3903,6304,10211,26262,24998,51264,115034,117209,232247
214,2537,2276,4817,9112,8727,17841,1636,1578,3213,1181,1180,2362,11932,11483,23416,5528,5164,10691,1577,1601,3181,1752,1868,3626,8860,8635,17491,461,573,1037,251,463,714,1037,485,1516,729,1123,1849,28,25,53,2507,2667,5171,1633,2339,3971,374,802,1174,199,322,523,668,1512,2183,13,25,38,2889,4999,7893,322,318,639,455,1043,1495,15,25,41,798,1385,2181,9431,10225,19653,38944,41675,80616
215,1185,1058,2244,4321,3962,8281,1195,1182,2378,465,449,915,5983,5592,11577,3559,3459,7021,964,1031,1994,209,233,439,4736,4728,9456,178,183,356,86,146,236,358,248,600,331,483,818,14,9,25,971,1065,2041,245,544,789,108,282,387,68,154,224,220,609,828,3,12,18,644,1600,2246,122,155,280,156,365,523,9,14,25,294,532,829,7713,7012,14726,21521,21586,43107
216,990,900,1894,3591,3218,6812,1597,1592,3193,326,314,642,5514,5126,10640,2359,2234,4598,1472,1434,2900,543,493,1034,4373,4156,8535,149,231,376,96,230,324,424,251,679,264,554,819,9,18,24,944,1284,2229,280,506,791,90,239,330,44,138,187,182,500,680,3,11,11,602,1403,2005,150,161,308,152,376,528,13,4,17,317,540,856,6163,6077,12236,18910,19490,38396
217,946,839,1784,3258,2861,6121,1586,1597,3180,307,259,565,5145,4722,9865,2337,2166,4507,1290,1436,2733,347,338,682,3974,3945,7918,149,200,349,35,141,176,357,218,568,259,533,785,13,17,27,807,1105,1908,272,537,808,119,233,355,46,105,153,220,523,749,4,4,9,664,1404,2066,80,103,178,156,322,478,10,16,23,238,436,677,5173,5248,10419,16952,17690,34640
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
299,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
301,1480,1285,2769,6537,6266,12805,2028,1857,3887,1630,1693,3322,10194,9821,20015,3956,3680,7636,1867,1492,3360,2170,2272,4443,7997,7437,15438,351,390,740,144,319,458,499,332,830,481,909,1388,13,8,21,1488,1957,3443,1878,2399,4274,366,694,1060,249,373,627,738,1415,2160,8,21,27,3251,4896,8150,177,220,394,358,697,1059,9,7,15,546,922,1470,5608,5745,11350,30559,32066,62622
302,1324,1195,2521,5090,4793,9880,2605,2532,5138,462,496,958,8157,7823,15980,3007,2802,5812,2314,2075,4385,721,862,1582,6042,5742,11780,331,351,686,273,431,706,383,283,667,526,899,1426,15,4,18,1531,1972,3505,2313,3036,5352,872,1202,2073,291,408,700,1148,1810,2962,18,19,33,4643,6467,11116,242,299,540,344,679,1019,7,13,16,592,989,1576,5463,5925,11390,27748,30113,57861
303,2139,2097,4236,9005,8595,17602,2839,2723,5561,1392,1369,2759,13237,12685,25921,5470,5212,10685,2769,2622,5395,1826,1901,3730,10069,9739,19809,874,813,1691,817,1228,2049,545,366,905,842,1343,2182,24,31,55,3099,3783,6881,8232,9067,17295,3490,3325,6816,702,810,1504,1970,2778,4746,43,54,101,14426,16030,30456,789,862,1658,722,1107,1829,23,22,39,1535,1991,3528,9363,9288,18650,53861,55617,109481
304,1324,1196,2525,5845,5408,11255,1592,1464,3056,907,771,1680,8346,7643,15990,3165,2810,5975,1420,1568,2986,1897,1601,3498,6481,5981,12456,220,261,483,154,285,442,240,184,421,381,585,964,6,4,7,1002,1307,2310,6090,7011,13097,1718,1816,3527,414,512,926,1227,1692,2916,22,36,55,9466,11060,20531,166,217,386,271,477,746,12,5,13,450,696,1148,3782,3992,7771,30848,31883,62730
305,1327,1213,2542,4799,4666,9462,1915,1966,3883,692,690,1378,7412,7313,14727,1856,1668,3530,1985,2064,4048,2198,2061,4259,6041,5798,11840,499,479,975,587,877,1469,329,287,618,735,901,1629,14,10,19,2161,2543,4710,6824,8426,15247,3213,3267,6478,711,921,1634,2378,3048,5422,25,30,59,13152,15689,28842,746,964,1712,738,1136,1881,7,15,22,1492,2117,3613,10435,9790,20223,42026,44467,86494
306,1270,1187,2458,7099,6325,13426,2706,2817,5530,846,741,1588,10653,9887,20539,5200,4942,10140,2001,1921,3922,552,593,1146,7754,7453,15208,184,226,411,251,546,795,313,379,688,509,1032,1540,20,25,44,1278,2198,3481,802,1283,2083,499,997,1503,153,297,451,703,1616,2324,9,25,34,2175,4221,6394,234,304,538,365,806,1170,16,11,32,612,1121,1733,12394,12230,24624,36140,38295,74436
307,693,667,1358,4200,3831,8031,1236,1273,2504,455,393,850,5889,5497,11387,2869,2682,5549,687,612,1305,591,514,1105,4151,3809,7959,80,108,187,40,142,183,220,226,447,237,543,774,8,6,16,586,1024,1606,191,318,509,82,199,280,57,152,212,232,614,844,0,12,15,558,1295,1853,69,101,175,137,342,477,5,13,19,213,455,667,6368,5985,12357,18463,18728,37194
