SA4_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
112,55383,9154,4756,1604,481,71373,10197,3294,2041,990,140,16666,1779,515,367,169,82,2906,67356,12960,7162,2765,701,90951
113,37599,1139,2312,304,225,41574,9905,709,1298,163,62,12147,1425,91,214,45,25,1795,48927,1938,3826,509,310,55512
114,40443,2387,810,609,278,44523,7721,1112,381,447,80,9745,1257,148,88,82,49,1623,49428,3638,1282,1138,404,55891
115,54539,6371,2751,168,201,64025,3142,679,596,93,36,4547,929,130,108,27,49,1245,58616,7182,3450,287,279,69816
116,67710,14174,4055,278,238,86453,9271,1900,1140,115,48,12471,2199,435,232,58,71,2995,79177,16506,5431,457,348,101918
117,10901,23313,71821,846,517,107399,1973,2509,8548,120,78,13230,406,793,2530,80,233,4047,13285,26617,82907,1042,824,124676
118,19765,16815,48716,837,326,86459,1845,1362,6093,95,35,9429,478,439,1900,34,82,2938,22089,18613,56707,960,447,98825
119,80518,22014,46808,841,461,150635,14577,4133,9029,208,93,28052,2731,831,1976,49,127,5712,97827,26983,57813,1095,688,184401
120,30099,18597,41034,950,475,91150,4456,1566,4792,110,59,10994,740,413,1386,51,227,2813,35295,20570,47212,1116,766,104952
121,67103,10906,55930,235,313,134491,3559,804,5147,27,42,9577,1016,239,1304,16,68,2645,71675,11959,62380,281,419,146713
122,46840,6540,24359,352,271,78362,2990,1087,3375,52,47,7558,886,263,761,45,59,2014,50714,7895,28497,455,385,87940
123,60434,7396,1777,161,209,69980,7473,2471,628,89,47,10703,1531,375,90,9,26,2037,69437,10246,2493,264,279,82721
124,76506,8153,3293,190,294,88450,9336,2353,1327,90,76,13184,1829,434,194,27,51,2537,87678,10943,4817,306,422,104168
125,61270,18288,37181,518,414,117673,9442,2954,6044,95,81,18616,2080,710,1599,35,146,4575,72792,21950,44827,650,644,140867
126,30763,7966,16592,109,199,55632,2704,943,2093,18,24,5792,628,235,432,9,48,1349,34097,9149,19125,142,269,62777
127,73685,10159,10023,357,302,94528,11659,2541,3950,158,105,18415,2615,535,623,39,130,3948,87958,13234,14606,555,541,116885
128,44124,8687,13653,253,135,66846,3593,1433,2619,96,21,7759,807,253,438,26,36,1556,48519,10368,16714,367,199,76169
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,41436,4080,884,486,218,47099,8741,1526,436,165,76,10936,1317,220,83,30,53,1708,51496,5826,1398,675,346,59743
202,42690,2325,452,229,219,45923,8332,1200,240,129,58,9962,1326,192,47,26,42,1632,52347,3714,747,386,318,57513
203,74295,7284,1786,435,264,84060,12480,2538,724,168,52,15959,2072,352,129,28,33,2613,88852,10170,2637,627,346,102631
204,46187,2091,912,323,329,49846,10107,1222,669,177,58,12232,1606,194,111,80,25,2021,57905,3507,1690,583,414,64101
205,75007,2527,1931,528,372,80371,16439,1749,1280,389,83,19937,2564,240,179,62,139,3178,94012,4514,3392,977,591,103488
206,45539,50884,116548,1143,950,215064,6636,4568,13746,104,95,25147,1237,1281,3933,95,145,6696,53415,56731,134225,1344,1192,246911
207,71267,23858,17446,220,291,113079,7461,2790,2103,15,34,12401,1542,562,630,8,110,2847,80264,27211,20184,238,437,128334
208,73017,32235,24336,697,440,130717,7547,4095,3878,120,79,15718,1545,819,832,21,73,3297,82105,37154,29050,838,590,149732
209,114493,20320,6777,265,298,142151,16862,3886,1429,44,57,22270,3182,723,272,8,64,4248,134536,24922,8478,319,413,168667
210,79814,14712,2849,360,209,97946,13408,2765,863,178,49,17263,2568,588,155,40,56,3407,95786,18066,3865,582,318,118615
211,136434,14038,2408,394,336,153606,13809,3231,668,174,63,17948,2937,575,140,28,67,3745,153179,17851,3209,592,460,175298
212,171214,23928,11226,505,399,207266,21293,4810,2449,313,72,28927,5054,1110,495,63,100,6824,197558,29842,14170,877,565,243018
213,155398,31707,10739,448,365,198663,22336,5459,2809,196,84,30884,5085,1141,525,51,87,6887,182821,38303,14072,694,535,236425
214,75954,10576,2776,496,164,89956,9834,3213,1069,363,42,14516,2189,534,201,52,29,3006,87968,14326,4048,907,229,107477
215,37906,1594,1224,326,280,41324,11065,1096,1143,226,69,13605,1562,143,178,41,46,1977,50538,2838,2542,593,392,56900
216,32942,1930,487,269,140,35773,7941,1146,543,223,55,9915,1292,197,75,42,21,1635,42184,3275,1110,529,222,47321
217,32538,1584,621,225,240,35205,8291,969,491,93,52,9898,1153,121,116,13,32,1440,41981,2666,1231,332,326,46541
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,59340,6549,2271,335,192,68689,5718,1661,1040,163,36,8619,1259,451,123,24,64,1918,66319,8660,3439,525,289,79234
302,49799,7544,8845,174,194,66557,5678,1595,2092,177,31,9570,1143,333,343,22,74,1916,56616,9465,11278,370,305,78039
303,76060,13447,12246,506,315,102579,7098,1395,2459,263,66,11284,1748,571,459,45,142,2966,84908,15408,15167,818,523,116823
304,45011,3161,8057,26,137,56396,2466,430,876,0,14,3787,643,119,200,3,60,1019,48118,3711,9127,31,211,61200
305,36833,6455,42826,157,364,86640,2457,537,4804,29,40,7864,851,180,1235,36,178,2481,40148,7168,48869,226,577,96989
306,54579,4453,8129,854,395,68414,9627,1743,2857,475,123,14826,1746,254,515,137,147,2803,65955,6458,11499,1467,664,86040
307,31411,837,675,320,248,33495,8901,565,455,206,94,10223,1106,97,79,62,40,1386,41423,1501,1215,589,375,45103
308,55050,2507,2575,705,433,61275,10099,1199,1194,414,116,13026,1607,154,183,125,160,2229,66755,3867,3957,1240,708,76527
309,108159,33793,31158,945,557,174610,9690,6051,6943,489,117,23295,2674,1249,1406,94,272,5699,120527,41087,39506,1532,945,203602
310,79873,5797,898,372,232,87173,12563,1960,590,266,71,15445,2218,318,106,134,55,2833,94659,8072,1589,772,361,105456
311,76054,7739,1662,389,186,86036,9608,2408,960,234,75,13290,2121,375,159,57,45,2760,87788,10525,2790,680,311,102085
312,40653,3214,2128,542,292,46828,6930,1285,837,241,77,9369,1238,199,200,168,118,1915,48818,4698,3160,952,488,58112
313,58467,5996,4078,547,195,69286,8586,2141,1927,388,42,13082,1548,303,249,49,33,2181,68601,8438,6250,990,273,84548
314,51699,6157,748,142,90,58843,3274,1423,367,91,12,5164,821,194,50,20,7,1096,55798,7768,1170,256,112,65103
315,15195,1396,618,489,237,17929,4733,489,348,259,64,5896,819,92,73,150,48,1185,20748,1974,1041,897,347,25011
316,85507,12013,11237,1037,476,110265,8558,3394,2620,599,158,15326,1872,553,512,101,106,3142,95936,15962,14367,1729,736,128735
317,37133,4442,1688,294,201,43756,5770,1905,849,128,51,8693,908,245,95,19,106,1377,43804,6595,2635,439,359,53834
318,56029,4630,4138,576,205,65580,9532,2054,1400,262,53,13298,1521,275,226,47,96,2164,67086,6960,5764,883,355,81043
319,75120,3937,2312,1374,396,83141,17958,2412,1445,871,125,22799,2580,315,216,172,133,3418,95658,6661,3971,2420,651,109362
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,65328,16482,11923,223,289,94250,8402,3240,2563,57,64,14330,1142,541,419,19,65,2186,74864,20266,14906,298,425,110763
402,107352,13968,3417,277,249,125264,17644,5744,1588,151,71,25198,2654,756,206,17,44,3681,127648,20470,5211,443,363,154138
403,93589,14658,6262,262,310,115087,11771,4620,2339,137,53,18917,1879,667,290,13,32,2891,107245,19951,8895,411,402,136899
404,47091,16449,6734,183,243,70702,10171,5189,2254,35,45,17694,1225,671,304,9,38,2252,58489,22310,9294,233,323,90651
405,31001,991,229,323,194,32743,8293,975,277,132,62,9732,814,79,34,32,27,980,40101,2049,541,485,284,43454
406,18346,3008,561,240,186,22338,4864,1856,517,146,59,7436,628,238,67,48,29,1011,23836,5100,1145,433,266,30781
407,50504,2431,1073,467,266,54737,12549,1722,845,222,84,15423,1556,202,96,35,44,1939,64616,4362,2016,720,397,72101
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,47302,2987,643,616,205,51763,7578,1415,487,315,42,9839,1181,188,74,62,44,1547,56068,4587,1198,998,292,63149
502,25718,2987,881,217,58,29866,3679,1225,343,150,16,5414,648,186,53,29,5,919,30043,4402,1269,400,83,36196
503,29842,9201,17793,92,137,57075,2044,949,2796,12,22,5826,621,222,559,15,26,1450,32508,10369,21150,125,191,64349
504,63711,9129,2221,202,159,75420,7386,2422,609,91,27,10541,1454,330,94,29,26,1934,72550,11885,2925,321,213,87895
505,130059,31129,4314,232,238,165974,12017,6172,1383,133,32,19736,2506,1098,226,27,35,3892,144587,38395,5925,387,308,189599
506,118581,20852,6451,317,311,146520,13584,4517,1273,118,47,19539,2785,886,306,21,68,4070,134952,26255,8031,458,431,170129
507,103180,14548,4530,367,259,122884,10826,3733,1369,153,32,16115,2193,558,211,22,131,3119,116196,18837,6113,543,418,142113
509,36334,945,193,424,295,38187,8483,803,161,235,71,9753,1171,107,34,44,46,1398,45993,1853,379,703,409,49338
510,15274,1473,974,781,161,18664,3112,572,265,301,70,4321,603,99,61,134,50,951,18984,2147,1299,1220,285,23938
511,27490,2446,446,709,213,31308,5522,1182,286,359,70,7414,931,196,47,98,76,1346,33945,3820,777,1163,358,40067
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,60001,3526,5037,246,169,68978,11117,1376,2056,86,29,14659,1497,197,245,24,28,1992,72613,5099,7335,356,224,85630
602,37757,2079,1907,225,166,42136,8690,1079,1082,77,65,10989,1133,145,132,23,30,1464,47581,3308,3115,328,259,54587
603,10476,79,60,126,71,10812,3017,57,54,65,14,3208,355,13,12,13,6,396,13847,148,126,199,92,14412
604,30088,1403,350,188,113,32144,7915,1274,292,121,27,9624,954,153,33,20,21,1185,38956,2830,683,319,154,42950
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,23909,3597,8235,591,179,36515,2516,874,1450,158,35,5034,811,176,372,102,37,1499,27239,4646,10062,850,256,43043
702,10752,2292,836,801,200,14877,4370,761,384,350,66,5930,737,153,89,179,47,1206,15862,3206,1308,1323,315,22013
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,87467,21754,18738,99,215,128278,6388,2855,2098,66,34,11440,1660,670,562,24,24,2941,95520,25278,21404,187,271,142664
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,900,63,86,7,10,1070,188,18,21,6,4,236,43,3,8,3,0,60,1130,87,115,12,16,1360
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
